prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55102229,55102229,55102229,Kuddelmuddel Jersey-Kleid Mädchen Boden,https://eu.boden.com/products/maedchen-kuddelmuddel-jersey-kleid-kleines-blumenmuster-kuddelmuddel-g5507bsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gaut_g5507_bsp_v1_c2f8dbec-a992-46ab-88a4-108d2ed4d98d.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-kuddelmuddel-jersey-kleid-kleines-blumenmuster-kuddelmuddel-g5507bsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32,IN STOCK,,,Kleines Blumenmuster Kuddelmuddel,,,,TRUE,TRUE
55109522,55109522,55109522,Gewebtes Kleid mit Spitzenbesatz Mädchen Boden,https://eu.boden.com/products/maedchen-gewebtes-kleid-mit-spitzenbesatz-violett-vintage-beere-g5593prp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5593_prp.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-gewebtes-kleid-mit-spitzenbesatz-violett-vintage-beere-g5593prp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,22,IN STOCK,,,Violett Vintage-Beere,,,,TRUE,TRUE
55109567,55109567,55109567,Minna Gewebtes Kleid mit Kragen Mädchen Boden,https://eu.boden.com/products/maedchen-minna-gewebtes-kleid-mit-kragen-pfauenfederblau-kariert-g5594bbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5594_bbl.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-minna-gewebtes-kleid-mit-kragen-pfauenfederblau-kariert-g5594bbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,76,IN STOCK,,,Pfauenfederblau Kariert,,,,TRUE,TRUE
55117138,55117138,55117138,Mehrlagiges Tüllkleid Baby Boden,https://eu.boden.com/products/baby-mehrlagiges-tuellkleid-gruen-weihnachtsbaum-y2722grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,28.00,70.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_y2722_grn_d2f9c3bc-527e-44fe-81e3-7d90691cd52d.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://eu.boden.com/products/baby-mehrlagiges-tuellkleid-gruen-weihnachtsbaum-y2722grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24,IN STOCK,,,Grün Weihnachtsbaum,,,,TRUE,TRUE
55100683,55100683,55100683,Besticktes Sweatshirt-Kleid Mädchen Boden,https://eu.boden.com/products/maedchen-besticktes-sweatshirt-kleid-rosa-g5576pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,33.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5576_pnt_94a1746d-c3ca-476b-b857-8191c250abbe.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-besticktes-sweatshirt-kleid-rosa-g5576pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,56,IN STOCK,,,Rosa,,,,TRUE,TRUE
55109295,55109295,55109295,Tüllkleid mit Rüschen-Bahnen Mädchen Boden,https://eu.boden.com/products/maedchen-tuellkleid-mit-rueschen-bahnen-bunt-blockfarben-g5591pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.50,90.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5591_pin.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-tuellkleid-mit-rueschen-bahnen-bunt-blockfarben-g5591pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,34,IN STOCK,,,"Bunt, Blockfarben",,,,TRUE,TRUE
55118314,55118314,55118314,Gewebtes Kleid mit Spitzendetail Mädchen Boden,https://eu.boden.com/products/maedchen-gewebtes-kleid-mit-spitzendetail-kastanie-blumenwiese-g5659red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,30.25,55.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gwin_g5659_red_411d24d2-d073-4c9e-bd0a-e7954e7f9092.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-gewebtes-kleid-mit-spitzendetail-kastanie-blumenwiese-g5659red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24,IN STOCK,,,Kastanie Blumenwiese,,,,TRUE,TRUE
55156985,55156985,55156985,Gewebtes Kleid zum Binden vorn Mädchen Boden,https://eu.boden.com/products/maedchen-gewebtes-kleid-zum-binden-vorn-heller-used-look-g5987den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,26.00,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gspr_g5987_den_6a9735ae-eada-4150-b7d0-1050fbca7643.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-gewebtes-kleid-zum-binden-vorn-heller-used-look-g5987den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,144,IN STOCK,,,Heller Used Look,,,,TRUE,TRUE
55158480,55158480,55158480,Kleid mit gekreuzten Rückenträgern und Puffärmeln Mädchen Boden,https://eu.boden.com/products/maedchen-kleid-mit-gekreuzten-rueckentraegern-und-puffaermeln-chambray-lochstickerei-g5935den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.00,80.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gspr_g5935_den_m02_v1.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-kleid-mit-gekreuzten-rueckentraegern-und-puffaermeln-chambray-lochstickerei-g5935den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,125,IN STOCK,,,Chambray Lochstickerei,,,,TRUE,TRUE
55156506,55156506,55156506,Originelles Trägerkleid Mädchen Boden,https://eu.boden.com/products/maedchen-originelles-traegerkleid-kiwi-g5805grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42.25,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g5805_grn_b0a81dcc-7ac4-4892-8ab9-d5c23ee092d3.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-originelles-traegerkleid-kiwi-g5805grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37,IN STOCK,,,Kiwi,,,,TRUE,TRUE
55162545,55162545,55162545,"Fließendes, gerafftes Kleid Baby Boden",https://eu.boden.com/products/baby-fliessendes-gerafftes-kleid-madraskaro-y2861mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,35.00,50.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26usum_y2861_mlt.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://eu.boden.com/products/baby-fliessendes-gerafftes-kleid-madraskaro-y2861mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,25,IN STOCK,,,Madraskaro,,,,TRUE,TRUE
55162744,55162744,55162744,"Fließendes, gerafftes Kleid Baby Boden",https://eu.boden.com/products/baby-fliessendes-gerafftes-kleid-gelb-bluetenstaengel-y2861yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26usum_y2861_yel_a193626c-f0b0-4006-920e-c7f7fcd2bdbf.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://eu.boden.com/products/baby-fliessendes-gerafftes-kleid-gelb-bluetenstaengel-y2861yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,34,IN STOCK,,,Gelb Blütenstängel,,,,TRUE,TRUE
55162383,55162383,55162383,Ballonkleid mit tiefer Taille Mädchen Boden,https://eu.boden.com/products/maedchen-ballonkleid-mit-tiefer-taille-sanftes-naturweiss-stickerei-g5992ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42.25,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g5992_ivo_v1.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-ballonkleid-mit-tiefer-taille-sanftes-naturweiss-stickerei-g5992ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,68,IN STOCK,,,Sanftes Naturweiß Stickerei,,,,TRUE,TRUE
55162778,55162778,55162778,Gerafftes Kleid mit Schleife am Rücken Mädchen Boden,https://eu.boden.com/products/maedchen-gerafftes-kleid-mit-schleife-am-ruecken-pink-kirschen-g6012pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.50,55.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g6012_pnk_m01_v2.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-gerafftes-kleid-mit-schleife-am-ruecken-pink-kirschen-g6012pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,65,IN STOCK,,,Pink Kirschen,,,,TRUE,TRUE
55164052,55164052,55164052,Gestuftes Hemdblusenkleid Mädchen Boden,https://eu.boden.com/products/maedchen-gestuftes-hemdblusenkleid-ameisenrosa-mit-streifen-g5972pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g5972_pnk_m01.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-gestuftes-hemdblusenkleid-ameisenrosa-mit-streifen-g5972pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,40,IN STOCK,,,Ameisenrosa Mit Streifen,,,,TRUE,TRUE
55162305,55162305,55162305,Gestuftes Kleid mit Zackenlitze Baby Boden,https://eu.boden.com/products/baby-gestuftes-kleid-mit-zackenlitze-rosa-filigranes-blumenmuster-y2872pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.50,55.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26usum_y2872_pnt_872f38ba-9ed4-4e2d-8d73-9d84d0c57dd8.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://eu.boden.com/products/baby-gestuftes-kleid-mit-zackenlitze-rosa-filigranes-blumenmuster-y2872pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,46,IN STOCK,,,"Rosa, Filigranes Blumenmuster",,,,TRUE,TRUE
55162642,55162642,55162642,Kleid mit Flatterärmeln und Zackenlitze Mädchen Boden,https://eu.boden.com/products/maedchen-kleid-mit-flatteraermeln-und-zackenlitze-sanftes-naturweiss-leuchtendes-blau-g5806crm?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,39.00,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g5806_crm_v1_11903ab1-c4f8-4661-92da-000014c90e29.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-kleid-mit-flatteraermeln-und-zackenlitze-sanftes-naturweiss-leuchtendes-blau-g5806crm?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,47,IN STOCK,,,Sanftes Naturweiß/Leuchtendes Blau,,,,TRUE,TRUE
55164005,55164005,55164005,Besticktes Kleid mit V-Ausschnitt am Rücken Mädchen Boden,https://eu.boden.com/products/maedchen-besticktes-kleid-mit-v-ausschnitt-am-ruecken-leuchtendes-blau-stickerei-g6021blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g6021_blu_m01_7c40a076-d447-473b-b5fe-7615bfaa2930.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-besticktes-kleid-mit-v-ausschnitt-am-ruecken-leuchtendes-blau-stickerei-g6021blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,68,IN STOCK,,,Leuchtendes Blau Stickerei,,,,TRUE,TRUE
55162454,55162454,55162454,Rara Jerseykleid mit Lochstickerei Mädchen Boden,https://eu.boden.com/products/maedchen-rara-jerseykleid-mit-lochstickerei-sanftes-naturweiss-lachsrosa-g6025ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.50,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g6025_ivo.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-rara-jerseykleid-mit-lochstickerei-sanftes-naturweiss-lachsrosa-g6025ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,55,IN STOCK,,,Sanftes Naturweiß/Lachsrosa,,,,TRUE,TRUE
55174226,55174226,55174226,Strand-Kaftan Mädchen Boden,https://eu.boden.com/products/maedchen-strand-kaftan-nebelblau-g6049sky?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,28.80,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g6049_sky_v1.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-strand-kaftan-nebelblau-g6049sky?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,85,IN STOCK,,,Nebelblau,,,,TRUE,TRUE
55172637,55172637,55172637,Kleid mit Flatterärmeln und Zackenlitze Mädchen Boden,https://eu.boden.com/products/maedchen-kleid-mit-flatteraermeln-und-zackenlitze-hellrosa-g5806pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,35.75,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26ghsm_g5806_pnk_v1_023ef9f7-0274-4a42-af2b-a100e92c60f5.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-kleid-mit-flatteraermeln-und-zackenlitze-hellrosa-g5806pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37,IN STOCK,,,Hellrosa,,,,TRUE,TRUE
55162962,55162962,55162962,Kleid für besondere Anlässe mit Blumensaum Mädchen Boden,https://eu.boden.com/products/maedchen-kleid-fuer-besondere-anlaesse-mit-blumensaum-sanftes-naturweiss-g6007ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,84.50,130.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26gsum_g6007_ivo_v1_6bbeb688-deb9-48f4-8bf7-2b5f609f222b.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-kleid-fuer-besondere-anlaesse-mit-blumensaum-sanftes-naturweiss-g6007ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,28,IN STOCK,,,Sanftes Naturweiß,,,,TRUE,TRUE
55186639,55186639,55186639,Denim-Hemdblusenkleid Mädchen Boden,https://eu.boden.com/products/maedchen-denim-hemdblusenkleid-blau-kleines-bluetenmuster-g5934blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,26.00,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26ghsm_g5934_blu_v1_d2436606-9afd-478e-ac73-8117dfd55074.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-denim-hemdblusenkleid-blau-kleines-bluetenmuster-g5934blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,60,IN STOCK,,,Blau Kleines Blütenmuster,,,,TRUE,TRUE
55189507,55189507,55189507,Rara Kurzärmliges Jerseykleid Mädchen Boden,https://eu.boden.com/products/maedchen-rara-kurzaermliges-jerseykleid-bluetenrosa-bluetenrebe-g6102pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.50,65.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26ghsm_g6102_pnk_v1.jpg?v=1&width=800,Mädchen,Mädchen,03/09/2026,https://eu.boden.com/products/maedchen-rara-kurzaermliges-jerseykleid-bluetenrosa-bluetenrebe-g6102pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24,IN STOCK,,,Blütenrosa Blütenrebe,,,,TRUE,TRUE
