prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
40073118,40073118,40073118,Flache Schuhe aus Leder mit T-Steg Mädchen Boden,https://eu.boden.com/products/maedchen-flache-schuhe-aus-leder-mit-t-steg-aqua-marine-marl-c0213nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,60.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/22gaut_c0213_nav_e42682df-c367-49f6-b4fb-6a0c6a3a2c03.jpg?v=1&width=800,Mädchen,Mädchen,22/09/2026,https://eu.boden.com/products/maedchen-flache-schuhe-aus-leder-mit-t-steg-aqua-marine-marl-c0213nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37,IN STOCK,,,Aqua Marine Marl,,,,TRUE,TRUE
55015974,55015974,55015974,Schmal geschnittene Hose zum Hineinschlüpfen Jungen Boden,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schuluniform-marineblau-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bspr_b2795_nvy_v1_9bad95b4-6faa-456d-92eb-23937b32b77e.jpg?v=1&width=800,Jungen,Jungen,22/09/2026,https://eu.boden.com/products/jungen-schmal-geschnittene-hose-zum-hineinschluepfen-schuluniform-marineblau-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,164,IN STOCK,,,Schuluniform-Marineblau Cord,,,,TRUE,TRUE
55035792,55035792,55035792,Langärmeliges Oberteil mit Pointelle-Muster Mädchen Boden,https://eu.boden.com/products/maedchen-langaermeliges-oberteil-mit-pointelle-muster-steuerbordblau-sanftes-naturweiss-g4920dbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,25.00,25.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/24gaut_g4920_dbl_851a1fb3-adf2-44a4-9fd0-2a40fbc83277.jpg?v=1&width=800,Mädchen,Mädchen,22/09/2026,https://eu.boden.com/products/maedchen-langaermeliges-oberteil-mit-pointelle-muster-steuerbordblau-sanftes-naturweiss-g4920dbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,264,IN STOCK,,,Steuerbordblau/Sanftes Naturweiß,,,,TRUE,TRUE
55059548,55059548,55059548,T-Shirt für den Alltag Jungen Boden,https://eu.boden.com/products/jungen-t-shirt-fuer-den-alltag-dunkelblau-ecru-b2967nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,20.00,20.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bwin_b2967_nav_84c38678-e902-4545-828e-12998c11255e.jpg?v=1&width=800,Jungen,Jungen,22/09/2026,https://eu.boden.com/products/jungen-t-shirt-fuer-den-alltag-dunkelblau-ecru-b2967nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,111,IN STOCK,,,Dunkelblau/Ecru,,,,TRUE,TRUE
55059680,55059680,55059680,T-Shirt für den Alltag Jungen Boden,https://eu.boden.com/products/jungen-t-shirt-fuer-den-alltag-anemone-b2967nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,18.00,18.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bwin_b2967_nvy.jpg?v=1&width=800,Jungen,Jungen,22/09/2026,https://eu.boden.com/products/jungen-t-shirt-fuer-den-alltag-anemone-b2967nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,77,IN STOCK,,,Anemone,,,,TRUE,TRUE
55042950,55042950,55042950,Langärmeliges Oberteil mit Pointelle-Muster Mädchen Boden,https://eu.boden.com/products/maedchen-langaermeliges-oberteil-mit-pointelle-muster-sanftes-naturweiss-herzen-g4920deu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,25.00,25.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/24gxms_g4920_deu_52d4ff0d-1a74-4988-ba0f-f6144fd09d3d.jpg?v=1&width=800,Mädchen,Mädchen,22/09/2026,https://eu.boden.com/products/maedchen-langaermeliges-oberteil-mit-pointelle-muster-sanftes-naturweiss-herzen-g4920deu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,255,IN STOCK,,,Sanftes Naturweiß Herzen,,,,TRUE,TRUE
55057432,55057432,55057432,Jeans mit verstärktem Knie Jungen Boden,https://eu.boden.com/products/jungen-jeans-mit-verstaerktem-knie-mittelblaue-waschung-b2905den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,50.00,50.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26bspr_b2905_den_m01_v1.jpg?v=1&width=800,Jungen,Jungen,22/09/2026,https://eu.boden.com/products/jungen-jeans-mit-verstaerktem-knie-mittelblaue-waschung-b2905den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,111,IN STOCK,,,Mittelblaue Waschung,,,,TRUE,TRUE
55088438,55088438,55088438,Piqué-Polohemd Jungen Boden,https://eu.boden.com/products/jungen-pique-polohemd-weiss-b2875wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,28.00,28.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25bhsm_b2875_wht_6ebde49a-9a1d-42ea-b402-1c3115c2fb52.jpg?v=1&width=800,Jungen,Jungen,22/09/2026,https://eu.boden.com/products/jungen-pique-polohemd-weiss-b2875wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,108,IN STOCK,,,Weiß,,,,TRUE,TRUE
55070189,55070189,55070189,Geripptes Top mit Spitzenbesatz Mädchen Boden,https://eu.boden.com/products/maedchen-geripptes-top-mit-spitzenbesatz-weiss-g5341wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,11.70,18.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gspr_g5341_wht_v1.jpg?v=1&width=800,Mädchen,Mädchen,22/09/2026,https://eu.boden.com/products/maedchen-geripptes-top-mit-spitzenbesatz-weiss-g5341wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,175,IN STOCK,,,Weiß,,,,TRUE,TRUE
55070082,55070082,55070082,Geripptes Top mit Spitzenbesatz Mädchen Boden,https://eu.boden.com/products/maedchen-geripptes-top-mit-spitzenbesatz-blau-g5341nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,10.80,18.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25gspr_g5341_nav_v1_ba2e6d9c-3c9d-45d0-a0a1-56734cd08aa8.jpg?v=1&width=800,Mädchen,Mädchen,22/09/2026,https://eu.boden.com/products/maedchen-geripptes-top-mit-spitzenbesatz-blau-g5341nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,273,IN STOCK,,,Blau,,,,TRUE,TRUE
