prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55019117,55019117,55019117,Hoch geschnittene Jeans mit weitem Bein Damen Boden,https://eu.boden.com/products/damen-hoch-geschnittene-jeans-mit-weitem-bein-indigo-waschung-r0657ddn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,52.00,130.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wspr_r0657_ddn_m01.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-hoch-geschnittene-jeans-mit-weitem-bein-indigo-waschung-r0657ddn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42,IN STOCK,,,Indigo Waschung,,,,TRUE,TRUE
40460453,40460453,40460453,Highgate Ponte-Hose Damen Boden,https://eu.boden.com/products/damen-highgate-ponte-hose-aqua-marine-marl-r0478nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,99.00,99.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_r0478_nav_m01_e17eeaf2-060d-46a4-92db-106673aa7d6c.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-highgate-ponte-hose-aqua-marine-marl-r0478nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,76,IN STOCK,,,Aqua Marine Marl,,,,TRUE,TRUE
55066819,55066819,55066819,"Jeans mit hohem Bund und geradem, weitem Bein Damen Boden",https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-weitem-bein-beatnik-red-r0713den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,140.00,140.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wspr_r0713_den_m01.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-weitem-bein-beatnik-red-r0713den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,104,IN STOCK,,,Beatnik Red,,,,TRUE,TRUE
55067125,55067125,55067125,Primrose Verkürzte Jeans Damen Boden,https://eu.boden.com/products/damen-primrose-verkuerzte-jeans-ausgeblichene-optik-r0736den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,52.00,130.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wspr_r0736_den_m01_4844c887-be71-4e58-af44-dcc1bd788c32.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-primrose-verkuerzte-jeans-ausgeblichene-optik-r0736den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27,IN STOCK,,,Ausgeblichene Optik,,,,TRUE,TRUE
55067080,55067080,55067080,Lockere Jeans mit mittlerer Leibhöhe Damen Boden,https://eu.boden.com/products/damen-lockere-jeans-mit-mittlerer-leibhoehe-mittlerer-jahrgang-r0729den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,65.00,130.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wspr_r0729_den_m01.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-lockere-jeans-mit-mittlerer-leibhoehe-mittlerer-jahrgang-r0729den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,144,IN STOCK,,,Mittlerer Jahrgang,,,,TRUE,TRUE
55091402,55091402,55091402,Jeans mit hohem Bund und geradem Bein Damen Boden,https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-bein-indigo-waschung-r0761ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,120.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wspr_r0761_ind_m01_cf2e2439-bbc7-431f-876b-9ea35752a052.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-bein-indigo-waschung-r0761ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,76,IN STOCK,,,Indigo Waschung,,,,TRUE,TRUE
55091350,55091350,55091350,Jeans mit hohem Bund und geradem Bein Damen Boden,https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-bein-beatnik-red-r0761mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.00,120.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wspr_r0761_mdn_m01_36b36787-f6a5-41e7-8d71-8f27c7d0238b.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-jeans-mit-hohem-bund-und-geradem-bein-beatnik-red-r0761mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,46,IN STOCK,,,Beatnik Red,,,,TRUE,TRUE
55085129,55085129,55085129,Barrel-Jeans Damen Boden,https://eu.boden.com/products/damen-barrel-jeans-beatnik-red-r0750blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,56.00,140.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_r0750_blu_m12_0255aee7-dca7-45d5-9ca1-c5e56d78a9fe.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-barrel-jeans-beatnik-red-r0750blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,76,IN STOCK,,,Beatnik Red,,,,TRUE,TRUE
55085049,55085049,55085049,Islington Leinenhose Damen Boden,https://eu.boden.com/products/damen-islington-leinenhose-bunt-blockfarben-r0757mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,90.00,180.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25whsm_r0757_mlt_m01_df826795-845b-4963-8a6c-6c29a4ef739e.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-islington-leinenhose-bunt-blockfarben-r0757mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,40,IN STOCK,,,"Bunt, Blockfarben",,,,TRUE,TRUE
55115332,55115332,55115332,Joy Jeansrock mit Bahnendesign Damen Boden,https://eu.boden.com/products/damen-joy-jeansrock-mit-bahnendesign-mittlere-waschung-r0816mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,75.00,150.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_r0816_mdn_m01.jpg?v=1&width=800,Damen,Damen,24/09/2026,https://eu.boden.com/products/damen-joy-jeansrock-mit-bahnendesign-mittlere-waschung-r0816mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,22,IN STOCK,,,Mittlere Waschung,,,,TRUE,TRUE
