prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55125225,55125225,55125225,Naomi Lockeres Jerseykleid Damen Boden,https://eu.boden.com/products/damen-naomi-lockeres-jerseykleid-schwarz-d1053bla?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,99.00,99.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wspr_d1053_bla_m01_317a7478-cf9d-4248-8fa9-9c23cd199cab.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-naomi-lockeres-jerseykleid-schwarz-d1053bla?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,378,IN STOCK,,,Schwarz,,,,TRUE,TRUE
55095503,55095503,55095503,Naomi Lockeres Jerseykleid Damen Boden,https://eu.boden.com/products/damen-naomi-lockeres-jerseykleid-marineblau-d1053nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,99.00,99.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_d1053_nav_m04_3469d091-dc47-4044-9fb9-765ca9c51f86.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-naomi-lockeres-jerseykleid-marineblau-d1053nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,313,IN STOCK,,,Marineblau,,,,TRUE,TRUE
55094961,55094961,55094961,Marcia Jersey-Hemdblusenkleid Damen Boden,https://eu.boden.com/products/damen-marcia-jersey-hemdblusenkleid-marineblau-d1033nsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,140.00,140.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_d1033_nsp_m01_704df589-0873-439d-a8b6-f6754c8dcabd.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-marcia-jersey-hemdblusenkleid-marineblau-d1033nsp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,136,IN STOCK,,,Marineblau,,,,TRUE,TRUE
55115843,55115843,55115843,Imogen Jerseykleid mit Kragen Damen Boden,https://eu.boden.com/products/damen-imogen-jerseykleid-mit-kragen-schwarz-d1147blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,120.00,120.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25waut_d1147_blk_m04_e4d8320b-afc1-4e7f-a336-91ae7ff4520f.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-imogen-jerseykleid-mit-kragen-schwarz-d1147blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,224,IN STOCK,,,Schwarz,,,,TRUE,TRUE
55154178,55154178,55154178,Florence Kleid aus Leinenmischgewebe Damen Boden,https://eu.boden.com/products/damen-florence-kleid-aus-leinenmischgewebe-orange-ziergarten-d1541brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,104.00,260.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wsum_d1541_brn_m01_v6.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-florence-kleid-aus-leinenmischgewebe-orange-ziergarten-d1541brn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,206,IN STOCK,,,"Orange, Ziergarten",,,,TRUE,TRUE
55160187,55160187,55160187,Strick-Midikleid mit Kragen Damen Boden,https://eu.boden.com/products/damen-strick-midikleid-mit-kragen-frisches-gruen-d1542grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,90.00,180.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wsum_d1542_grn_m01_bba170ff-5b92-4138-8379-50aed4a8c4f4.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-strick-midikleid-mit-kragen-frisches-gruen-d1542grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,23,IN STOCK,,,Frisches Grün,,,,TRUE,TRUE
55174176,55174176,55174176,Marla Kurzes Kleid aus Leinenmischgewebe Damen Boden,https://eu.boden.com/products/damen-marla-kurzes-kleid-aus-leinenmischgewebe-rot-elegante-blueten-d1642red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,90.00,180.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wsum_d1642_red_m01_v2_2048c1bc-a9c9-4a5a-880b-467ea5fde517.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-marla-kurzes-kleid-aus-leinenmischgewebe-rot-elegante-blueten-d1642red?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,58,IN STOCK,,,Rot Elegante Blüten,,,,TRUE,TRUE
55167833,55167833,55167833,Marcia Jersey-Hemdblusenkleid Damen Boden,https://eu.boden.com/products/damen-marcia-jersey-hemdblusenkleid-gruen-und-naturweiss-streifen-d1600grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,84.00,140.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wsum_d1600_grn_m01.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-marcia-jersey-hemdblusenkleid-gruen-und-naturweiss-streifen-d1600grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,17,IN STOCK,,,Grün und Naturweiß Streifen,,,,TRUE,TRUE
55183645,55183645,55183645,Delilah Kurzes Kleid mit Twistdetail Damen Boden,https://eu.boden.com/products/damen-delilah-kurzes-kleid-mit-twistdetail-korallenrot-d1610cor?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,39.60,99.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26wsum_d1610_cor_m01_10b7f110-912f-4fed-9241-d99e9c5ceea5.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-delilah-kurzes-kleid-mit-twistdetail-korallenrot-d1610cor?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,53,IN STOCK,,,Korallenrot,,,,TRUE,TRUE
55184582,55184582,55184582,Viv Kurzes Doppeltuch-Kleid Damen Boden,https://eu.boden.com/products/damen-viv-kurzes-doppeltuch-kleid-rosarot-d1680pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,84.00,140.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/26whsm_d1680_pnk_m01_v2_dffe77c3-bbcc-4db8-99a9-99c5bf1ac93c.jpg?v=1&width=800,Damen,Damen,03/09/2026,https://eu.boden.com/products/damen-viv-kurzes-doppeltuch-kleid-rosarot-d1680pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,40,IN STOCK,,,Rosarot,,,,TRUE,TRUE
