prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
40485331,40485331,40485331,Klassische Bikinihose Damen Boden,https://eu.boden.com/products/damen-klassische-bikinihose-blau-mohnblumenrot-streifen-s0197mbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,15.75,45.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/24wspr_s0197_mbl_m01_b538ece8-d3e9-440c-9f60-7469714de0dc.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-klassische-bikinihose-blau-mohnblumenrot-streifen-s0197mbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,18,IN STOCK,,,"Blau, Mohnblumenrot Streifen",,,,TRUE,TRUE
40073118,40073118,40073118,Flache Schuhe aus Leder mit T-Steg Mädchen Boden,https://eu.boden.com/products/maedchen-flache-schuhe-aus-leder-mit-t-steg-aqua-marine-marl-c0213nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,60.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/22gaut_c0213_nav_e42682df-c367-49f6-b4fb-6a0c6a3a2c03.jpg?v=1&width=800,Mädchen,Mädchen,23/09/2026,https://eu.boden.com/products/maedchen-flache-schuhe-aus-leder-mit-t-steg-aqua-marine-marl-c0213nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37,IN STOCK,,,Aqua Marine Marl,,,,TRUE,TRUE
40502826,40502826,40502826,Milos Gesmokte Bikinihose Damen Boden,https://eu.boden.com/products/damen-milos-gesmokte-bikinihose-naturweiss-paisley-azurblau-s0294ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/24wsum_s0294_ivo_m01_8db38268-86e0-4753-9c07-54ebf87de226.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-milos-gesmokte-bikinihose-naturweiss-paisley-azurblau-s0294ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29,IN STOCK,,,"Naturweiß, Paisley Azurblau",,,,TRUE,TRUE
40457757,40457757,40457757,Tanga-Bikinihöschen Damen Boden,https://eu.boden.com/products/damen-tanga-bikinihoeschen-wintergruen-blaue-blumen-s0293grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,14.40,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/23waut_s0293_grn_m01_ac661ae2-fd70-44ca-b3c9-1404077c0ac6.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-tanga-bikinihoeschen-wintergruen-blaue-blumen-s0293grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24,IN STOCK,,,"Wintergrün, Blaue Blumen",,,,TRUE,TRUE
40455633,40455633,40455633,Bikinioberteil mit U-Steg Damen Boden,https://eu.boden.com/products/damen-bikinioberteil-mit-u-steg-schwarz-weiss-geo-s0357blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/23waut_s0357_blk_m01_fd375437-77d8-4198-acad-222785bfd579.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-bikinioberteil-mit-u-steg-schwarz-weiss-geo-s0357blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,13,IN STOCK,,,"Schwarz, Weiß Geo",,,,TRUE,TRUE
40485555,40485555,40485555,Rhodes Badeanzug in Körbchengröße Damen Boden,https://eu.boden.com/products/damen-rhodes-badeanzug-in-koerbchengroesse-marineblau-naturweiss-gestreift-s0368nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,60.00,120.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wspr_s0368_nvy_m01_v1_9e0de686-d7c5-4bc0-93f4-3162015d1b39.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-rhodes-badeanzug-in-koerbchengroesse-marineblau-naturweiss-gestreift-s0368nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,138,IN STOCK,,,"Marineblau, Naturweiß Gestreift",,,,TRUE,TRUE
40495413,40495413,40495413,Klassischer Gürtel mit Überwendlingsstich Damen Boden,https://eu.boden.com/products/damen-klassischer-guertel-mit-ueberwendlingsstich-hellbraun-a1764tan?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,43.00,86.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wxms_a1764_tan_79d4d964-5964-4fd9-86c6-bd054a9ab222.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-klassischer-guertel-mit-ueberwendlingsstich-hellbraun-a1764tan?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,303,IN STOCK,,,Hellbraun,,,,TRUE,TRUE
40455353,40455353,40455353,Bikinihose mit geschwungenem Taillenbund Damen Boden,https://eu.boden.com/products/damen-bikinihose-mit-geschwungenem-taillenbund-hellgruen-bunt-geo-s0342grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,16.80,48.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/23waut_s0342_grn_m01_679c1ac1-ab89-4666-92da-c58fdf42d4f6.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-bikinihose-mit-geschwungenem-taillenbund-hellgruen-bunt-geo-s0342grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,33,IN STOCK,,,"Hellgrün, Bunt Geo",,,,TRUE,TRUE
40486553,40486553,40486553,Klassische Bikinihose mit umgeschlagenem Bund Damen Boden,https://eu.boden.com/products/damen-klassische-bikinihose-mit-umgeschlagenem-bund-kelly-gruen-paisley-azurblau-s0154spt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,18.00,60.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/24wsum_s0154_spt_m01_9dd48a72-fad2-4df6-bcce-a8b634b40523.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-klassische-bikinihose-mit-umgeschlagenem-bund-kelly-gruen-paisley-azurblau-s0154spt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,44,IN STOCK,,,"Kelly Grün, Paisley Azurblau",,,,TRUE,TRUE
40469531,40469531,40469531,Basic-T-Shirt aus Jersey Damen Boden,https://eu.boden.com/products/damen-basic-t-shirt-aus-jersey-milchshake-t1480lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,13.20,33.00,https://cdn.shopify.com/s/files/1/0680/4625/8428/files/25wxms_t1480_lpk_m01_746aacca-68e8-444c-b550-b94b9c0094bd.jpg?v=1&width=800,Damen,Damen,23/09/2026,https://eu.boden.com/products/damen-basic-t-shirt-aus-jersey-milchshake-t1480lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,51,IN STOCK,,,Milchshake,,,,TRUE,TRUE
