prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55003319,55003319,55003319,Slim Pull On Trousers Boden,https://us.boden.com/products/boys-slim-pull-on-trousers-black-b2795blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.00,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25baut_b2795_blk_85c51993-4097-4349-8038-40c1052db084.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-slim-pull-on-trousers-black-b2795blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,166,IN STOCK,,,Black,,,,TRUE,TRUE
55015974,55015974,55015974,Slim Pull On Trousers Boden,https://us.boden.com/products/boys-slim-pull-on-trousers-college-navy-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.00,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25bspr_b2795_nvy_v1_57577322-bdd4-4776-8d3c-a0b9dbb5f9f7.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-slim-pull-on-trousers-college-navy-cord-b2795nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,184,IN STOCK,,,College Navy Cord,,,,TRUE,TRUE
55133940,55133940,55133940,Pleat Jeans Boden,https://us.boden.com/products/girls-pleat-jeans-mid-vintage-denim-g5755mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59.00,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_g5755_mdn_m01_989e8fee-15e1-484b-a823-122eeb5182a2.jpg?v=1&width=800,Girls,Girls,20/08/2026,https://us.boden.com/products/girls-pleat-jeans-mid-vintage-denim-g5755mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,100,IN STOCK,,,Mid Vintage Denim,,,,TRUE,TRUE
55132741,55132741,55132741,Pleat Jeans Boden,https://us.boden.com/products/girls-pleat-jeans-raspberry-pink-g5755pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,35.40,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25gxms_g5755_pin_m01_b5c81dd2-ca3b-4589-9a28-191d32b91faf.jpg?v=1&width=800,Girls,Girls,20/08/2026,https://us.boden.com/products/girls-pleat-jeans-raspberry-pink-g5755pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,41,IN STOCK,,,Raspberry Pink,,,,TRUE,TRUE
55140750,55140750,55140750,Ruffle Jersey Skort Boden,https://us.boden.com/products/girls-ruffle-jersey-skort-multi-stripe-g5852mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,23.40,39.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_g5852_mul_c06194ff-eaae-4b8a-b948-2ded04aa4219.jpg?v=1&width=800,Girls,Girls,20/08/2026,https://us.boden.com/products/girls-ruffle-jersey-skort-multi-stripe-g5852mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37,IN STOCK,,,Multi Stripe,,,,TRUE,TRUE
55141578,55141578,55141578,Ruffle Jersey Skort Boden,https://us.boden.com/products/girls-ruffle-jersey-skort-sapphire-blue-horses-g5852nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.30,39.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_g5852_nav_993537d7-55a6-4680-b1ec-f8aa54baf162.jpg?v=1&width=800,Girls,Girls,20/08/2026,https://us.boden.com/products/girls-ruffle-jersey-skort-sapphire-blue-horses-g5852nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,22,IN STOCK,,,Sapphire Blue Horses,,,,TRUE,TRUE
55136378,55136378,55136378,Essential Sweatshorts Boden,https://us.boden.com/products/boys-essential-sweatshorts-twilight-blue-b3168nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bspr_b3168_nav_55f28c88-275d-4796-8f01-d2755ec7aeb7.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-essential-sweatshorts-twilight-blue-b3168nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,136,IN STOCK,,,TWILIGHT BLUE,,,,TRUE,TRUE
55143720,55143720,55143720,Classic Chino Shorts Boden,https://us.boden.com/products/boys-classic-chino-shorts-college-navy-b3210nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bspr_b3210_nav_a72917df-7fbc-4e8c-aa0a-f487a2a9a916.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-classic-chino-shorts-college-navy-b3210nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,129,IN STOCK,,,College Navy,,,,TRUE,TRUE
55159328,55159328,55159328,Waffle Mix Shorts Boden,https://us.boden.com/products/boys-waffle-mix-shorts-navy-blue-b3169nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27.30,39.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bsum_b3169_nav_9232562d-4bdc-4f3a-a16c-2b2277f4eb52.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-waffle-mix-shorts-navy-blue-b3169nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,24,IN STOCK,,,Navy Blue,,,,TRUE,TRUE
55158728,55158728,55158728,Classic Chino Shorts Boden,https://us.boden.com/products/boys-classic-chino-shorts-soft-pink-b3210pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,31.50,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bsum_b3210_pin.jpg?v=1&width=800,Boys,Boys,20/08/2026,https://us.boden.com/products/boys-classic-chino-shorts-soft-pink-b3210pin?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,10,IN STOCK,,,Soft Pink,,,,TRUE,TRUE
