prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55134385,55134385,55134385,Pretty Interest Shirt Dress Boden,https://us.boden.com/products/girls-pretty-interest-shirt-dress-salmon-pink-meadow-floral-g5762pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,51.35,79.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25gwin_g5762_pnk_w01_43f27ff6-4c1d-460a-8643-f7103c5b9de0.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-pretty-interest-shirt-dress-salmon-pink-meadow-floral-g5762pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,203,IN STOCK,,,Salmon Pink Meadow Floral,,,,TRUE,TRUE
55162744,55162744,55162744,Floaty Shirred Dress Boden,https://us.boden.com/products/baby-floaty-shirred-dress-yellow-flower-stem-y2861yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,55.00,55.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26usum_y2861_yel_bc0af583-96cf-4f53-b7e5-b131dbb3c45a.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://us.boden.com/products/baby-floaty-shirred-dress-yellow-flower-stem-y2861yel?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,58,IN STOCK,,,Yellow Flower Stem,,,,TRUE,TRUE
55162545,55162545,55162545,Floaty Shirred Dress Boden,https://us.boden.com/products/baby-floaty-shirred-dress-madras-check-y2861mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,41.30,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26usum_y2861_mlt_ff2d0fb5-c590-4b1e-8aaa-fbf67707c711.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://us.boden.com/products/baby-floaty-shirred-dress-madras-check-y2861mlt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,26,IN STOCK,,,Madras Check,,,,TRUE,TRUE
55186086,55186086,55186086,Tie Waist Woven Playsuit Boden,https://us.boden.com/products/girls-tie-waist-woven-playsuit-blue-floral-g6028bbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,35.75,65.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g6028_bbl_m01.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-tie-waist-woven-playsuit-blue-floral-g6028bbl?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,57,IN STOCK,,,Blue Floral,,,,TRUE,TRUE
55162383,55162383,55162383,Drop Waist Bubble Dress Boden,https://us.boden.com/products/girls-drop-waist-bubble-dress-soft-ivory-embroidery-g5992ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,55.25,85.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g5992_ivo_v1.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-drop-waist-bubble-dress-soft-ivory-embroidery-g5992ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,74,IN STOCK,,,Soft Ivory Embroidery,,,,TRUE,TRUE
55162305,55162305,55162305,Tiered Ric Rac Dress Boden,https://us.boden.com/products/baby-tiered-ric-rac-dress-pink-ditsy-floral-y2872pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,31.99,65.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26usum_y2872_pnt_21cd66f0-dee0-4e09-9eca-eefcc7221eca.jpg?v=1&width=800,Baby,Baby,03/09/2026,https://us.boden.com/products/baby-tiered-ric-rac-dress-pink-ditsy-floral-y2872pnt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48,IN STOCK,,,Pink Ditsy Floral,,,,TRUE,TRUE
55162246,55162246,55162246,Annalisa Twirly Sundress Boden,https://us.boden.com/products/girls-annalisa-twirly-sundress-multi-stripe-g5913mpi?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59.50,85.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g5913_mpi_ccea30a8-e43a-428d-bc24-fbf0af5252b9.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-annalisa-twirly-sundress-multi-stripe-g5913mpi?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,33,IN STOCK,,,Multi Stripe,,,,TRUE,TRUE
55162642,55162642,55162642,Flutter Sleeve Ric Rac Dress Boden,https://us.boden.com/products/girls-flutter-sleeve-ric-rac-dress-soft-ivory-bright-blue-g5806crm?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,47.40,79.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g5806_crm_v1_f97e5b13-6bf7-429d-af45-083dae7e6cdb.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-flutter-sleeve-ric-rac-dress-soft-ivory-bright-blue-g5806crm?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,52,IN STOCK,,,Soft Ivory/ Bright Blue,,,,TRUE,TRUE
55164005,55164005,55164005,Embroidered V-back dress Boden,https://us.boden.com/products/girls-embroidered-v-back-dress-bright-blue-embroidery-g6021blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,48.30,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g6021_blu_m01.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-embroidered-v-back-dress-bright-blue-embroidery-g6021blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,78,IN STOCK,,,Bright Blue Embroidery,,,,TRUE,TRUE
55174226,55174226,55174226,Swim Kaftan Boden,https://us.boden.com/products/girls-swim-kaftan-misty-blue-g6049sky?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.40,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g6049_sky_v1_8826d8f7-70a1-4021-a8ff-8505fb7d8af8.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-swim-kaftan-misty-blue-g6049sky?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,108,IN STOCK,,,Misty Blue,,,,TRUE,TRUE
55163443,55163443,55163443,Ruched Bodice Bubble Dress Boden,https://us.boden.com/products/girls-ruched-bodice-bubble-dress-formica-pink-stripe-g5990pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,37.95,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g5990_pnk_169b9d20-c35e-43ed-a4e0-eb7128ec4cfe.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-ruched-bodice-bubble-dress-formica-pink-stripe-g5990pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,15,IN STOCK,,,Formica Pink Stripe,,,,TRUE,TRUE
55172637,55172637,55172637,Flutter Sleeve Ric Rac Dress Boden,https://us.boden.com/products/girls-flutter-sleeve-ric-rac-dress-bright-pink-g5806pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,43.45,79.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26ghsm_g5806_pnk_v1_6480e648-624d-40e0-9f37-c75943f42216.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-flutter-sleeve-ric-rac-dress-bright-pink-g5806pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,41,IN STOCK,,,Bright Pink,,,,TRUE,TRUE
55185732,55185732,55185732,Logo Sundress Boden,https://us.boden.com/products/girls-logo-sundress-chalk-pink-g6048pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,61.75,95.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26ghsm_g6048_pnk_v1_1c3ef890-49bd-4156-a62c-a7a28fca9fdc.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-logo-sundress-chalk-pink-g6048pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,58,IN STOCK,,,Chalk Pink,,,,TRUE,TRUE
55174353,55174353,55174353,Tiered Ruffle Occasion Dress Boden,https://us.boden.com/products/girls-tiered-ruffle-occasion-dress-misty-blue-g6029blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,77.40,129.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26ghsm_g6029_blu_v1.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-tiered-ruffle-occasion-dress-misty-blue-g6029blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,61,IN STOCK,,,Misty Blue,,,,TRUE,TRUE
55162962,55162962,55162962,Flower Hem Occasion Dress Boden,https://us.boden.com/products/girls-flower-hem-occasion-dress-soft-ivory-g6007ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,87.75,135.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gsum_g6007_ivo_v1.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-flower-hem-occasion-dress-soft-ivory-g6007ivo?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29,IN STOCK,,,Soft Ivory,,,,TRUE,TRUE
55172998,55172998,55172998,Enola Appliqué Jersey Dress Boden,https://us.boden.com/products/girls-enola-applique-jersey-dress-starboard-blue-giant-cherries-g5964nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,30.25,55.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26ghsm_g5964_nvy_v1_bcded476-fbab-45f1-82b6-c585d4f903fe.jpg?v=1&width=800,Girls,Girls,03/09/2026,https://us.boden.com/products/girls-enola-applique-jersey-dress-starboard-blue-giant-cherries-g5964nvy?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,42,IN STOCK,,,Starboard Blue Giant Cherries,,,,TRUE,TRUE
