prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55036706,55036706,55036706,Long Sleeve Pointelle Top Boden,https://us.boden.com/products/girls-long-sleeve-pointelle-top-soft-ivory-g4920chk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,22.00,22.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gaut_g4920_chk.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-long-sleeve-pointelle-top-soft-ivory-g4920chk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,67,IN STOCK,,,Soft Ivory,,,,TRUE,TRUE
55020389,55020389,55020389,Everyday Long Sleeve T-Shirt Boden,https://us.boden.com/products/boys-everyday-long-sleeve-t-shirt-soft-ivory-college-navy-b2814nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,25.00,25.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25bwin_b2814_nav_f23c1bdf-b6a8-45fa-8068-5fb29958a274.jpg?v=1&width=800,Boys,Boys,23/09/2026,https://us.boden.com/products/boys-everyday-long-sleeve-t-shirt-soft-ivory-college-navy-b2814nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,133,IN STOCK,,,Soft Ivory/ College Navy,,,,TRUE,TRUE
55117393,55117393,55117393,7-pack Pointelle Underwear Boden,https://us.boden.com/products/girls-7-pack-pointelle-underwear-multi-colours-c1893mpt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59.00,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25ghsm_c1893_mpt_v2_ffba50ec-b7fb-4f54-9c16-6bcc3163e3de.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-7-pack-pointelle-underwear-multi-colours-c1893mpt?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,406,IN STOCK,,,Multi Colours,,,,TRUE,TRUE
55133940,55133940,55133940,Pleat Jeans Boden,https://us.boden.com/products/girls-pleat-jeans-mid-vintage-denim-g5755mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,38.35,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_g5755_mdn_m01_989e8fee-15e1-484b-a823-122eeb5182a2.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-pleat-jeans-mid-vintage-denim-g5755mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,77,IN STOCK,,,Mid Vintage Denim,,,,TRUE,TRUE
55134384,55134384,55134384,Pretty Interest Shirt Dress Boden,https://us.boden.com/products/girls-pretty-interest-shirt-dress-salmon-pink-meadow-floral-g5762pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,30.99,79.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25gwin_g5762_pnk_w01_43f27ff6-4c1d-460a-8643-f7103c5b9de0.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-pretty-interest-shirt-dress-salmon-pink-meadow-floral-g5762pnk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,174,IN STOCK,,,Salmon Pink Meadow Floral,,,,TRUE,TRUE
55141552,55141552,55141552,Leather Metallic Low Tops Boden,https://us.boden.com/products/girls-leather-metallic-low-tops-metallic-c1955met?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,41.40,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_c1955_met_bf96eacb-62e4-4c1f-ad73-3ffe57662256.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-leather-metallic-low-tops-metallic-c1955met?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,88,IN STOCK,,,Metallic,,,,TRUE,TRUE
55137293,55137293,55137293,Leather High Tops Boden,https://us.boden.com/products/boys-leather-high-tops-multi-stripe-c1949mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,52.50,75.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bspr_c1949_mul_a102a87c-6681-4156-adf5-c0635a7ea0ae.jpg?v=1&width=800,Boys,Boys,23/09/2026,https://us.boden.com/products/boys-leather-high-tops-multi-stripe-c1949mul?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29,IN STOCK,,,Multi Stripe,,,,TRUE,TRUE
55117757,55117757,55117757,Frill Sleeve Slub Top Boden,https://us.boden.com/products/girls-frill-sleeve-slub-top-soft-ivory-pink-haze-stripe-g5505pst?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25gwin_g5505_pst_286e58f8-a64b-4acf-a4f9-1d1dbc965faa.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-frill-sleeve-slub-top-soft-ivory-pink-haze-stripe-g5505pst?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,223,IN STOCK,,,Soft Ivory/Pink Haze Stripe,,,,TRUE,TRUE
55134828,55134828,55134828,Hallie Frill Strap Swimsuit Boden,https://us.boden.com/products/girls-hallie-frill-strap-swimsuit-sapphire-blue-meadow-floral-g5402blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,16.99,35.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26gspr_g5402_blu_a4574679-b60d-4ca5-9d02-dcfed2785858.jpg?v=1&width=800,Girls,Girls,23/09/2026,https://us.boden.com/products/girls-hallie-frill-strap-swimsuit-sapphire-blue-meadow-floral-g5402blu?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45,IN STOCK,,,Sapphire Blue Meadow Floral,,,,TRUE,TRUE
55138053,55138053,55138053,Colour Block Rash Vest Boden,https://us.boden.com/products/boys-colour-block-rash-vest-amazon-b3195grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,23.40,39.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26bspr_b3195_grn.jpg?v=1&width=800,Boys,Boys,23/09/2026,https://us.boden.com/products/boys-colour-block-rash-vest-amazon-b3195grn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,107,IN STOCK,,,Amazon,,,,TRUE,TRUE
