prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
55049653,55049653,55049653,High Rise Column Leg Jeans Boden,https://us.boden.com/products/women-high-rise-column-leg-jeans-dark-vintage-r0713ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26waut_r0713_ind_m01.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-high-rise-column-leg-jeans-dark-vintage-r0713ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,65,IN STOCK,,,Dark Vintage,,,,TRUE,TRUE
55066826,55066826,55066826,High Rise Column Leg Jeans Boden,https://us.boden.com/products/women-high-rise-column-leg-jeans-mid-vintage-r0713den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0713_den_m01.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-high-rise-column-leg-jeans-mid-vintage-r0713den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,34,IN STOCK,,,Mid Vintage,,,,TRUE,TRUE
55067788,55067788,55067788,Rosaline Jersey Skirt Boden,https://us.boden.com/products/women-rosaline-jersey-skirt-navy-r0742nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,130.00,130.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_r0742_nav_m01_4cc8a872-5643-40bd-9e8f-8b235f0e8ba5.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-rosaline-jersey-skirt-navy-r0742nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,93,IN STOCK,,,Navy,,,,TRUE,TRUE
55067063,55067063,55067063,Mid Rise Relaxed Jeans Boden,https://us.boden.com/products/women-mid-rise-relaxed-jeans-mid-vintage-r0729den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,79.99,160.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0729_den_m01_7facb678-2732-486c-a968-2e9d5401feb5.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-mid-rise-relaxed-jeans-mid-vintage-r0729den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,79,IN STOCK,,,Mid Vintage,,,,TRUE,TRUE
55114442,55114442,55114442,High Rise Jersey Leggings Boden,https://us.boden.com/products/women-high-rise-jersey-leggings-black-r0819blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_r0819_blk_m01_ca7b6e8b-3d47-44fb-80bb-89bd22c54f15.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-high-rise-jersey-leggings-black-r0819blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,123,IN STOCK,,,Black,,,,TRUE,TRUE
55114485,55114485,55114485,High Rise Jersey Leggings Boden,https://us.boden.com/products/women-high-rise-jersey-leggings-navy-r0819nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_r0819_nav_m01_78354091-1100-40f1-88b6-a6ee7461046c.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-high-rise-jersey-leggings-navy-r0819nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,107,IN STOCK,,,Navy,,,,TRUE,TRUE
55094611,55094611,55094611,Belgravia Ponte Pants Boden,https://us.boden.com/products/women-belgravia-ponte-pants-black-r0814blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,140.00,140.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26waut_r0814_blk_m01_v1.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-belgravia-ponte-pants-black-r0814blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,345,IN STOCK,,,Black,,,,TRUE,TRUE
55094554,55094554,55094554,Belgravia Ponte Pants Boden,https://us.boden.com/products/women-belgravia-ponte-pants-navy-r0814nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,140.00,140.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0814_nav_m01_v1.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-belgravia-ponte-pants-navy-r0814nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,205,IN STOCK,,,Navy,,,,TRUE,TRUE
55115493,55115493,55115493,Hareem Jersey Sweatpants Boden,https://us.boden.com/products/women-hareem-jersey-sweatpants-deep-wisteria-j0927prp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,89.00,89.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_j0927_prp_m01_355b380e-fac7-472b-b23f-93f642ae1864.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-hareem-jersey-sweatpants-deep-wisteria-j0927prp?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,314,IN STOCK,,,Deep Wisteria,,,,TRUE,TRUE
55130135,55130135,55130135,Canonbury Cotton Pants Boden,https://us.boden.com/products/women-canonbury-cotton-pants-navy-r0837nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,130.00,130.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_r0837_nav_m01_18f19ec9-b02e-4f6a-b745-87cd7f943da7.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-canonbury-cotton-pants-navy-r0837nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,113,IN STOCK,,,Navy,,,,TRUE,TRUE
55130233,55130233,55130233,Canonbury Cotton Pants Boden,https://us.boden.com/products/women-canonbury-cotton-pants-black-r0837blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,130.00,130.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0837_blk_m01_c3ebd5dd-c715-45c9-abc0-f3327faf98d9.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-canonbury-cotton-pants-black-r0837blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149,IN STOCK,,,Black,,,,TRUE,TRUE
55130175,55130175,55130175,Canonbury Cotton 7/8 Pants Boden,https://us.boden.com/products/women-canonbury-cotton-7-8-pants-black-r0836blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,110.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0836_blk_m01_3af08f27-c457-461a-b8c9-4d6f3d1df6b7.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-canonbury-cotton-7-8-pants-black-r0836blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,78,IN STOCK,,,Black,,,,TRUE,TRUE
55130267,55130267,55130267,Canonbury Cotton 7/8 Pants Boden,https://us.boden.com/products/women-canonbury-cotton-7-8-pants-navy-r0836nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,110.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0836_nav_m01.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-canonbury-cotton-7-8-pants-navy-r0836nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,80,IN STOCK,,,Navy,,,,TRUE,TRUE
55130971,55130971,55130971,Mid Rise Straight Leg Jeans Boden,https://us.boden.com/products/women-mid-rise-straight-leg-jeans-light-vintage-r0844ldn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25waut_r0844_ldn_m04_b5ec469e-e2ea-4101-806a-73921b18f922.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-mid-rise-straight-leg-jeans-light-vintage-r0844ldn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,113,IN STOCK,,,Light Vintage,,,,TRUE,TRUE
55130892,55130892,55130892,Mid Rise Straight Leg Jeans Boden,https://us.boden.com/products/women-mid-rise-straight-leg-jeans-mid-vintage-r0844den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,149.00,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0844_den_m01.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-mid-rise-straight-leg-jeans-mid-vintage-r0844den?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,141,IN STOCK,,,Mid Vintage,,,,TRUE,TRUE
55126795,55126795,55126795,Barrel Jeans Boden,https://us.boden.com/products/women-barrel-jeans-dark-vintage-r0833ddn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,63.99,160.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wwin_r0833_ddn_m01_v1_897a0afc-0d4a-4199-b8fb-b2654d09fa0c.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-barrel-jeans-dark-vintage-r0833ddn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,25,IN STOCK,,,Dark Vintage,,,,TRUE,TRUE
55126786,55126786,55126786,Barrel Jeans Boden,https://us.boden.com/products/women-barrel-jeans-mid-vintage-r0833mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,160.00,160.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0833_mdn_m01.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-barrel-jeans-mid-vintage-r0833mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,97,IN STOCK,,,Mid Vintage,,,,TRUE,TRUE
55127744,55127744,55127744,Mid Rise Relaxed Jeans Boden,https://us.boden.com/products/women-mid-rise-relaxed-jeans-indigo-r0729ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,63.99,160.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wwin_r0729_ind_m01_cebb4fc6-94b9-458d-bfb2-32288036970a.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-mid-rise-relaxed-jeans-indigo-r0729ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,55,IN STOCK,,,Indigo,,,,TRUE,TRUE
55136117,55136117,55136117,Mid Rise Relaxed Leg Jeans Boden,https://us.boden.com/products/women-mid-rise-relaxed-leg-jeans-dark-vintage-r0847ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,125.30,179.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_r0847_ind_m01_a3f5d931-4d71-4168-8412-30c5a69e29d5.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-mid-rise-relaxed-leg-jeans-dark-vintage-r0847ind?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,52,IN STOCK,,,Dark Vintage,,,,TRUE,TRUE
55138562,55138562,55138562,Relaxed Wide Leg  Jeans Boden,https://us.boden.com/products/women-relaxed-wide-leg-jeans-mid-vintage-r0839mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,104.30,149.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wwin_r0839_mdn_m01_v2_e71b4ec5-62e6-4a45-82af-7a8be1f85537.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-relaxed-wide-leg-jeans-mid-vintage-r0839mdn?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,27,IN STOCK,,,Mid Vintage,,,,TRUE,TRUE
55150617,55150617,55150617,Kensington Wide Leg Pants Boden,https://us.boden.com/products/women-kensington-wide-leg-pants-poppy-red-r0857brd?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,114.00,190.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/26wspr_r0857_brd_m01_v1_7a89ab4f-bfb3-40c5-a177-a34c7e0a5744.jpg?v=1&width=800,Women,Women,26/08/2026,https://us.boden.com/products/women-kensington-wide-leg-pants-poppy-red-r0857brd?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,9,IN STOCK,,,Poppy Red,,,,TRUE,TRUE
