prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
40122533,40122533,40122533,Plain Cami Top Boden,https://us.boden.com/products/women-plain-cami-top-light-beige-wo064lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_wo064_lpk_m01_5cc48547-7f0a-420b-9b27-d2265e02366b.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-plain-cami-top-light-beige-wo064lpk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,136,IN STOCK,,,Light Beige,,,,TRUE,TRUE
55038790,55038790,55038790,Supersoft Frill Detail Top Boden,https://us.boden.com/products/women-supersoft-frill-detail-top-navy-t1657nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59.00,59.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/24waut_t1657_nav_m02_4e56cac7-6571-4aed-afa2-fcbaa4970032.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-supersoft-frill-detail-top-navy-t1657nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,252,IN STOCK,,,Navy,,,,TRUE,TRUE
55051867,55051867,55051867,Supersoft Frill Henley Top Boden,https://us.boden.com/products/women-supersoft-frill-henley-top-navy-t1734nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,69.00,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1734_nav_m01_ed0d2ad0-9be5-4b1e-9119-da242069718e.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-supersoft-frill-henley-top-navy-t1734nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,300,IN STOCK,,,Navy,,,,TRUE,TRUE
55028664,55028664,55028664,Supersoft Frill Detail T-shirt Boden,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-black-t1685blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,49.00,49.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_t1685_blk_m01_a5799397-aaa6-4b43-a908-250cb6c977fd.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-supersoft-frill-detail-t-shirt-black-t1685blk?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,381,IN STOCK,,,Black,,,,TRUE,TRUE
35794866,35794866,35794866,Plain Cami Top Boden,https://us.boden.com/products/women-plain-cami-top-white-wo064wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,29.00,29.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wxms_wo064_wht_m01_64d51a12-c035-4806-8cf0-316fc68185e3.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-plain-cami-top-white-wo064wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,197,IN STOCK,,,White,,,,TRUE,TRUE
55053396,55053396,55053396,Sienna Linen Shirt Boden,https://us.boden.com/products/women-sienna-linen-shirt-white-t1736wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,110.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1736_wht_m01.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-sienna-linen-shirt-white-t1736wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,120,IN STOCK,,,White,,,,TRUE,TRUE
55053433,55053433,55053433,Sienna Linen Shirt Boden,https://us.boden.com/products/women-sienna-linen-shirt-navy-t1736nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,110.00,110.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1736_nav_m01.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-sienna-linen-shirt-navy-t1736nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,59,IN STOCK,,,Navy,,,,TRUE,TRUE
55049749,55049749,55049749,Supersoft Frill Henley Top Boden,https://us.boden.com/products/women-supersoft-frill-henley-top-white-t1734wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,69.00,69.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1734_wht_m01_654be0d8-6e87-4e3b-93b6-32c6727fa2b3.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-supersoft-frill-henley-top-white-t1734wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,140,IN STOCK,,,White,,,,TRUE,TRUE
55065287,55065287,55065287,Cotton Crew Long Sleeve Top Boden,https://us.boden.com/products/women-cotton-crew-long-sleeve-top-white-t1829wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,45.00,45.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1829_wht_m01_5efc4747-fc54-45b1-a73c-5d03f19eaede.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-cotton-crew-long-sleeve-top-white-t1829wht?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,524,IN STOCK,,,White,,,,TRUE,TRUE
55052516,55052516,55052516,Regular V-Neck Slub Tank Boden,https://us.boden.com/products/women-regular-v-neck-slub-tank-navy-t1825nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,32.00,32.00,https://cdn.shopify.com/s/files/1/0680/4619/2892/files/25wspr_t1825_nav_m01_03c356bf-d564-40e8-92d3-246405d7d430.jpg?v=1&width=800,Women,Women,24/08/2026,https://us.boden.com/products/women-regular-v-neck-slub-tank-navy-t1825nav?tc_ch=display&tc_ve=ba&tc_so=tradedesk&tc_me=pp&tc_ca=bau,,,354,IN STOCK,,,Navy,,,,TRUE,TRUE
