prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5378014609,5378014609,Carvela Women's Cross Body Bag Champagne Fabric Jessica Micro,https://www.carvela.com/women/bags/shoulder-bags/jessica-micro-champagne-fabric-carvela-5378014609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Micro Jessica Bag arrives in a champagne metallic fabric. There is a gold branding on the front flap.9cm (H), 12cm (L), 4cm (D)Strap length: 111cmGold chain strapCan fit classic credit cardsMagnetic snap closureMaterial: SyntheticStyle number: 5378014609","This Micro Jessica Bag arrives in a champagne metallic fabric. There is a gold branding on the front flap.9cm (H), 12cm (L), 4cm (D)Strap length: 111cmGold chain strapCan fit classic credit cardsMagnetic snap closureMaterial: SyntheticStyle number: 5378014609",39.00,39.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5378014609_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414100023,26,IN STOCK,,No Size,Champagne,,,192,TRUE,TRUE,FALSE
Carvela,5989000209,5989000209,Carvela Women's Clutch Bag Black Suede Spirited,https://www.carvela.com/women/bags/clutch-bags/spirited-clutch-black-suede-carvela-5989000209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Spirited Clutch bag is crafted from a black suede. There is a gold tone branded plate on the front flap.&nbsp;14cm (H), 25cm (L), 3cm (D)Strap length: 113cmGold cross body strapInterior zipped pocketCan fit phones up to 6inchesMaterial: SuedeStyle number: 5989000209","This Spirited Clutch bag is crafted from a black suede. There is a gold tone branded plate on the front flap.&nbsp;14cm (H), 25cm (L), 3cm (D)Strap length: 113cmGold cross body strapInterior zipped pocketCan fit phones up to 6inchesMaterial: SuedeStyle number: 5989000209",139.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5989000209_40.jpg?v=1&width=800,Women > Bags > Clutch-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414237217,131,IN STOCK,,No Size,Black,,,118,TRUE,TRUE,FALSE
Carvela,5569151069,5569151069,Carvela Cecilia Hard Clutch - Red Crystal Clutch Bag,https://www.carvela.com/women/bags/clutch-bags/cecilia-hard-clutch-red-dark-fabric-other-carvela-5569151069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Cecilia Hard Clutch Bag is a structured clutch bag with gold trim crafted from a deep red metallic fabric embellished with crystals. There is a crystal embellished clasp closure on the top.10cm (H), 18cm (L), 4cm (D)Strap length: 120cmGold chain cross body strapMaterial: MicrosuedeStyle number: 5569151069","This Cecilia Hard Clutch Bag is a structured clutch bag with gold trim crafted from a deep red metallic fabric embellished with crystals. There is a crystal embellished clasp closure on the top.10cm (H), 18cm (L), 4cm (D)Strap length: 120cmGold chain cross body strapMaterial: MicrosuedeStyle number: 5569151069",119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5569151069_40.jpg?v=1&width=800,Women > Bags > Clutch-bags,WOMEN BAGS,24/08/2026,,TRUE,5020414729484,107,IN STOCK,,No Size,Red,,,133,TRUE,TRUE,FALSE
Carvela,5569171069,5569171069,Carvela Women's clutch Bag Dark Green Fabric Other Cecilia,https://www.carvela.com/women/bags/clutch-bags/cecilia-hard-clutch-dark-green-fabric-other-carvela-5569171069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Cecilia Hard Clutch Bag is a structured clutch bag with gold trim crafted from a green satin fabric that is embellished with green crystals. There is a crystal embellished clasp closure on the top.10cm (H), 18cm (L), 4cm (D)Strap length: 120cmGold chain cross body strapMaterial: FabricStyle number: 5569171069","This Cecilia Hard Clutch Bag is a structured clutch bag with gold trim crafted from a green satin fabric that is embellished with green crystals. There is a crystal embellished clasp closure on the top.10cm (H), 18cm (L), 4cm (D)Strap length: 120cmGold chain cross body strapMaterial: FabricStyle number: 5569171069",119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5569171069_40.jpg?v=1&width=800,Women > Bags > Clutch-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414729491,99,IN STOCK,,No Size,Green,,,137,TRUE,TRUE,FALSE
Carvela,6327900979,6327900979,Carvela Fernanda Shoulder Bag - Black Synthetic Shoulder Bag,https://www.carvela.com/women/bags/shoulder-bags/fernanda-shoulder-bag-black-synthetic-carvela-6327900979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a chic structured black leather alternative with texture, this Fernanda Shoulder Bag can be worn on the shoulder or across the body. There is brushed gold branding on the front flap completing the lobster clasp fastening of the straps.15cm (H), 25cm (L), 8cm (D)Strap length shoulder: 54cmStrap length cross body: 125cmTwo optional strapsFront open pocket under flapInterior zipped pocketCan fit phones up to 6inchesMagnetic snap closure under front flapMaterial: Leather alternativeStyle number: 6327900979","Arriving in a chic structured black leather alternative with texture, this Fernanda Shoulder Bag can be worn on the shoulder or across the body. There is brushed gold branding on the front flap completing the lobster clasp fastening of the straps.15cm (H), 25cm (L), 8cm (D)Strap length shoulder: 54cmStrap length cross body: 125cmTwo optional strapsFront open pocket under flapInterior zipped pocketCan fit phones up to 6inchesMagnetic snap closure under front flapMaterial: Leather alternativeStyle number: 6327900979",109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6327900979_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414729613,226,IN STOCK,,No Size,Black,,,54,TRUE,TRUE,FALSE
Carvela,6328751209,6328751209,Carvela Bianco Slouch Mini - Dark Red Suede Mini Slouch Bag,https://www.carvela.com/women/bags/shoulder-bags/bianco-slouch-mini-red-dark-suede-carvela-6328751209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Bianco Slouch Bag is crafted from a dark red suede leather with soft slouch. There are gold branding details across the hardware.23cm (H), 31cm (L), 10cm (D)Strap length: 45cmStrap length: 108cmCan fit phones up to 6inchesAdjustable shoulder strapMaterial: SuedeStyle number: 6328751209","This Mini Bianco Slouch Bag is crafted from a dark red suede leather with soft slouch. There are gold branding details across the hardware.23cm (H), 31cm (L), 10cm (D)Strap length: 45cmStrap length: 108cmCan fit phones up to 6inchesAdjustable shoulder strapMaterial: SuedeStyle number: 6328751209",169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6328751209_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414729866,187,IN STOCK,,No Size,Red,,,75,TRUE,TRUE,FALSE
Carvela,4611747799,4611747799,Carvela Maria Mini Weave - Taupe Microsuede Weave Tote Bag,https://www.carvela.com/women/bags/shoulder-bags/maria-mini-weave-taupe-suedette-carvela-4611747799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mini Maria Stripe bag is crafted from a taupe microsuede with soft structure. There are taupe leather alternative trims and luggage style tag on the front.19cm (H), 25cm (W), 11cm (D)Strap length: 123cmStrap drop: 59cmFlap over magnetic closureInterior central zipped pocketOuter: MicrosuedeInterior: Monogrammed interior liningStyle number: 4611747799","The Mini Maria Stripe bag is crafted from a taupe microsuede with soft structure. There are taupe leather alternative trims and luggage style tag on the front.19cm (H), 25cm (W), 11cm (D)Strap length: 123cmStrap drop: 59cmFlap over magnetic closureInterior central zipped pocketOuter: MicrosuedeInterior: Monogrammed interior liningStyle number: 4611747799",79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/6/4611747799_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414729934,245,IN STOCK,,No Size,Taupe,,,40,TRUE,TRUE,FALSE
Carvela,5218100979,5218100979,Carvela Maria Micro Belt -,https://www.carvela.com/women/bags/crossbody-bags/maria-micro-belt-black-synthetic-carvela-5218100979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Maria &nbsp;bag is a tote bag crafted from a black leather alternative with pebble grained texture. There are patent leather alternative trims and gold padlock charm attached to the top handle.14cm (H), 17cm (W), 9cm (D)Strap length: 121cmInterior central zipped pocketCan fit phones up to 7inchesFour gold feetInterior: Monogrammed interior liningExterior: SyntheticStyle number: 5218100979","The Micro Maria &nbsp;bag is a tote bag crafted from a black leather alternative with pebble grained texture. There are patent leather alternative trims and gold padlock charm attached to the top handle.14cm (H), 17cm (W), 9cm (D)Strap length: 121cmInterior central zipped pocketCan fit phones up to 7inchesFour gold feetInterior: Monogrammed interior liningExterior: SyntheticStyle number: 5218100979",69.00,69.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/2/5218100979_40.jpg?v=1&width=800,Women > Bags > Crossbody-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414730039,315,IN STOCK,,No Size,Black,,,20,TRUE,TRUE,FALSE
Carvela,6330931799,6330931799,Carvela Livia Scoop - Dark Brown Scoop Cross Body Bag,https://www.carvela.com/women/bags/shoulder-bags/livia-scoop-dark-brown-suedette-carvela-6330931799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Livia Scoop is a cross body bag crafted from a dark brown textured leather alternative. There are two gold buckles to adjust the cross body strap matching the Carvela branding on the front.18cm (H),28cm (L), 10cm (D)Strap length: 109cmAdjustable cross body strapZip top closure&nbsp;Material: Leather alternativeStyle number: 6330931799","This Livia Scoop is a cross body bag crafted from a dark brown textured leather alternative. There are two gold buckles to adjust the cross body strap matching the Carvela branding on the front.18cm (H),28cm (L), 10cm (D)Strap length: 109cmAdjustable cross body strapZip top closure&nbsp;Material: Leather alternativeStyle number: 6330931799",69.00,69.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6330931799_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414730695,93,IN STOCK,,No Size,Brown,,,139,TRUE,TRUE,FALSE
Carvela,6343766069,6343766069,Carvela Brando Shoulder Bag -,https://www.carvela.com/women/bags/shoulder-bags/brando-shoulder-gold-combination-fabric-other-carvela-6343766069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Brando Shoulder bag is crafted from a gold metallic fabric with crystal embellishment. There is a gold branding detail on the front of the bag complimenting the zip closure.&nbsp;11cm (H), 28cm (L), 6cm (D)Strap length: 51cmShoulder strapCan fit laptops up to 6inchesMaterial: FabricStyle number: 6343766069","This Brando Shoulder bag is crafted from a gold metallic fabric with crystal embellishment. There is a gold branding detail on the front of the bag complimenting the zip closure.&nbsp;11cm (H), 28cm (L), 6cm (D)Strap length: 51cmShoulder strapCan fit laptops up to 6inchesMaterial: FabricStyle number: 6343766069",69.00,69.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6343766069_40.jpg?v=1&width=800,Women > Bags > Shoulder-bags,WOMEN BAGS,24/08/2026,,FALSE,5020414751119,174,IN STOCK,,No Size,Metallic,,,81,TRUE,TRUE,FALSE
