prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5779030979,5779030979,Carvela Women's Trainers Brown Synthetic Caprese,https://www.carvela.com/women/shoes/trainers/caprese-laser-trainer-brown-synthetic-carvela-5779030979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Caprese Laser Trainers feature a brown microsuede upper with cut out sides. The front is laced up with crystal embellishment and gold tone branding details.Materials: Leather alternativeStyle number: 5779030979,This pair of Caprese Laser Trainers feature a brown microsuede upper with cut out sides. The front is laced up with crystal embellishment and gold tone branding details.Materials: Leather alternativeStyle number: 5779030979,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5779030979_40.jpg?v=1&width=800,Women > Shoes > Trainers,WOMENS SNEAKER,22/09/2026,,TRUE,5045659851325,179,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Brown,,,56,TRUE,TRUE,FALSE
Carvela,5799833209,5799833209,Carvela Women's Tote Bag Suede Nina Tote,https://www.carvela.com/women/bags/tote-bags/nina-mini-tote-tan-suede-carvela-5799833209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Nina Tote bag is crafted from a soft tan suede leather. There are two top handles, one with a printed satin scarf detail and a branded luggage style tag attached.18cm (H), 25cm (L), 10cm (D)Strap length: 117cmZipped closureInternal zipped pouchFour gold feetMaterial: SuedeStyle number: 5799833209","This Mini Nina Tote bag is crafted from a soft tan suede leather. There are two top handles, one with a printed satin scarf detail and a branded luggage style tag attached.18cm (H), 25cm (L), 10cm (D)Strap length: 117cmZipped closureInternal zipped pouchFour gold feetMaterial: SuedeStyle number: 5799833209",149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5799833209_40.jpg?v=1&width=800,Women > Bags > Tote-bags,WOMEN BAGS,22/09/2026,,TRUE,5045659897583,38,IN STOCK,,No Size,Tan,,,130,TRUE,TRUE,FALSE
Carvela Comfort,5360541109,5360541109,Carvela Women's Loafers Bone Leather Click,https://www.carvela.com/women/shoes/flats/loafers/click-wide-fit-bone-leather-carvela-comfort-5360541109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This wide fit edition of the Click loafer features a bone upper in leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features All Day Long TechnologyMaterial: LeatherStyle number: 5360541109,This wide fit edition of the Click loafer features a bone upper in leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features All Day Long TechnologyMaterial: LeatherStyle number: 5360541109,139.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5360541109_40.jpg?v=1&width=800,Women > Shoes > Flats > Loafers,WOMENS FLATS,22/09/2026,,TRUE,5020413916649,80,IN STOCK,,"3 UK, 4 UK, 5 UK, 5.5 UK, 6 UK, 7 UK, 8 UK, 9 UK",White,,,112,TRUE,TRUE,FALSE
Carvela,5897042609,5897042609,Carvela Positano Lace Sling Back Heel - Cream Lace Slingback Heel,https://www.carvela.com/women/shoes/heels/kitten-heels/positano-lace-sling-low-cream-fabric-carvela-5897042609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Positano Lace Sling Low heel features a white mesh upper which is embroidered with flowers and beads. The ankle strap is fastened with a gold buckle.&nbsp;Heel height: 7cmThis product features All Day Long technologyMaterial: FabricStyle number: 5897042609,This Positano Lace Sling Low heel features a white mesh upper which is embroidered with flowers and beads. The ankle strap is fastened with a gold buckle.&nbsp;Heel height: 7cmThis product features All Day Long technologyMaterial: FabricStyle number: 5897042609,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5897042609_40.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,WOMENS HEELS,22/09/2026,,TRUE,5020413966088,169,IN STOCK,,"4 UK, 6 UK, 7 UK, 8 UK, 9 UK",Nude,,,62,TRUE,TRUE,FALSE
Carvela,5938610609,5938610609,Carvela Wide Fit Corletta Heel - Faux Pearl Crystal Corletta Heel,https://www.carvela.com/women/shoes/heels/corletta-sandal-wide-fit-white-fabric-carvela-5938610609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This wide fit edition of the Corletta Sandal arrives in white with faux pearl and crystal embellishment across the upper and heel. The toe is open and there is a small ankle strap with silver buckle.Heel height: 9cmThis product features All Day Long technologyMaterial: FabricStyle number: 5938610609,This wide fit edition of the Corletta Sandal arrives in white with faux pearl and crystal embellishment across the upper and heel. The toe is open and there is a small ankle strap with silver buckle.Heel height: 9cmThis product features All Day Long technologyMaterial: FabricStyle number: 5938610609,119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5938610609_40.jpg?v=1&width=800,Women > Shoes > Heels,WOMENS HEELS,22/09/2026,,TRUE,5020414045843,27,IN STOCK,,"3 UK, 4 UK, 8 UK, 9 UK",White,,,135,TRUE,TRUE,FALSE
Carvela,6022957609,6022957609,Carvela Women's Sandals Pink Combination Fabric Carmella,https://www.carvela.com/women/shoes/sandals/flat/caramella-footbed-pink-combination-fabric-carvela-6022957609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Sorano Polka Dot Sandals arrive in a bone and brown polka dot style satin fabric. There are gold charms attached to the chain straps over the foot which spell out 'CARVELA'.Gold buckle fastening on the strapsMaterial: SyntheticStyle number: 6022957609,This pair of Sorano Polka Dot Sandals arrive in a bone and brown polka dot style satin fabric. There are gold charms attached to the chain straps over the foot which spell out 'CARVELA'.Gold buckle fastening on the strapsMaterial: SyntheticStyle number: 6022957609,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6022957609_40.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,WOMENS SANDALS,22/09/2026,,TRUE,5020414279248,211,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Pink,,,33,TRUE,TRUE,FALSE
Carvela,6028300109,6028300109,Carvela Passo Flat Loafer - Black Leather Slip On Loafer,https://www.carvela.com/women/shoes/flats/loafers/passo-flat-black-leather-carvela-6028300109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Passo Flat loafer is crafted from a black leather with a pointed closed toe. There is a gold tone branded horsebit strap across the foot with branding.Material: LeatherStyle number: 6028300109,This Passo Flat loafer is crafted from a black leather with a pointed closed toe. There is a gold tone branded horsebit strap across the foot with branding.Material: LeatherStyle number: 6028300109,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6028300109_40.jpg?v=1&width=800,Women > Shoes > Flats > Loafers,WOMENS SANDALS,22/09/2026,,TRUE,5020414291639,153,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,73,TRUE,TRUE,FALSE
Carvela,6034948209,6034948209,Carvela Corletta Court Heel -,https://www.carvela.com/women/shoes/heels/stiletto-heels/corletta-court-camel-suede-carvela-6034948209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Corletta Court is a camel suede heel with pointed toe. There is a small gold Icon C stud at the back of the heel.Heel height: 9cmMaterial: SyntheticStyle number: 6034948209,This Corletta Court is a camel suede heel with pointed toe. There is a small gold Icon C stud at the back of the heel.Heel height: 9cmMaterial: SyntheticStyle number: 6034948209,129.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6034948209_40.jpg?v=1&width=800,Women > Shoes > Heels > Stiletto-heels,WOMENS HEELS,22/09/2026,,TRUE,5020414305411,95,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Tan,,,104,TRUE,TRUE,FALSE
Carvela,6035100029,6035100029,Carvela Women's Trainers Black Suede there Altezza,https://www.carvela.com/women/shoes/trainers/altezza-sneaker-black-suede-other-carvela-6035100029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Altezza Trainers feature a black suede and leather upper which laces up the front. There is a gunmetal zip detail on the outer side of the shoe matching the Icon C stud at the back of the heel.&nbsp;Heel height: 8.5cmMaterial: Suede&nbsp;Style number: 6035100029,This pair of Altezza Trainers feature a black suede and leather upper which laces up the front. There is a gunmetal zip detail on the outer side of the shoe matching the Icon C stud at the back of the heel.&nbsp;Heel height: 8.5cmMaterial: Suede&nbsp;Style number: 6035100029,159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6035100029_40.jpg?v=1&width=800,Women > Shoes > Trainers,WOMENS SNEAKER,22/09/2026,,TRUE,5020414305503,193,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,42,TRUE,TRUE,FALSE
Carvela Comfort,3731984209,3731984209,Carvela Women's Flats Navy Suede Click,https://www.carvela.com/women/shoes/flats/loafers/click-navy-suede-carvela-comfort-3731984209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Click loafer features a burgundy upper in navy suede leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features 'All Day Long' technologyMaterial: Suede leatherStyle number: 3731984209,The Click loafer features a burgundy upper in navy suede leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features 'All Day Long' technologyMaterial: Suede leatherStyle number: 3731984209,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/7/3731984209_40.jpg?v=1&width=800,Women > Shoes > Flats > Loafers,WOMENS SANDALS,22/09/2026,,TRUE,5020414355003,115,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Blue,,,91,TRUE,TRUE,FALSE
