prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5933733209,5933733209,Carvela Women's Boots Tan Suede Reina,https://www.carvela.com/women/shoes/boots/knee-boots/reina-knee-tan-suede-carvela-5933733209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Reina Knee high boot is crafted from a tan suede leather which reaches the knee. The toe is in a pointed style and the heel is accented with a wood effect.Heel height: 8cmMaterial: SuedeStyle number: 5933733209,The Reina Knee high boot is crafted from a tan suede leather which reaches the knee. The toe is in a pointed style and the heel is accented with a wood effect.Heel height: 8cmMaterial: SuedeStyle number: 5933733209,229.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5933733209_40.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414031297,140,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Tan,,,54,TRUE,TRUE,FALSE
Carvela,5358500799,5358500799,Carvela Women's Boots Black Suedette Blanca,https://www.carvela.com/women/shoes/boots/knee-boots/blanca-knee-black-suedette-carvela-5358500799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Blanca Knee boot arrives in a chic, soft black microsuede. The ankle shaft is accented with a crystal embellished elongated buckle.Heel height: 10cmMaterial: MicrosuedeStyle number: 5358500799","The Blanca Knee boot arrives in a chic, soft black microsuede. The ankle shaft is accented with a crystal embellished elongated buckle.Heel height: 10cmMaterial: MicrosuedeStyle number: 5358500799",139.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5358500799_40.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414633262,153,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,52,TRUE,TRUE,FALSE
Carvela,6322900799,6322900799,Carvela Women's Boots Black Suedette Spirit Ankle Boot,https://www.carvela.com/women/shoes/boots/ankle-boots/spirit-60-ankle-black-suedette-carvela-6322900799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Spirit Ankle boot arrives in a soft black microsuede fabric with pointed toe. The boot is sat on a kitten heel.&nbsp;Heel height: 6cmMaterial: MicrosuedeStyle number: 6322900799,This Spirit Ankle boot arrives in a soft black microsuede fabric with pointed toe. The boot is sat on a kitten heel.&nbsp;Heel height: 6cmMaterial: MicrosuedeStyle number: 6322900799,159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6322900799_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414713728,347,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,9,TRUE,TRUE,FALSE
Carvela,6322930799,6322930799,Carvela Spirit 60 Ankle -,https://www.carvela.com/women/shoes/boots/ankle-boots/spirit-60-ankle-brown-suedette-carvela-6322930799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Spirit Ankle boot arrives in a soft brown microsuede fabric with pointed toe. The boot is sat on a kitten heel.&nbsp;Heel height: 6cmMaterial: MicrosuedeStyle number: 6322930799,This Spirit Ankle boot arrives in a soft brown microsuede fabric with pointed toe. The boot is sat on a kitten heel.&nbsp;Heel height: 6cmMaterial: MicrosuedeStyle number: 6322930799,159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6322930799_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414713872,388,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Brown,,,5,TRUE,TRUE,FALSE
Carvela,6323800799,6323800799,Carvela Women's Boots Black Suedette Larino,https://www.carvela.com/women/shoes/boots/ankle-boots/larino-ankle-boot-black-suedette-carvela-6323800799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Larino Ankle Boot features a black microsuede upper with squared toe. The block heel is accented with a gunmetal plate.Heel height: 6.5cmMaterial: MicrosuedeStyle number: 6323800799,This Larino Ankle Boot features a black microsuede upper with squared toe. The block heel is accented with a gunmetal plate.Heel height: 6.5cmMaterial: MicrosuedeStyle number: 6323800799,159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6323800799_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414715371,88,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,75,TRUE,TRUE,FALSE
Carvela,6324200109,6324200109,Carvela Women's Boots Black Leather Bruna,https://www.carvela.com/women/shoes/boots/ankle-boots/bruna-ankle-black-leather-carvela-6324200109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from a black leather, this pair of Bruna Ankle boots sit on a block heel.&nbsp;Heel height: 5.5cmInterior side ankle zipMaterial: LeatherStyle number: 6324200109","Crafted from a black leather, this pair of Bruna Ankle boots sit on a block heel.&nbsp;Heel height: 5.5cmInterior side ankle zipMaterial: LeatherStyle number: 6324200109",179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6324200109_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414715807,99,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,70,TRUE,TRUE,FALSE
Carvela,6385131209,6385131209,Carvela Women's boots Dark Brown Suede Salvetti,https://www.carvela.com/women/shoes/boots/ankle-boots/salvetti-zip-ankle-dark-brown-suede-carvela-6385131209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Salvetti Zip Ankle boot features a dark brown suede upper with statement gunmetal zipper on the outer side of the ankle. This ankle boot is sat on a black cuban heel.Heel height: 7cmStyle number: 6385131209,This Salvetti Zip Ankle boot features a dark brown suede upper with statement gunmetal zipper on the outer side of the ankle. This ankle boot is sat on a black cuban heel.Heel height: 7cmStyle number: 6385131209,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6385131209_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414798602,293,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Brown,,,13,TRUE,TRUE,FALSE
Carvela,6386330829,6386330829,Carvela Women's Ankle Boot Brown Synthetic Rometta,https://www.carvela.com/women/shoes/boots/knee-boots/rometta-high-leg-brown-polyurethane-carvela-6386330829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Introducing the Rometta, a high leg boot crafted from a brown leather alternative. The sleek upper is subtly accented with a zipper along the inner side of the boot. There is a small, gold 'C' stud at the back of the ankle.&nbsp;Heel height: 7cmMaterial: Leather alternativeStyle number: 6386330829","Introducing the Rometta, a high leg boot crafted from a brown leather alternative. The sleek upper is subtly accented with a zipper along the inner side of the boot. There is a small, gold 'C' stud at the back of the ankle.&nbsp;Heel height: 7cmMaterial: Leather alternativeStyle number: 6386330829",179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6386330829_40.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,WOMENS BOOTS,27/08/2026,,FALSE,5020414806109,159,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Brown,,,49,TRUE,TRUE,FALSE
Carvela,0797100209,0797100209,Carvela Women's Boots Black Suede Secil Knee High,https://www.carvela.com/women/shoes/boots/knee-boots/secil-knee-high-black-suede-carvela-0797100209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Secil Chelsea Boot features a black suede leather upper with scrunched ankle. The back of the heel features a micro gold tone Icon C stud.Sole height: 45mmInner side zipMaterial: Nubuck leatherStyle number: 0797100209,This Secil Chelsea Boot features a black suede leather upper with scrunched ankle. The back of the heel features a micro gold tone Icon C stud.Sole height: 45mmInner side zipMaterial: Nubuck leatherStyle number: 0797100209,139.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/0/7/0797100209_40.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,WOMENS BOOTS,27/08/2026,,FALSE,5045654912885,161,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Black,,,48,TRUE,TRUE,FALSE
Carvela,1057400609,1057400609,Carvela Women's Ankle Boot Black Fabric,https://www.carvela.com/women/shoes/boots/ankle-boots/tampa-ankle-black-fabric-carvela-1057400609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Tampa ankle boot features a back microsuede upper with ruched detail at the ankle. The inside of the ankle features a gunmetal zip for slip on comfort.&nbsp;Heel height: 80mmMaterial: FabricStyle number: 1057400609,The Tampa ankle boot features a back microsuede upper with ruched detail at the ankle. The inside of the ankle features a gunmetal zip for slip on comfort.&nbsp;Heel height: 80mmMaterial: FabricStyle number: 1057400609,109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/0/1057400609_40.jpg?v=1&width=800,Women > Shoes > Boots > Ankle-boots,WOMENS BOOTS,27/08/2026,,FALSE,5045655084031,37,IN STOCK,,"3 UK, 4 UK, 5 UK, 7 UK, 8 UK, 9 UK",Black,,,84,TRUE,TRUE,FALSE
