prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5876700979,5876700979,Carvela Women's Sandal Black Synthetic Portofino Sandal,https://www.carvela.com/women/shoes/sandals/flat/portofino-sandal-black-synthetic-carvela-5876700979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Portofino Sandals feature black braided upper crafted from a leather alternative. The sole is in the same design.Material: Leather alternativeStyle number: 5876700979,This pair of Portofino Sandals feature black braided upper crafted from a leather alternative. The sole is in the same design.Material: Leather alternativeStyle number: 5876700979,39.00,39.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5876700979_40.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,WOMENS SANDALS,28/08/2026,,FALSE,5020413916212,11,IN STOCK,,"3 UK, 4 UK, 9 UK",Black,,,169,TRUE,TRUE,FALSE
Carvela Comfort,5360541109,5360541109,Carvela Women's Loafers Bone Leather Click,https://www.carvela.com/women/shoes/flats/loafers/click-wide-fit-bone-leather-carvela-comfort-5360541109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This wide fit edition of the Click loafer features a bone upper in leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features All Day Long TechnologyMaterial: LeatherStyle number: 5360541109,This wide fit edition of the Click loafer features a bone upper in leather which slips onto the foot. The toe is finished with golden tone horsebit chain.This product features All Day Long TechnologyMaterial: LeatherStyle number: 5360541109,139.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5360541109_40.jpg?v=1&width=800,Women > Shoes > Flats > Loafers,WOMENS FLATS,28/08/2026,,FALSE,5020413916649,94,IN STOCK,,"3 UK, 4 UK, 5 UK, 5.5 UK, 6 UK, 7 UK, 8 UK, 9 UK",White,,,73,TRUE,TRUE,FALSE
Carvela,5898331209,5898331209,Carvela Women's Sandals Dark Brown Suede Portofino,https://www.carvela.com/women/shoes/sandals/wedges/portofino-flatform-dark-brown-suede-carvela-5898331209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Portion Platform is crafted from a dark brown suede leather. the toe strap is braided in style with a simple buckled strap across the ankle. The sole is in a woven style.Material: SyntheticStyle number: 5898331209,This Portion Platform is crafted from a dark brown suede leather. the toe strap is braided in style with a simple buckled strap across the ankle. The sole is in a woven style.Material: SyntheticStyle number: 5898331209,79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5898331209_40.jpg?v=1&width=800,Women > Shoes > Sandals > Wedges,WOMENS SANDALS,28/08/2026,,FALSE,5020413968969,26,IN STOCK,,"3 UK, 8 UK, 9 UK",Brown,,,132,TRUE,TRUE,FALSE
Carvela,5898347209,5898347209,Carvela Women's Sandals Taupe Suede Portofino,https://www.carvela.com/women/shoes/sandals/wedges/portofino-flatform-taupe-suede-carvela-5898347209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Portion Platform is crafted from a taupe suede leather. The toe strap is braided in style with a simple buckled strap across the ankle. The sole is in a woven style.Material: SyntheticStyle number: 5898347209,This Portion Platform is crafted from a taupe suede leather. The toe strap is braided in style with a simple buckled strap across the ankle. The sole is in a woven style.Material: SyntheticStyle number: 5898347209,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5898347209_40.jpg?v=1&width=800,Women > Shoes > Sandals > Wedges,WOMENS SANDALS,28/08/2026,,TRUE,5020413969119,135,IN STOCK,,"3 UK, 6 UK, 7 UK, 8 UK, 9 UK",Taupe,,,50,TRUE,TRUE,FALSE
Carvela,5898966109,5898966109,Carvela Women's Sandals Gold Combination Leather Alta Sandal,https://www.carvela.com/women/shoes/alta-sandal-gold-combination-leather-carvela-5898966109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Alta Sandal is crafted from a gold leather which is finished with bronze and gold crystals.&nbsp;Material: LeatherStyle number: 5898966109,This Alta Sandal is crafted from a gold leather which is finished with bronze and gold crystals.&nbsp;Material: LeatherStyle number: 5898966109,59.00,59.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5898966109_40.jpg?v=1&width=800,Women > Shoes,WOMENS SANDALS,28/08/2026,,TRUE,5020413969744,70,IN STOCK,,"3 UK, 4 UK, 7 UK, 8 UK, 9 UK",Metallic,,,86,TRUE,TRUE,FALSE
Carvela,5976131979,5976131979,Carvela Women's Sandals Dark Brown Synthetic Arena Jewel,https://www.carvela.com/women/shoes/sandals/flat/arena-jewel-sandal-dark-brown-synthetic-carvela-5976131979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Arena Jewel Sandals&nbsp;,Arena Jewel Sandals&nbsp;,39.00,39.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5976131979_40.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,WOMENS SANDALS,28/08/2026,,FALSE,5020414158444,8,IN STOCK,,"3 UK, 9 UK",Brown,,,174,TRUE,TRUE,FALSE
Carvela,5893547209,5893547209,Carvela Women's Taupe Suede Corletta Sandal,https://www.carvela.com/women/shoes/heels/corletta-sandal-taupe-suede-carvela-5893547209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Corletta Sandal arrives in a taupe suede leather. The toe is open and there is a small ankle strap with gold buckle.Heel height: 9cmThis product features All Day Long technologyMaterial: SuedeStyle number: 5893547209,This Corletta Sandal arrives in a taupe suede leather. The toe is open and there is a small ankle strap with gold buckle.Heel height: 9cmThis product features All Day Long technologyMaterial: SuedeStyle number: 5893547209,119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5893547209_40.jpg?v=1&width=800,Women > Shoes > Heels,WOMENS SANDALS,28/08/2026,,FALSE,5020414167675,248,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Taupe,,,10,TRUE,TRUE,FALSE
Carvela,6022748209,6022748209,Carvela Avanti Loafer - Camel Suede Loafer,https://www.carvela.com/women/shoes/flats/loafers/avanti-loafer-camel-suede-carvela-6022748209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Avanti Loafers are crafted from a camel suede leather with simple stitching detail around the front of the toe. There is gold branding within the cut out strap on the toe.This product features All Day Long technologyMaterial: Suede leatherStyle number: 6022748209,This pair of Avanti Loafers are crafted from a camel suede leather with simple stitching detail around the front of the toe. There is gold branding within the cut out strap on the toe.This product features All Day Long technologyMaterial: Suede leatherStyle number: 6022748209,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6022748209_40.jpg?v=1&width=800,Women > Shoes > Flats > Loafers,WOMENS FLATS,28/08/2026,,FALSE,5020414278944,151,IN STOCK,,"3 UK, 4 UK, 5 UK, 6 UK, 7 UK, 8 UK, 9 UK",Tan,,,39,TRUE,TRUE,FALSE
Carvela,6030363609,6030363609,Carvela Women's Sandals Silver Fabric Loopi,https://www.carvela.com/women/shoes/sandals/flat/loopi-tt-silver-fabric-carvela-6030363609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Loopi Toe Post sandals feature a silver leather alternative on the upper with twisted straps that are embellished with crystals.&nbsp;This product features All Day Long technologyMaterial: Fabric&nbsp;Style number: 6030363609,This pair of Loopi Toe Post sandals feature a silver leather alternative on the upper with twisted straps that are embellished with crystals.&nbsp;This product features All Day Long technologyMaterial: Fabric&nbsp;Style number: 6030363609,79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6030363609_40.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,WOMENS SANDALS,28/08/2026,,FALSE,5020414293756,14,IN STOCK,,"3 UK, 5 UK, 6 UK, 7 UK, 8 UK",Metallic,,,157,TRUE,TRUE,FALSE
Carvela,6034857609,6034857609,Carvela Caramella Mule -,https://www.carvela.com/women/shoes/heels/stiletto-heels/caramella-mule-pink-combination-fabric-carvela-6034857609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Caramella Mule is crafted from a pink, brown and beige swirled striped printed satin fabric that is completely embellished with crystals.Heel height: 9cmMatching printed footbed with All Day Long technologyMaterial: FabricStyle number: 6034857609","The Caramella Mule is crafted from a pink, brown and beige swirled striped printed satin fabric that is completely embellished with crystals.Heel height: 9cmMatching printed footbed with All Day Long technologyMaterial: FabricStyle number: 6034857609",129.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6034857609_40.jpg?v=1&width=800,Women > Shoes > Heels > Stiletto-heels,WOMENS FLATS,28/08/2026,,FALSE,5020414304964,25,IN STOCK,,"3 UK, 9 UK",Pink,,,133,TRUE,TRUE,FALSE
