id,item_group_id,title,link,image_link,price,sale_price,availability,isactive,isdefault
5063755165399,EAPRA001,Hawes & Curtis Extra Slim Fit White Twill Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/extra-slim-fit-white-twill-non-iron-shirt-contrast-detail1-eapra001-n01,https://handcmediastorage.blob.core.windows.net/productimages/EA/EAPRA001-N01-215848-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755209802,SYVRK019,Hawes & Curtis Slim Fit Pink & White Textured Weave Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/slim-fit-pink-and-white-textured-weave-non-iron-shirt-contrast-detail-syvrk019-j18,https://handcmediastorage.blob.core.windows.net/productimages/SY/SYVRK019-J18-215545-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755250712,SYCRK022,Hawes & Curtis Slim Fit Blue & Purple Check Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/slim-fit-blue-and-purple-multi-check-non-iron-shirt-contrast-detail-sycrk022-b11,https://handcmediastorage.blob.core.windows.net/productimages/SY/SYCRK022-B11-216773-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5059090685388,SSSRA035,Hawes & Curtis Slim Fit Pink & White Bengal Stripe Twill Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-pink-and-white-bengal-stripe-slim-shirt-sssra035-j18,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSSRA035-J18-169392-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063755203886,SSCRK016,Hawes & Curtis Slim Fit Lilac & White Mini Check Non-Iron Shirt,http://www.hawesandcurtis.co.uk/slim-fit-lilac-and-white-mini-check-non-iron-shirt-sscrk016-k44,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSCRK016-K44-215147-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755199073,EYSRK002,Hawes & Curtis Extra Slim Fit Blue & White Stripe Non-Iron Shirt,http://www.hawesandcurtis.co.uk/extra-slim-fit-blue-and-white-stripe-non-iron-shirt-eysrk002-b04,https://handcmediastorage.blob.core.windows.net/productimages/EY/EYSRK002-B04-215189-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755223457,CFCRK004,Hawes & Curtis Classic Fit Blue & White Grid Check Non-Iron Shirt - Short Sleeve - Chest Pocket,http://www.hawesandcurtis.co.uk/tailored-fit-blue-and-white-grid-check-non-iron-shirt-short-sleeve-chest-pocket-cfcrk004-b04,https://handcmediastorage.blob.core.windows.net/productimages/CF/CFCRK004-B04-216675-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5059090482307,IEPGA220,Hawes & Curtis Fitted Slim Blue Poplin Shirt,http://www.hawesandcurtis.co.uk/blue-poplin-fitted-slim-shirt-windsor-collar-double-cuff-iepga220-b01,https://handcmediastorage.blob.core.windows.net/productimages/IE/IEPGA220-B01-194676-1400px-1820px.jpg,65.00 GBP,,in stock,TRUE,TRUE
5063755179105,WYVRK001,Hawes & Curtis Classic Fit Blue & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/classic-fit-blue-and-white-textured-weave-non-iron-shirt3-wyvrk001-b04,https://handcmediastorage.blob.core.windows.net/productimages/WY/WYVRK001-B04-216720-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063056558463,PCPFH011,Hawes & Curtis Slim Fit White Curtis Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/white-slim-shirt-with-contrast-detail2-pcpfh011-n01,https://handcmediastorage.blob.core.windows.net/productimages/PC/PCPFH011-N01-189303-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056868951,SQPRA162,Hawes & Curtis Slim Fit White Pique Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-white-pique-slim-shirt-windsor-collar-double-cuff-sqpra162-n01,https://handcmediastorage.blob.core.windows.net/productimages/SQ/SQPRA162-N01-216853-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755031984,SSSRK001,Hawes & Curtis Slim Fit Navy & White Textured Stripe Non-Iron Shirt,http://www.hawesandcurtis.co.uk/slim-fit-navy-and-white-textured-stripe-non-iron-shirt-sssrk001-g17,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSSRK001-G17-216324-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063056285574,SJSRA024,Hawes & Curtis Slim Fit Navy & White Bold Stripe Non-Iron Shirt - Contrast Detail,http://www.hawesandcurtis.co.uk/non-iron-navy-and-white-bold-stripe-slim-fit-shirt-with-white-collar-and-cuffs-sjsra024-g17,https://handcmediastorage.blob.core.windows.net/productimages/SJ/SJSRA024-G17-172061-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5059090413448,SJSRA014,Hawes & Curtis Slim Fit Navy & White Bengal Stripe Twill Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-navy-and-white-bengal-stripe-slim-fit-shirt-double-cuffs-sjsra014-g17,https://handcmediastorage.blob.core.windows.net/productimages/SJ/SJSRA014-G17-163585-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5059090369981,IFPGA220,Hawes & Curtis Fitted Slim White Poplin Shirt,http://www.hawesandcurtis.co.uk/mens-white-poplin-fitted-slim-shirt-with-windsor-collar-single-cuffs-ifpga220-n01,https://handcmediastorage.blob.core.windows.net/productimages/IF/IFPGA220-N01-215670-1400px-1820px.jpg,65.00 GBP,,in stock,TRUE,TRUE
5059090326144,SQPRA001,Hawes & Curtis Slim Fit White Twill Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-white-twill-slim-shirt-windsor-collar-double-cuff-sqpra001-n01,https://handcmediastorage.blob.core.windows.net/productimages/SQ/SQPRA001-N01-214913-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5059090897125,SSPRA162,Hawes & Curtis Slim Fit Blue Pique Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-blue-pique-slim-shirt-sspra162-b01,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSPRA162-B01-182482-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755240294,SSVRK022,Hawes & Curtis Slim Fit Lilac & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/slim-fit-lilac-and-white-textured-weave-non-iron-shirt3-ssvrk022-k44,https://handcmediastorage.blob.core.windows.net/productimages/SS/SSVRK022-K44-216762-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063056047554,SRCRA007,Hawes & Curtis Non-Iron Navy & White Gingham Check Slim Shirt - Windsor Collar,http://www.hawesandcurtis.co.uk/non-iron-navy-and-white-gingham-check-slim-fit-shirt-windsor-collar-srcra007-g17,https://handcmediastorage.blob.core.windows.net/productimages/SR/SRCRA007-G17-164234-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5054907267160,BFPGA220,Hawes & Curtis Slim Fit Black Curtis Shirt,http://www.hawesandcurtis.co.uk/black-slim-shirt-mid-collar-bfpga220-a01,https://handcmediastorage.blob.core.windows.net/productimages/BF/BFPGA220-A01-215797-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
5063755006135,IFVRJ002,Hawes & Curtis Fitted Slim Lilac & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/fitted-slim-lilac-and-white-textured-weave-non-iron-shirt1-ifvrj002-k44,https://handcmediastorage.blob.core.windows.net/productimages/IF/IFVRJ002-K44-208155-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056047295,SQCRA013,Hawes & Curtis Slim Fit Blue & White Dogtooth Twill Non-Iron Shirt,http://www.hawesandcurtis.co.uk/non-iron-blue-and-white-dogtooth-slim-shirt-windsor-collar-double-cuff-sqcra013-b04,https://handcmediastorage.blob.core.windows.net/productimages/SQ/SQCRA013-B04-180015-1400px-1820px.jpg,69.00 GBP,,in stock,TRUE,TRUE
