id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5059090821694,JKPRCS72,Hawes & Curtis Slim Fit Mid Blue Sharkskin Suit Jacket,http://www.hawesandcurtis.com/mens-mid-blue-sharkskin-slim-fit-suit-jacket-jkprcs72-b58,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRCS72-B58-203963-1400px-1820px.jpg,439.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755091919,COPNK333,Hawes & Curtis Tailored Fit Light Brown Twill Wool-Silk Blazer,http://www.hawesandcurtis.com/tailored-fit-brown-blazer-copnk333-c01,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPNK333-C01-214233-1400px-1820px.jpg,349.00 USD,209.00 USD,in stock,Formalwear,TRUE,TRUE
5063056932959,JKPVJT27,Hawes & Curtis Tailored Fit Grey Semi Plain 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-grey-semi-plain-1913-suit-jacket-jkpvjt27-f01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT27-F01-209161-1400px-1820px.jpg,559.00 USD,,in stock,Formalwear,TRUE,TRUE
5054907671059,TRPRAC03,Hawes & Curtis Classic Fit Black Twill Suit Pants,http://www.hawesandcurtis.com/black-twill-classic-suit-pants-trprac03-a01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRAC03-A01-208931-1400px-1820px.jpg,220.00 USD,160.00 USD,in stock,Formalwear,TRUE,TRUE
JKSRUS43-G01V,JKSRUS43,Hawes & Curtis Slim Fit Navy Chalk Stripe Suit,http://www.hawesandcurtis.com/navy-chalk-stripe-slim-suit-jksrus43-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRUS43-G01V-211462-1400px-1820px.jpg,699.00 USD,569.00 USD,in stock,Formalwear,TRUE,TRUE
5063056790955,COPLI343,Hawes & Curtis Slim Fit Dark Green Semi Plain 1913 Blazer,http://www.hawesandcurtis.com/dark-green-semi-plain-italian-merino-wool-slim-fit-blazer-1913-collection-copli343-e21,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPLI343-E21-207669-1400px-1820px.jpg,789.00 USD,309.00 USD,in stock,Formalwear,TRUE,TRUE
5063056102239,WCPRAS01,Hawes & Curtis Slim Fit Dark Blue Twill Suit Vest,http://www.hawesandcurtis.com/dark-blue-twill-slim-vest-wcpras01-b34,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCPRAS01-B34-210781-1400px-1820px.jpg,190.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755134371,JKPVJT93,Hawes & Curtis Tailored Fit Black Twill 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-black-twill-1913-suit-jacket-jkpvjt93-a01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT93-A01-214673-1400px-1820px.jpg,559.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755135255,TRPVJT93,Hawes & Curtis Tailored Fit Charcoal Twill 1913 Suit Trousers,http://www.hawesandcurtis.com/tailored-fit-charcoal-twill-1913-suit-trousers-trpvjt93-f30,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVJT93-F30-214146-1400px-1820px.jpg,320.00 USD,,in stock,Formalwear,TRUE,TRUE
5063755186349,JKPVKT03,Hawes & Curtis Tailored Fit Brown 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-brown-1913-suit-jacket1-jkpvkt03-c01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVKT03-C01-215385-1400px-1820px.jpg,559.00 USD,,in stock,Formalwear,TRUE,TRUE
TRPLJS45-E01V,JKPLJS453P,Hawes & Curtis Slim Fit Green Herringbone 1913 Suit,http://www.hawesandcurtis.com/slim-fit-green-herringbone-1913-suit1-jkpljs453p-e01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLJS453P-E01V-207001-1400px-1820px.jpg,1219.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056924213,JKPLJS45,Hawes & Curtis Slim Fit Blue Hopsack 1913 Suit Jacket,http://www.hawesandcurtis.com/slim-fit-blue-hopsack-1913-suit-jacket-jkpljs45-b01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLJS45-B01-207023-1400px-1820px.jpg,609.00 USD,,in stock,Formalwear,TRUE,TRUE
jkPVJT93-F30V,JKPVJT933P,Hawes & Curtis Tailored Fit Charcoal Twill 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-charcoal-twill-1913-suit-jkpvjt933p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT933P-F30V-214155-1400px-1820px.jpg,1109.00 USD,,in stock,Formalwear,TRUE,TRUE
5063056752151,JKPVIA29,Hawes & Curtis Tailored Fit Blue Semi Plain 1913 Suit Jacket,http://www.hawesandcurtis.com/blue-semi-plain-italian-wool-tailored-fit-suit-jacket-1913-collection-jkpvia29-b01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVIA29-B01-204290-1400px-1820px.jpg,609.00 USD,,in stock,Formalwear,TRUE,TRUE
