id,item_group_id,title,link,image_link,price,sale_price,availability,isactive,isdefault
5054907141736,SDPJA222,Hawes & Curtis Extra Slim Fit Blue Herringbone Shirt,http://www.hawesandcurtis.co.uk/blue-herringbone-extra-slim-fit-shirt-double-cuffs-sdpja222-b01,https://handcmediastorage.blob.core.windows.net/productimages/SD/SDPJA222-B01-182412-1400px-1820px.jpg,65.00 GBP,25.00 GBP,in stock,TRUE,TRUE
JKSRUS43-G01V,JKSRUS43,Hawes & Curtis Slim Fit Navy Chalk Stripe Suit,http://www.hawesandcurtis.co.uk/navy-chalk-stripe-slim-suit-jksrus43-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRUS43-G01V-211462-1400px-1820px.jpg,399.00 GBP,319.00 GBP,in stock,TRUE,TRUE
JKSRUS33-G01V,JKSRUS33,Hawes & Curtis Slim Fit Navy Chalk Stripe Suit,http://www.hawesandcurtis.co.uk/navy-chalk-stripe-double-breasted-slim-fit-suit-jksrus33-g01v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKSRUS33-G01V-211436-1400px-1820px.jpg,399.00 GBP,319.00 GBP,in stock,TRUE,TRUE
5063056954852,SRVRJ001,Hawes & Curtis Slim Fit Navy & White Textured Weave Non-Iron Shirt,http://www.hawesandcurtis.co.uk/slim-fit-navy-and-white-textured-weave-non-iron-shirt-srvrj001-g17,https://handcmediastorage.blob.core.windows.net/productimages/SR/SRVRJ001-G17-207861-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056388374,PPPVG001,Hawes & Curtis Pink Piqué Polo Shirt,http://www.hawesandcurtis.co.uk/pink-mercerised-cotton-polo-shirt-short-sleeve-pppvg001-j92,https://handcmediastorage.blob.core.windows.net/productimages/PP/PPPVG001-J92-187393-1400px-1820px.jpg,49.00 GBP,20.00 GBP,in stock,TRUE,TRUE
5059090332435,TRPLAA00,Hawes & Curtis Tailored Fit Grey Striped 1913 Morning Suit Trousers With Side Adjusters,http://www.hawesandcurtis.co.uk/mens-grey-striped-italian-wool-morning-suit-trousers-1913-collection-trplaa00-f01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPLAA00-F01-214565-1400px-1820px.jpg,220.00 GBP,170.00 GBP,in stock,TRUE,TRUE
5054907673015,TRPRAS99,Hawes & Curtis Slim Fit Navy Dinner Suit Trousers with Belt Loops,http://www.hawesandcurtis.co.uk/mens-navy-slim-fit-dinner-suit-trousers-with-belt-loops-trpras99-g01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRAS99-G01-203917-1400px-1820px.jpg,160.00 GBP,60.00 GBP,in stock,TRUE,TRUE
5063755228858,LDSRA006,Hawes & Curtis Classic Fit Navy & White Bold Stripe Non-Iron Shirt - Contrast Detail  - Chest Pocket,http://www.hawesandcurtis.co.uk/classic-fit-navy-and-white-bold-stripe-non-iron-shirt-contrast-detail-chest-pocket1-ldsra006-g17,https://handcmediastorage.blob.core.windows.net/productimages/LD/LDSRA006-G17-216932-1400px-1820px.jpg,69.00 GBP,25.00 GBP,in stock,TRUE,TRUE
5063056503029,JWPWH001,Hawes & Curtis Sky Blue Half Zip Jumper - Machine Washable,http://www.hawesandcurtis.co.uk/sky-blue-half-zip-merino-jumper-machine-washable-jwpwh001-b56,https://handcmediastorage.blob.core.windows.net/productimages/JW/JWPWH001-B56-207715-1400px-1820px.jpg,79.00 GBP,35.00 GBP,in stock,TRUE,TRUE
5063056098013,WCCRES36,Hawes & Curtis Slim Fit Blue & Brown Tonal Check Waistcoat,http://www.hawesandcurtis.co.uk/blue-and-brown-windowpane-check-slim-waistcoat-wccres36-b29,https://handcmediastorage.blob.core.windows.net/productimages/WC/WCCRES36-B29-171826-1400px-1820px.jpg,130.00 GBP,20.00 GBP,in stock,TRUE,TRUE
