id,item_group_id,title,link,image_link,price,sale_price,availability,category,isactive,isdefault
5063755019654,OEPSA322,Hawes & Curtis Black Belgian Loafer,http://www.hawesandcurtis.co.uk/black-belgian-loafer2-oepsa322-a01,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA322-A01-209026-1400px-1820px.jpg,169.00 GBP,139.00 GBP,in stock,Footwear,TRUE,TRUE
5063755198861,TIPAK319,Hawes & Curtis Vanilla 1913 Mélange Linen Tie,http://www.hawesandcurtis.co.uk/vanilla-linen-1913-tie-tipak319-h81,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIPAK319-H81-215018-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063755025655,TIPDA868,Hawes & Curtis Grey Grenadine 1913 Tie,http://www.hawesandcurtis.co.uk/grey-grenadine-1913-tie-tipda868-f01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIPDA868-F01-206173-1400px-1820px.jpg,49.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063755198915,TIDBK318,Hawes & Curtis Butter Yellow Seersucker Stripe 1913 Tie,http://www.hawesandcurtis.co.uk/butter-yellow-seersucker-stripe-1913-tie-tidbk318-p93,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDBK318-P93-214429-1400px-1820px.jpg,49.00 GBP,29.00 GBP,in stock,Accessories,TRUE,TRUE
5063056801743,TIDMI889,Hawes & Curtis Ecru Knit Tie - 100% Linen,http://www.hawesandcurtis.co.uk/ecru-knit-tie-100percent-linen-tidmi889-c56,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIDMI889-C56-199809-1400px-1820px.jpg,39.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063056302998,HADSA101,Hawes & Curtis Sage Green Paisley Pocket Square - 100% Silk,http://www.hawesandcurtis.co.uk/sage-green-paisley-pocket-square-100percent-silk-hadsa101-e81,https://handcmediastorage.blob.core.windows.net/productimages/HA/HADSA101-E81-207556-1400px-1820px.jpg,25.00 GBP,5.00 GBP,in stock,Accessories,TRUE,TRUE
5063755210808,OEPCA338,Hawes & Curtis Chocolate Brown Casual Loafer,http://www.hawesandcurtis.co.uk/chocolate-brown-casual-loafer3-oepca338-c30,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA338-C30-214421-1400px-1820px.jpg,139.00 GBP,99.00 GBP,in stock,Footwear,TRUE,TRUE
5063056968422,BEDRA007,Hawes & Curtis Olive Plaited Belt,http://www.hawesandcurtis.co.uk/olive-plaited-stretch-belt-bedra007-e50,https://handcmediastorage.blob.core.windows.net/productimages/BE/BEDRA007-E50-200538-1400px-1820px.jpg,39.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
5063056812688,OEPCA006,Hawes & Curtis Black Derby Lace Up Shoe,http://www.hawesandcurtis.co.uk/black-derby-lace-up-shoe1-oepca006-a01,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA006-A01-200202-1400px-1820px.jpg,169.00 GBP,99.00 GBP,in stock,Footwear,TRUE,TRUE
5063056766783,TIPMA861,Hawes & Curtis Plain Silver Repp Tie,http://www.hawesandcurtis.co.uk/silver-plain-repp-tie-100percent-silk-tipma861-m01,https://handcmediastorage.blob.core.windows.net/productimages/TI/TIPMA861-M01-207409-1400px-1820px.jpg,39.00 GBP,19.00 GBP,in stock,Accessories,TRUE,TRUE
