prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
Hawes & Curtis,5063056813593,5063056813593,Hawes & Curtis Tan Double Monk Strap Shoe,http://www.hawesandcurtis.co.uk/tan-double-monk-strap-shoe-oepca009-z03?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Upgrade your style with these monk strap shoes, crafted from premium Polido calf leather for a sleek look. The double buckle closure adds a modern edge, while the tan colour pairs easily with both formal and smart-casual outfits. Featuring a soft leather lining, cushioned sole, and rubber insert on the sole for added comfort and slip resistance, these shoes offer a perfect blend of sophistication and practicality.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Upgrade your style with these monk strap shoes, crafted from premium Polido calf leather for a sleek look. The double buckle closure adds a modern edge, while the tan colour pairs easily with both formal and smart-casual outfits. Featuring a soft leather lining, cushioned sole, and rubber insert on the sole for added comfort and slip resistance, these shoes offer a perfect blend of sophistication and practicality.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",139.00,139.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA009-Z03-200161-1400px-1820px.jpg,Clothing & Accessories > Shoes,Cheltenham>Casualwear>Menswear,,,FALSE,OEPCA009-Z03,53,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Tan,,169.00,2,TRUE,TRUE
Hawes & Curtis,5063755018978,5063755018978,Hawes & Curtis Chocolate Brown Penny Loafer,http://www.hawesandcurtis.co.uk/chocolate-brown-penny-loafer-oepsa317-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into timeless style with brown penny loafers, a classic choice for any wardrobe. Crafted in premium Polido calf leather, these loafers feature the signature penny strap and a sleek silhouette for a refined look. Perfect for both formal and casual occasions, they offer unmatched versatility and all-day comfort thanks to the rubber insert on the sole for added slip resistance.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Step into timeless style with brown penny loafers, a classic choice for any wardrobe. Crafted in premium Polido calf leather, these loafers feature the signature penny strap and a sleek silhouette for a refined look. Perfect for both formal and casual occasions, they offer unmatched versatility and all-day comfort thanks to the rubber insert on the sole for added slip resistance.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA317-C30-209295-1400px-1820px.jpg,Clothing & Accessories > Shoes,The Gordan Enclosure>Promotions,,,FALSE,OEPSA317-C30,34,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Chocolate,,169.00,4,TRUE,TRUE
Hawes & Curtis,5063755018466,5063755018466,Hawes & Curtis Chocolate Brown Derby Lace Up Shoe,http://www.hawesandcurtis.co.uk/chocolate-brown-derby-lace-up-shoe-oepca298-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Timeless and refined, these men’s brown derby shoes are crafted from smooth Spanish polido calf leather for a polished, premium finish. The open-lace design ensures a comfortable, roomier fit while maintaining a classic, elegant silhouette. Perfectly suited to both formal occasions and smart-casual looks, they offer enduring style with effortless wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal","Timeless and refined, these men’s brown derby shoes are crafted from smooth Spanish polido calf leather for a polished, premium finish. The open-lace design ensures a comfortable, roomier fit while maintaining a classic, elegant silhouette. Perfectly suited to both formal occasions and smart-casual looks, they offer enduring style with effortless wearability.• Leather Upper • Leather Lining• Leather Sole• Leather Sole with Rubber insert Made in Portugal",119.00,119.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA298-C30-209386-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPCA298-C30,7,IN STOCK,,"10, 10.5, 12, 8, 8.5, 9, 9.5",Brown,,169.00,21,TRUE,TRUE
Hawes & Curtis,5063056812046,5063056812046,Hawes & Curtis Brown Oxford Shoe,http://www.hawesandcurtis.co.uk/brown-leather-oxford-shoe-oeppa001-c01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A true classic, these formal brown shoes are the epitome of timeless style. Crafted from Spanish Polido calf leather, it features the signature closed-lacing system and sleek silhouette that define the Oxford design. A rubber insert on the sole adds comfort and slip resistance, making it as practical as it is polished. • Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","A true classic, these formal brown shoes are the epitome of timeless style. Crafted from Spanish Polido calf leather, it features the signature closed-lacing system and sleek silhouette that define the Oxford design. A rubber insert on the sole adds comfort and slip resistance, making it as practical as it is polished. • Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA001-C01-199969-1400px-1820px.jpg,Clothing & Accessories > Shoes,Ascot Royal Enclosure>Promotions,,,FALSE,OEPPA001-C01,65,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Brown,,169.00,1,TRUE,TRUE
Hawes & Curtis,5063755019715,5063755019715,Hawes & Curtis Black Belgian Loafer,http://www.hawesandcurtis.co.uk/black-belgian-loafer2-oepsa322-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"An enduring symbol of style, these loafers are crafted from soft black Italian suede in the iconic Belgian silhouette. With clean lines and a streamlined profile, the classic design ensures a sleek look, while the supple suede finish adds a modern feel. The perfect footwear for black-tie and evening occasions.• Suede Leather Upper• Leather Lining• Leather Sole • Rubber Heel  Made in Portugal","An enduring symbol of style, these loafers are crafted from soft black Italian suede in the iconic Belgian silhouette. With clean lines and a streamlined profile, the classic design ensures a sleek look, while the supple suede finish adds a modern feel. The perfect footwear for black-tie and evening occasions.• Suede Leather Upper• Leather Lining• Leather Sole • Rubber Heel  Made in Portugal",139.00,139.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPSA322-A01-209026-1400px-1820px.jpg,Clothing & Accessories > Shoes,Eveningwear>Men's Accessories >Shoes & Accessories,,,FALSE,OEPSA322-A01,10,IN STOCK,,"10, 11, 12, 7, 8, 9",Black,,169.00,16,TRUE,TRUE
Hawes & Curtis,5063755015465,5063755015465,Hawes & Curtis Black Wingtip Brogue Shoe,http://www.hawesandcurtis.co.uk/black-wingtip-brogue-shoe-oepcj300-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A quintessential brogue for those with an eye for classic prep style, crafted from premium pebble-grain nappa leather. Intricate wingtip detailing and signature brogue perforations lend a sophisticated, refined finish. The leather soles are fitted with a hardwearing, grippy golf-style rubber sole, combining traditional elegance with everyday practicality.• Leather Upper• Leather Lining• Golf Sole • Rubber Heel   Made in Portugal","A quintessential brogue for those with an eye for classic prep style, crafted from premium pebble-grain nappa leather. Intricate wingtip detailing and signature brogue perforations lend a sophisticated, refined finish. The leather soles are fitted with a hardwearing, grippy golf-style rubber sole, combining traditional elegance with everyday practicality.• Leather Upper• Leather Lining• Golf Sole • Rubber Heel   Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCJ300-A01-209380-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPCJ300-A01,20,IN STOCK,,"10, 10.5, 11, 8, 8.5, 9, 9.5",Black,,169.00,9,TRUE,TRUE
Hawes & Curtis,5063755210761,5063755210761,Hawes & Curtis Chocolate Brown Casual Loafer,http://www.hawesandcurtis.co.uk/chocolate-brown-casual-loafer3-oepca338-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Meet the loafers you’ll reach for every day. Made from supple Italian nappa leather, they slip on effortlessly and cradle your feet with a cushioned sock for all-day comfort. A refined rubber sole ensures a confident step, while the minimalist silhouette elevates everything from smart tailoring to weekend essentials with understated elegance.• Leather Upper • Leather Lining • Rubber Sole Made in Portugal","Meet the loafers you’ll reach for every day. Made from supple Italian nappa leather, they slip on effortlessly and cradle your feet with a cushioned sock for all-day comfort. A refined rubber sole ensures a confident step, while the minimalist silhouette elevates everything from smart tailoring to weekend essentials with understated elegance.• Leather Upper • Leather Lining • Rubber Sole Made in Portugal",99.00,99.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCA338-C30-214421-1400px-1820px.jpg,Clothing & Accessories > Shoes,Ascot Village Enclosure>Promotions,,,FALSE,OEPCA338-C30,15,IN STOCK,,"10, 11, 12, 7, 8, 9",Chocolate,,139.00,11,TRUE,TRUE
Hawes & Curtis,5063755012570,5063755012570,Hawes & Curtis Chocolate Brown Semi Brogue Shoe,http://www.hawesandcurtis.co.uk/chocolate-brown-semi-brogue-shoe1-oeppa003-c30?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Blending classic sophistication with subtle detailing, the semi-brogue features delicate perforations along the toe cap and seams. Crafted from Spanish Polido calf leather, it balances formality with flair. A rubber insert on the sole ensures added comfort and slip resistance, making it an ideal choice for both business and formal occasions.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Blending classic sophistication with subtle detailing, the semi-brogue features delicate perforations along the toe cap and seams. Crafted from Spanish Polido calf leather, it balances formality with flair. A rubber insert on the sole ensures added comfort and slip resistance, making it an ideal choice for both business and formal occasions.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",99.00,99.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA003-C30-208046-1400px-1820px.jpg,Clothing & Accessories > Shoes,Cheltenham>Casualwear>Menswear,,,FALSE,OEPPA003-C30,11,IN STOCK,,"10, 10.5, 12, 7, 8, 8.5, 9, 9.5",Brown,,169.00,14,TRUE,TRUE
Hawes & Curtis,5063056812282,5063056812282,Hawes & Curtis Black Wholecut Oxford Dress Shoe,http://www.hawesandcurtis.co.uk/black-italian-leather-wholecut-oxford-dress-shoe-oeppa002-a01?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Crafted from Spanish Polido calf leather, the black wholecut Oxford showcases an elegant silhouette defined by its clean lines and refined shape. Finished with a rubber insert on the sole for enhanced comfort and slip resistance, it's designed to deliver confidence with every step.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","Crafted from Spanish Polido calf leather, the black wholecut Oxford showcases an elegant silhouette defined by its clean lines and refined shape. Finished with a rubber insert on the sole for enhanced comfort and slip resistance, it's designed to deliver confidence with every step.• Leather Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",169.00,169.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPPA002-A01-199955-1400px-1820px.jpg,Clothing & Accessories > Shoes,Ascot Royal Enclosure>Promotions,,,FALSE,OEPPA002-A01,12,IN STOCK,,"10, 10.5, 11, 12, 8, 8.5, 9, 9.5",Black,,169.00,13,TRUE,TRUE
Hawes & Curtis,5063755015946,5063755015946,Hawes & Curtis Caramel Chukka Boots,http://www.hawesandcurtis.co.uk/caramel-chukka-boots-oepcj303-c72?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"A modern take on a classic Chukka, these caramel boots are crafted from soft Italian suede for a refined yet relaxed finish. The ankle-high silhouette, clean open-lace design, and lightweight crepe sole combine effortless comfort with subtle grip and resilience. Versatile and stylish, they pair seamlessly with jeans, chinos, or tailored trousers, moving effortlessly from smart-casual days to weekend outings with understated sophistication.• Suede Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal","A modern take on a classic Chukka, these caramel boots are crafted from soft Italian suede for a refined yet relaxed finish. The ankle-high silhouette, clean open-lace design, and lightweight crepe sole combine effortless comfort with subtle grip and resilience. Versatile and stylish, they pair seamlessly with jeans, chinos, or tailored trousers, moving effortlessly from smart-casual days to weekend outings with understated sophistication.• Suede Upper • Leather Lining • Leather Sole with Rubber insert • Rubber Heel  Made in Portugal",139.00,139.00,https://handcmediastorage.blob.core.windows.net/productimages/OE/OEPCJ303-C72-209345-1400px-1820px.jpg,Clothing & Accessories > Shoes,Gifts>Shoes & Accessories,,,FALSE,OEPCJ303-C72,38,IN STOCK,,"10, 10.5, 11, 12, 7, 8, 8.5, 9, 9.5",Caramel,,169.00,3,TRUE,TRUE
