id,item_group_id,title,link,image_link,price,sale_price,availability,isactive,isdefault
5063755091919,COPNK333,Hawes & Curtis Tailored Fit Light Brown Twill Wool-Silk Blazer,http://www.hawesandcurtis.com/tailored-fit-brown-blazer-copnk333-c01,https://handcmediastorage.blob.core.windows.net/productimages/CO/COPNK333-C01-214233-1400px-1820px.jpg,349.00 USD,209.00 USD,in stock,TRUE,TRUE
5063056932959,JKPVJT27,Hawes & Curtis Tailored Fit Grey Semi Plain 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-grey-semi-plain-1913-suit-jacket-jkpvjt27-f01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT27-F01-209161-1400px-1820px.jpg,559.00 USD,,in stock,TRUE,TRUE
5063755134371,JKPVJT93,Hawes & Curtis Tailored Fit Black Twill 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-black-twill-1913-suit-jacket-jkpvjt93-a01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT93-A01-214673-1400px-1820px.jpg,559.00 USD,,in stock,TRUE,TRUE
5063755134753,TRPVJT93,Hawes & Curtis Tailored Fit Navy Twill Suit 1913 Trousers,http://www.hawesandcurtis.com/tailored-fit-navy-twill-suit-1913-trousers-trpvjt93-g01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVJT93-G01-214599-1400px-1820px.jpg,320.00 USD,,in stock,TRUE,TRUE
5063755186349,JKPVKT03,Hawes & Curtis Tailored Fit Brown 1913 Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-brown-1913-suit-jacket1-jkpvkt03-c01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVKT03-C01-215385-1400px-1820px.jpg,559.00 USD,,in stock,TRUE,TRUE
jkPVJT93-F30V,JKPVJT933P,Hawes & Curtis Tailored Fit Charcoal Twill 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-charcoal-twill-1913-suit-jkpvjt933p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT933P-F30V-214155-1400px-1820px.jpg,1109.00 USD,,in stock,TRUE,TRUE
5063056752151,JKPVIA29,Hawes & Curtis Tailored Fit Blue Semi Plain 1913 Suit Jacket,http://www.hawesandcurtis.com/blue-semi-plain-italian-wool-tailored-fit-suit-jacket-1913-collection-jkpvia29-b01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVIA29-B01-204290-1400px-1820px.jpg,609.00 USD,,in stock,TRUE,TRUE
5063056752403,TRPVIA29,Hawes & Curtis Tailored Fit Blue Semi Plain 1913 Suit Pants,http://www.hawesandcurtis.com/blue-semi-plain-italian-wool-tailored-fit-suit-pants-1913-collection-trpvia29-b01,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPVIA29-B01-204309-1400px-1820px.jpg,350.00 USD,,in stock,TRUE,TRUE
5063755055409,JKPRKT57,Hawes & Curtis Tailored Fit Taupe Hopsack Linen Suit Jacket,http://www.hawesandcurtis.com/tailored-fit-taupe-hopsack-suit-jacket-jkprkt57-c50,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPRKT57-C50-212706-1400px-1820px.jpg,379.00 USD,,in stock,TRUE,TRUE
5063755137389,TRPRKT57,Hawes & Curtis Tailored Fit Taupe Hopsack Linen Suit Pants,http://www.hawesandcurtis.com/tailored-fit-taupe-hopsack-suit-trousers-trprkt57-c50,https://handcmediastorage.blob.core.windows.net/productimages/TR/TRPRKT57-C50-212198-1400px-1820px.jpg,190.00 USD,,in stock,TRUE,TRUE
TRPVJT93-F30V,JKPVJT932P,Hawes & Curtis Tailored Fit Charcoal Twill 1913 Suit,http://www.hawesandcurtis.com/tailored-fit-charcoal-twill-1913-suit1-jkpvjt932p-f30v,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPVJT932P-F30V-214168-1400px-1820px.jpg,879.00 USD,,in stock,TRUE,TRUE
5063056089066,JKPLAA04,Hawes & Curtis Tailored Fit Black 1913 Dinner Suit Jacket,http://www.hawesandcurtis.com/mens-black-tailored-fit-dinner-suit-jacket-1913-collection-jkplaa04-a01,https://handcmediastorage.blob.core.windows.net/productimages/JK/JKPLAA04-A01-211219-1400px-1820px.jpg,669.00 USD,,in stock,TRUE,TRUE
