prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5842949219,5842949219,Kurt Geiger Women's Shoulder Bag Suede Leather Glasto Fringe,https://www.kurtgeiger.com/women/bags/shoulder-bags/glasto-fringe-shoulder-beige-other-suede-leather-kurt-geiger-london-5842949219?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Oxford Fringe Shoulder Bag is crafted from a soft beige suede leather. There are silver studs with crystals across the front of the bag with western stitching. The edges of the bag are lined with statement crystal embellished fringe.15cm (H), 23cm (L), 3cm (D)Strap length: 125cmStrap length shoulder: 51cm&nbsp;Antiqued brass eagle head on the front flapCan fit phones up to 6inchesMagnetic snap closures under front flapGold foil embossed branding on the backMaterial: Suede leatherStyle number: 5842949219","This Oxford Fringe Shoulder Bag is crafted from a soft beige suede leather. There are silver studs with crystals across the front of the bag with western stitching. The edges of the bag are lined with statement crystal embellished fringe.15cm (H), 23cm (L), 3cm (D)Strap length: 125cmStrap length shoulder: 51cm&nbsp;Antiqued brass eagle head on the front flapCan fit phones up to 6inchesMagnetic snap closures under front flapGold foil embossed branding on the backMaterial: Suede leatherStyle number: 5842949219",269.00,269.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5842949219_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,64,IN STOCK,,,Nude,,,174,TRUE,TRUE,FALSE
Kurt Geiger London,5849700109,5849700109,Kurt Geiger London Sloane Hobo Cross Body Bag - Black Leather Hobo Bag,https://www.kurtgeiger.com/women/bags/crossbody-bags/london-hobo-xbody-black-leather-kurt-geiger-london-5849700109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Sloane Hobo Cross Body Bag is crafted from a black soft leather. There is an antiqued brass eagle head above embossed branding on the front.&nbsp;12cm (H), 23cm (L), 7cm (D)Strap length: 126cmStrap length shoulder: 45cmZip top closureRemovable satin scarf charmAntiqued brass chain strapCan fit phones up to 6inchesMaterial: LeatherStyle number: 5849700109","This Sloane Hobo Cross Body Bag is crafted from a black soft leather. There is an antiqued brass eagle head above embossed branding on the front.&nbsp;12cm (H), 23cm (L), 7cm (D)Strap length: 126cmStrap length shoulder: 45cmZip top closureRemovable satin scarf charmAntiqued brass chain strapCan fit phones up to 6inchesMaterial: LeatherStyle number: 5849700109",239.00,239.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5849700109_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,39,IN STOCK,,,Black,,,211,TRUE,TRUE,FALSE
Kurt Geiger London,5848219979,5848219979,Kurt Geiger Women's Mini Bag White Other Micro Kensington,https://www.kurtgeiger.com/women/bags/crossbody-bags/micro-kensington-white-other-synthetic-kurt-geiger-london-5848219979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington Bag features a hand drawn style floral print across the quilted exterior. The gold eagle head features crystals and black bead eyes on the front flap.&nbsp;7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmGold cross body chain strapTwo pop closures under the front flapGold foil embossed branding on the backCan fit classic credit cardsOuter: Leather alternativeInterior: Monogrammed interior liningStyle number: 5848219979","The Micro Kensington Bag features a hand drawn style floral print across the quilted exterior. The gold eagle head features crystals and black bead eyes on the front flap.&nbsp;7cm (H), 10cm (L), 2cm (D)Strap drop cross body: 123cmGold cross body chain strapTwo pop closures under the front flapGold foil embossed branding on the backCan fit classic credit cardsOuter: Leather alternativeInterior: Monogrammed interior liningStyle number: 5848219979",79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5848219979_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,65,IN STOCK,,,White,,,173,TRUE,TRUE,FALSE
Kurt Geiger London,5586646019,5586646019,Kurt Geiger Women's Shoulder Bag Camel Other Leather Kurt Sling,https://www.kurtgeiger.com/women/bags/shoulder-bags/kurt-sling-camel-other-leather-other-kurt-geiger-london-5586646019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Kurt Shoulder Bag is crafted from a deer print calfhair leather. There is an antiqued brass eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmAntiqued brass Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: Leather / OtherStyle number: 5586646019","This Mini Kurt Shoulder Bag is crafted from a deer print calfhair leather. There is an antiqued brass eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmAntiqued brass Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: Leather / OtherStyle number: 5586646019",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586646019_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,57,IN STOCK,,,Tan,,,186,TRUE,TRUE,FALSE
Kurt Geiger London,6056246189,6056246189,Kurt Geiger Women's Shoulder Bag Camel Other Leather Sloane,https://www.kurtgeiger.com/women/bags/crossbody-bags/sloane-bowling-bag-camel-other-leather-other-print-kurt-geiger-london-6056246189?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Sloane Bowling Bag is crafted from a structured animal printed calfhair leather. There is an antiqued silver eagle head on the front of the bag complimenting the antiqued silver KURT charm.20cm (H), 32cm (L), 14cm (D)Strap length: 39cmStrap length: 129cmZip closureAntiqued silver feetMaterial: LeatherStyle number: 6056246189","This Sloane Bowling Bag is crafted from a structured animal printed calfhair leather. There is an antiqued silver eagle head on the front of the bag complimenting the antiqued silver KURT charm.20cm (H), 32cm (L), 14cm (D)Strap length: 39cmStrap length: 129cmZip closureAntiqued silver feetMaterial: LeatherStyle number: 6056246189",279.00,279.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6056246189_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,18/08/2026,,FALSE,,129,IN STOCK,,,Tan,,,80,TRUE,TRUE,FALSE
Kurt Geiger London,5586600019,5586600019,Kurt Geiger Women's Shoulder Black Leather Other Kurt,https://www.kurtgeiger.com/women/bags/shoulder-bags/kurt-sling-black-leather-other-kurt-geiger-london-5586600019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kurt Shoulder Bag is crafted from a black crinkled leather with overstitch quilting. There is a black eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmBlack Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: LeatherStyle number: 5586600019&nbsp;","This Kurt Shoulder Bag is crafted from a black crinkled leather with overstitch quilting. There is a black eagle head sat on the front of the bag above gold foil branding.&nbsp;12cm (H), 23cm (L), 8cm (D)Strap length: 43cmBlack Kurt branding on the top handle&nbsp;Can fit phones up to 6inchesMaterial: LeatherStyle number: 5586600019&nbsp;",149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5586600019_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,187,IN STOCK,,,Black,,,48,TRUE,TRUE,FALSE
Kurt Geiger London,6059900019,6059900019,Kurt Geiger London Celia Xl Shoulder Bag Drench - Black Leather Overstitch Shoulder Bag,https://www.kurtgeiger.com/women/bags/shoulder-bags/celia-xl-shoulder-bag-dr-black-leather-other-kurt-geiger-london-6059900019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Extra Large Celia Shoulder Bag is crafted from a black crinkled leather with overstitch quilted detail. There is a black eagle head on the front flap.24cm (H), 39cm (L), 12cm (D)Strap length: 67cmBlack leather shoulder strapBlack chain strap detailCan fit laptops up to 14inchesBlack branded plate on the backMaterial: LeatherStyle number: 6059900019","This Extra Large Celia Shoulder Bag is crafted from a black crinkled leather with overstitch quilted detail. There is a black eagle head on the front flap.24cm (H), 39cm (L), 12cm (D)Strap length: 67cmBlack leather shoulder strapBlack chain strap detailCan fit laptops up to 14inchesBlack branded plate on the backMaterial: LeatherStyle number: 6059900019",369.00,369.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6059900019_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,189,IN STOCK,,,Black,,,46,TRUE,TRUE,FALSE
Kurt Geiger London,5579240209,5579240209,Kurt Geiger Women's Beige Suede Pickle Shoulder Bag,https://www.kurtgeiger.com/women/bags/shoulder-bags/pickle-shoulder-bag-beige-suede-kurt-geiger-london-5579240209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a soft beige suede leather, this Pickle Shoulder bag features overstitch quilting on the front. There is a gold metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmWith two removable straps, this bag can be worn in multiple ways including as a wristlet, across the body, on the shoulder and as a clutchOptional leather cross body strapMagnetic flap closure under the flapZip closureCan fit phones up to 7inchesMaterial: Suede leatherStyle number: 5579240209","Arriving in a soft beige suede leather, this Pickle Shoulder bag features overstitch quilting on the front. There is a gold metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmWith two removable straps, this bag can be worn in multiple ways including as a wristlet, across the body, on the shoulder and as a clutchOptional leather cross body strapMagnetic flap closure under the flapZip closureCan fit phones up to 7inchesMaterial: Suede leatherStyle number: 5579240209",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5579240209_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,163,IN STOCK,,,Nude,,,61,TRUE,TRUE,FALSE
Kurt Geiger London,5023357999,5023357999,Kurt Geiger Women's Tote Bag Pink Combination Other Hoxton,https://www.kurtgeiger.com/women/bags/shoulder-bags/hoxton-shopper-pink-combination-others-kurt-geiger-london-5023357999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Hoxton Shopper is crafted from panels of pink and purple faux fur in unique textures. There is an antiqued brass crystal embellished eagle head sat on the front of the bag.&nbsp;30cm (H), 37cm (L), 14cm (D)Strap length: 94cmTwo top handles or shoulder strapsCan fit laptops up to 12inchesFour antiqued brass feet on the bottomMaterial: Faux furStyle number: 5023357999","This Hoxton Shopper is crafted from panels of pink and purple faux fur in unique textures. There is an antiqued brass crystal embellished eagle head sat on the front of the bag.&nbsp;30cm (H), 37cm (L), 14cm (D)Strap length: 94cmTwo top handles or shoulder strapsCan fit laptops up to 12inchesFour antiqued brass feet on the bottomMaterial: Faux furStyle number: 5023357999",219.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5023357999_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,18/08/2026,,FALSE,,76,IN STOCK,,,Pink,,,148,TRUE,TRUE,FALSE
Kurt Geiger London,8885588669,8885588669,Kurt Geiger London Women's Cross Body Bag Fabric Denim Mini Kensington,https://www.kurtgeiger.com/women/bags/mini/mini-kensington-soft-bag-denim-denim-kurt-geiger-london-8885588669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Kensington bag is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669","This Mini Kensington bag is crafted from an acid wash denim in weave print. The antiqued brass eagle head features crystals on the front flap.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded metal plate on the backCan fit phones up to 7 inchesSmall internal lining pocketMaterial: DenimInterior: Monogrammed interior liningStyle number: 8885588669",129.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/8/8885588669_20.jpg?v=1&width=800,Women > Bags > Mini,Women > Bags > Mini,18/08/2026,,TRUE,,20,IN STOCK,,,Blue,,,234,TRUE,TRUE,FALSE
