prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,7387500109,7387500109,7387500109,Kurt Geiger London Women's Cross Body Bag Black Kensington Drench,https://www.kurtgeiger.com/women/bags/crossbody-bags/kensington-bag-drench-black-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Kensington Drench Bag is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;17cm (H), 26cm (L), 8cm (D)Strap drop cross body: 111cmStrap drop shoulder: 64cmBlack metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number: 7387500109","The Kensington Drench Bag is crafted from a soft lambskin leather with signature parquet padded overstitch quilt with three rows of weave pattern. The black metal Eagle head features jet black crystals and black crystal eyes on the front flap.&nbsp;17cm (H), 26cm (L), 8cm (D)Strap drop cross body: 111cmStrap drop shoulder: 64cmBlack metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapSilver foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number: 7387500109",259.00,259.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7387500109_20.jpg?v=1&width=800,Women > Bags > Crossbody-bags,Women > Bags > Crossbody-bags,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/3/7387500109_20.jpg?v=1&width=800,TRUE,,495,IN STOCK,,,Black,,,8,TRUE,TRUE,FALSE
Kurt Geiger London,6137300019,6137300019,6137300019,Kurt Geiger Women's Boot Black Leather Fringe Slouch,https://www.kurtgeiger.com/women/shoes/boots/ankle/fringe-slouch-boot-black-leather-other-kurt-geiger-london-6137300019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Piccadilly Slouch boot is pulled onto the foot in a crinkled black leather. The outer side of the ankle features a suede fringe detail. The toe is pointed and the heel is curved.Heel height: 7.5cmMaterial: LeatherStyle number: 6137300019,This Piccadilly Slouch boot is pulled onto the foot in a crinkled black leather. The outer side of the ankle features a suede fringe detail. The toe is pointed and the heel is curved.Heel height: 7.5cmMaterial: LeatherStyle number: 6137300019,229.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137300019_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137300019_20.jpg?v=1&width=800,TRUE,,125,IN STOCK,,,Black,,,39,TRUE,TRUE,FALSE
Kurt Geiger London,6137341019,6137341019,6137341019,Kurt Geiger Women's Boots Bone Leather Other Piccadilly Slouch,https://www.kurtgeiger.com/women/shoes/boots/ankle/fringe-slouch-boot-bone-leather-other-kurt-geiger-london-6137341019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Piccadilly Slouch boot is pulled onto the foot in a crinkled bone leather. The outer side of the ankle features a suede fringe detail. The toe is pointed and the heel is curved.Heel height: 7.5cmMaterial: LeatherStyle number: 6137341019,This Piccadilly Slouch boot is pulled onto the foot in a crinkled bone leather. The outer side of the ankle features a suede fringe detail. The toe is pointed and the heel is curved.Heel height: 7.5cmMaterial: LeatherStyle number: 6137341019,229.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137341019_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137341019_20.jpg?v=1&width=800,TRUE,,82,IN STOCK,,,White,,,50,TRUE,TRUE,FALSE
Kurt Geiger London,6142430109,6142430109,6142430109,Kurt Geiger Women's Boots Brown Leather LouLou,https://www.kurtgeiger.com/women/shoes/boots/flat-boots/ophelia-harness-biker-brown-leather-kurt-geiger-london-6142430109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The LouLou biker boot arrives in a brown pebble grained leather. Multiple crystals and stones embellish the harness strap around the ankle.Heel height: 4cmMaterial: LeatherStyle number: 6142430109,The LouLou biker boot arrives in a brown pebble grained leather. Multiple crystals and stones embellish the harness strap around the ankle.Heel height: 4cmMaterial: LeatherStyle number: 6142430109,299.00,299.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6142430109_20.jpg?v=1&width=800,Women > Shoes > Boots > Flat-boots,Women > Shoes > Boots > Flat-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6142430109_20.jpg?v=1&width=800,TRUE,,130,IN STOCK,,,Brown,,,36,TRUE,TRUE,FALSE
Kurt Geiger London,6149600019,6149600019,6149600019,Kurt Geiger Women's Boots Black Leather Trail,https://www.kurtgeiger.com/women/shoes/boots/ankle/trail-sock-ankle-black-leather-other-kurt-geiger-london-6149600019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Stomp Sock ankle boots are crafted from a black leather with soft ankle for slip on ability. There is a black eagle head stud at the back of the ankle. &nbsp;Heel height: 5cmMaterial: LeatherStyle number: 6149600019,This pair of Stomp Sock ankle boots are crafted from a black leather with soft ankle for slip on ability. There is a black eagle head stud at the back of the ankle. &nbsp;Heel height: 5cmMaterial: LeatherStyle number: 6149600019,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149600019_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149600019_20.jpg?v=1&width=800,TRUE,,221,IN STOCK,,,Black,,,17,TRUE,TRUE,FALSE
Kurt Geiger London,6149731029,6149731029,6149731029,Kurt Geiger Women's Boots Dark Brown Suede Other Stomp Knee,https://www.kurtgeiger.com/women/shoes/boots/knee-boots/stomp-sock-knee-dark-brown-suede-other-kurt-geiger-london-6149731029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Stomp Sock Knee high boots arrive in a dark brown suede leather with soft ankle shaft. The sole is in a stepped up black rubber with large tread.&nbsp;Heel height: 5cmMaterial: Suede otherStyle number: 6149731029,This pair of Stomp Sock Knee high boots arrive in a dark brown suede leather with soft ankle shaft. The sole is in a stepped up black rubber with large tread.&nbsp;Heel height: 5cmMaterial: Suede otherStyle number: 6149731029,189.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149731029_20.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,Women > Shoes > Boots > Knee-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6149731029_20.jpg?v=1&width=800,TRUE,,115,IN STOCK,,,Brown,,,41,TRUE,TRUE,FALSE
Kurt Geiger London,6299399789,6299399789,6299399789,Kurt Geiger Women's Boot Other Velvet Western,https://www.kurtgeiger.com/women/shoes/boots/knee-boots/western-pull-on-other-velvet-kurt-geiger-london-6299399789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Western Pull On boot arrives in an orange tiger printed velvet fabric. There is a micro gold crystal eagle head on the outer side of the ankle shaft.Heel height: 2cmMaterial: VelvetStyle number: 6299399789,This Western Pull On boot arrives in an orange tiger printed velvet fabric. There is a micro gold crystal eagle head on the outer side of the ankle shaft.Heel height: 2cmMaterial: VelvetStyle number: 6299399789,249.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6299399789_20.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,Women > Shoes > Boots > Knee-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/2/6299399789_20.jpg?v=1&width=800,TRUE,,157,IN STOCK,,,,,,30,TRUE,TRUE,FALSE
Kurt Geiger London,6137846189,6137846189,6137846189,Kurt Geiger Women's Camel Other Leather rOther Large,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/large-eagle-sling-40-camel-other-leather-other-print-kurt-geiger-london-6137846189?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a leopard printed calfhair leather. The toe is pointed and a large silver eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: LeatherStyle number: 6137846189,The Belsize is a slingback heel crafted from a leopard printed calfhair leather. The toe is pointed and a large silver eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: LeatherStyle number: 6137846189,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137846189_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137846189_20.jpg?v=1&width=800,TRUE,,123,IN STOCK,,,Tan,,,40,TRUE,TRUE,FALSE
Kurt Geiger London,6140700019,6140700019,6140700019,Kurt Geiger Women's Boots Black Leather Other Sloane Riding,https://www.kurtgeiger.com/women/shoes/boots/knee-boots/sloane-riding-boot-black-leather-other-kurt-geiger-london-6140700019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Pull on the Sloane Riding Boot. The upper is crafted from a luxury black leather with simple strap around the ankle accented with an antiqued brass buckle.Material: LeatherStyle number: 6140700019,Pull on the Sloane Riding Boot. The upper is crafted from a luxury black leather with simple strap around the ankle accented with an antiqued brass buckle.Material: LeatherStyle number: 6140700019,249.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140700019_20.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,Women > Shoes > Boots > Knee-boots,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140700019_20.jpg?v=1&width=800,TRUE,,103,IN STOCK,,,Black,,,44,TRUE,TRUE,FALSE
Kurt Geiger London,6008000019,6008000019,6008000019,Kurt Geiger London Chelsea Block Sling Drench - Black Leather Slingback Heel,https://www.kurtgeiger.com/women/shoes/heels/block-heels/chelsea-block-sling-dr-black-leather-other-kurt-geiger-london-6008000019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,Women > Shoes > Heels > Block-heels,Women > Shoes > Heels > Block-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,TRUE,,106,IN STOCK,,,Black,,,43,TRUE,TRUE,FALSE
Kurt Geiger London,1470400109,1470400109,1470400109,Kurt Geiger London Leather Kensington Bag - Black Quilted Leather Kensington Bag,https://www.kurtgeiger.com/women/bags/shoulder-bags/leather-kensington-x-bag-black-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Leather Kensington Bag is crafted from soft lambskin leather combining both weave and chevron patterns. The antiqued brass Eagle head features opaque brass crystals and black crystal eyes on the front flap.17cm (H), 26cm (L), 8cm (D)Strap drop cross body: 111cmStrap drop shoulder: 64cmAntiqued brass chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapGold foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;1470400109","The Leather Kensington Bag is crafted from soft lambskin leather combining both weave and chevron patterns. The antiqued brass Eagle head features opaque brass crystals and black crystal eyes on the front flap.17cm (H), 26cm (L), 8cm (D)Strap drop cross body: 111cmStrap drop shoulder: 64cmAntiqued brass chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapGold foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;1470400109",259.00,259.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/4/1470400109_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/4/1470400109_20.jpg?v=1&width=800,TRUE,,183,IN STOCK,,,Black,,,22,TRUE,TRUE,FALSE
