prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5895561979,5895561979,5895561979,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-gold-synthetic-kurt-geiger-london-5895561979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Meena Eagle Slide sandals feature a metallic gold upper with overstitch quilting design. There is a gold eagle head sat on top of the foot strap.Material: SyntheticStyle number: 5895561979,This pair of Meena Eagle Slide sandals feature a metallic gold upper with overstitch quilting design. There is a gold eagle head sat on top of the foot strap.Material: SyntheticStyle number: 5895561979,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895561979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895561979_20.jpg?v=1&width=800,TRUE,,673,IN STOCK,,,Metallic,,,24,TRUE,TRUE,FALSE
Kurt Geiger London,8650300979,8650300979,8650300979,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-drench-black-synthetic-kurt-geiger-london-8650300979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Meena Eagle sandal arrives in a black slide on style. The wide strap is quilted and topped with black metal eagle head with crystals to create a drench effect.Material: Leather alternativeMoulded footbedStyle number: 8650300979,This Meena Eagle sandal arrives in a black slide on style. The wide strap is quilted and topped with black metal eagle head with crystals to create a drench effect.Material: Leather alternativeMoulded footbedStyle number: 8650300979,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/6/8650300979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/6/8650300979_20.jpg?v=1&width=800,TRUE,,8198,IN STOCK,,,BLACK,,,2,TRUE,TRUE,FALSE
Kurt Geiger London,5602800109,5602800109,5602800109,kensington 17 drench bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-dr-17-black-leather-kurt-geiger-london-5602800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This drench edition of the Kensington 17 purse is crafted from a black leather with three rows of overstitch quilting. There is a black eagle head sat on the front flap.3.9in (H), 6.6in (L), 1.9in(D)Strap length: 25.5inBlack chain cross body strapTwo magnetic snap closures under front flapBlack branded plate on the backMaterial: LeatherStyle number: 5602800109","This drench edition of the Kensington 17 purse is crafted from a black leather with three rows of overstitch quilting. There is a black eagle head sat on the front flap.3.9in (H), 6.6in (L), 1.9in(D)Strap length: 25.5inBlack chain cross body strapTwo magnetic snap closures under front flapBlack branded plate on the backMaterial: LeatherStyle number: 5602800109",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5602800109_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5602800109_20.jpg?v=1&width=800,TRUE,,1941,IN STOCK,,,BLACK,,,16,TRUE,TRUE,FALSE
Kurt Geiger London,3036240609,3036240609,3036240609,mini fabric kensington bag,https://www.kurtgeiger.us/women/bags/mini/fabric-mini-kensington-v-beige-fabric-kurt-geiger-london-3036240609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Fabric Mini Kensington is crafted from a houndstooth fabric topped with brass crystals. The antiqued brass Eagle head features crystals and black bead eyes on the front fap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded plate on the backCan fit phones up to 7 inchesSmall internal lining pocketPlease take extra care when styling this piece with delicate fabricsOuter: Houndstooth fabricInterior: Monogrammed interior liningStyle number: 3036240609","The Fabric Mini Kensington is crafted from a houndstooth fabric topped with brass crystals. The antiqued brass Eagle head features crystals and black bead eyes on the front fap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass chain strapDuo magnetic snap closure hidden under flapAntiqued brass branded plate on the backCan fit phones up to 7 inchesSmall internal lining pocketPlease take extra care when styling this piece with delicate fabricsOuter: Houndstooth fabricInterior: Monogrammed interior liningStyle number: 3036240609",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/0/3036240609_20.jpg?v=1&width=800,Womens> Bags> Crossbody,Womens> Bags> Crossbody,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/0/3036240609_20.jpg?v=1&width=800,TRUE,,918,IN STOCK,,,Nude,,,18,TRUE,TRUE,FALSE
Kurt Geiger London,5613469619,5613469619,5613469619,kurt runner,https://www.kurtgeiger.us/women/shoes/sneakers/kurt-runner-multi-other-fabric-leather-kurt-geiger-london-5613469619?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Runner is crafted from a floral printed fabric with clear sequin embellishment. The front laces up with gold eyelets. There is a silver tag detail with a gold eagle head sat on top.Material: FabricStyle number: 5613469619,This pair of Kurt Runner is crafted from a floral printed fabric with clear sequin embellishment. The front laces up with gold eyelets. There is a silver tag detail with a gold eagle head sat on top.Material: FabricStyle number: 5613469619,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613469619_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613469619_20.jpg?v=1&width=800,TRUE,,567,IN STOCK,,,Multi-Coloured,,,25,TRUE,TRUE,FALSE
Kurt Geiger London,1470400109,1470400109,1470400109,leather kensington bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/leather-kensington-x-bag-black-leather-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Leather Kensington Bag is crafted from soft lambskin leather combining both weave and chevron patterns. The antiqued brass Eagle head features opaque brass crystals and black crystal eyes on the front flap.6.7in (H), 10.2in (L), 3.1in (D)Strap drop cross body: 43.7inStrap drop shoulder: 25.2inAntiqued brass chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapGold foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;1470400109","The Leather Kensington Bag is crafted from soft lambskin leather combining both weave and chevron patterns. The antiqued brass Eagle head features opaque brass crystals and black crystal eyes on the front flap.6.7in (H), 10.2in (L), 3.1in (D)Strap drop cross body: 43.7inStrap drop shoulder: 25.2inAntiqued brass chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapGold foil embossed logo on the backCan fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: Lambskin leatherInterior: Monogrammed interior liningStyle number:&nbsp;1470400109",278.00,278.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/4/1470400109_20.jpg?v=1&width=800,Womens> Bags> Shoulder,Womens> Bags> Shoulder,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/4/1470400109_20.jpg?v=1&width=800,TRUE,,696,IN STOCK,,,BLACK,,,23,TRUE,TRUE,FALSE
Kurt Geiger London,4372810109,4372810109,4372810109,mini leather kensington bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/leather-mini-kensington-white-leather-kurt-geiger-london-4372810109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Leather Mini Kensington purse is crafted from a white leather with overstitch quilting combining both weave and chevron patterns. The antiqued brass eagle head sits on the front flap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass metal chain strapDuo magnetic snap closure hidden under flapAntiqued silver branded plate on the back&nbsp;Can fit phones up to 7 inchesSmall internal lining pocketOuter: LeatherInterior: Monogrammed interior liningStyle number: 4372810109","The Leather Mini Kensington purse is crafted from a white leather with overstitch quilting combining both weave and chevron patterns. The antiqued brass eagle head sits on the front flap.&nbsp;5.5in (H), 7.9in (L), 2.4in (D)Strap drop cross body: 47.2inStrap drop shoulder: 30.3inAntiqued brass metal chain strapDuo magnetic snap closure hidden under flapAntiqued silver branded plate on the back&nbsp;Can fit phones up to 7 inchesSmall internal lining pocketOuter: LeatherInterior: Monogrammed interior liningStyle number: 4372810109",218.00,218.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4372810109_20.jpg?v=1&width=800,Womens> Bags>  Mini Bag,Womens> Bags>  Mini Bag,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4372810109_20.jpg?v=1&width=800,TRUE,,892,IN STOCK,,,WHITE,,,19,TRUE,TRUE,FALSE
Kurt Geiger London,9548688669,9548688669,9548688669,micro kensington bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/micro-kensington-denim-denim-kurt-geiger-london-9548688669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Micro Kensington Purse is crafted from a denim fabric with acid wash weave design. The antiqued brass eagle head features crystals on the front flap.&nbsp;2.7in (H), 3.9in (L), 0.7in (D)Strap drop cross body: 48.4inAntiqued brass chain strapTwo pop closures under flapAntiqued brass branded plate on the backCan fit classic credit cardsOuter: DenimInterior: Monogrammed interior liningStyle number:&nbsp;9548688669","The Micro Kensington Purse is crafted from a denim fabric with acid wash weave design. The antiqued brass eagle head features crystals on the front flap.&nbsp;2.7in (H), 3.9in (L), 0.7in (D)Strap drop cross body: 48.4inAntiqued brass chain strapTwo pop closures under flapAntiqued brass branded plate on the backCan fit classic credit cardsOuter: DenimInterior: Monogrammed interior liningStyle number:&nbsp;9548688669",88.00,88.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548688669_21.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/5/9548688669_21.jpg?v=1&width=800,TRUE,,6299,IN STOCK,,,Blue,,,3,TRUE,TRUE,FALSE
Kurt Geiger London,6318979999,6318979999,6318979999,kensington slippers,https://www.kurtgeiger.us/women/shoes/flats/kensington-slippers-green-other-others-kurt-geiger-london-6318979999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kensington Slippers feature a green shearling style faux fur upper with a gold crystal embellished eagle head sat on the toe. The lining is in a blue faux shearling.Material: FabricStyle number: 6318979999,This pair of Kensington Slippers feature a green shearling style faux fur upper with a gold crystal embellished eagle head sat on the toe. The lining is in a blue faux shearling.Material: FabricStyle number: 6318979999,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318979999_20.jpg?v=1&width=800,Womens> Shoes>  Slippers,Womens> Shoes>  Slippers,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/3/6318979999_20.jpg?v=1&width=800,TRUE,,2957,IN STOCK,,,GREEN,,,11,TRUE,TRUE,FALSE
Kurt Geiger London,7400288669,7400288669,7400288669,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-denim-denim-kurt-geiger-london-7400288669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Meena Eagle sandal arrives in a denim slide on style. The strap features a bleached weave effect and an antiqued brass eagle head on the top.Material: TextileMoulded footbedStyle number: 7400288669,The Meena Eagle sandal arrives in a denim slide on style. The strap features a bleached weave effect and an antiqued brass eagle head on the top.Material: TextileMoulded footbedStyle number: 7400288669,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400288669_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400288669_20.jpg?v=1&width=800,TRUE,,2281,IN STOCK,,,Blue,,,15,TRUE,TRUE,FALSE
