prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,6137831689,6137831689,6137831689,Kurt Geiger Women's Heels Dark Brown Fabric Eagle Sling 40,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/large-eagle-sling-40-dark-brown-fabric-other-print-kurt-geiger-london-6137831689?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a brown croc embossed satin. The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: SatinStyle number: 6137831689,The Belsize is a slingback heel crafted from a brown croc embossed satin. The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: SatinStyle number: 6137831689,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137831689_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137831689_20.jpg?v=1&width=800,FALSE,,97,IN STOCK,,,Brown,,,14,TRUE,TRUE,FALSE
Kurt Geiger London,6139540609,6139540609,6139540609,Kurt Geiger Women's Heels Beige Fabric Stepney,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/marge-sling-beige-fabric-kurt-geiger-london-6139540609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Stepney Sling heel is crafted from a houndstooth fabric with bronze crystal embellishment. The slingback strap is fastened with a simple antiqued brass buckle.Heel height: 5cmKitten heelMaterial: FabricStyle number: 6139540609,This Stepney Sling heel is crafted from a houndstooth fabric with bronze crystal embellishment. The slingback strap is fastened with a simple antiqued brass buckle.Heel height: 5cmKitten heelMaterial: FabricStyle number: 6139540609,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139540609_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139540609_20.jpg?v=1&width=800,FALSE,,156,IN STOCK,,,Nude,,,9,TRUE,TRUE,FALSE
Kurt Geiger London,6008000019,6008000019,6008000019,Kurt Geiger London Chelsea Block Sling Drench - Black Leather Slingback Heel,https://www.kurtgeiger.com/women/shoes/heels/block-heels/chelsea-block-sling-dr-black-leather-other-kurt-geiger-london-6008000019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,Women > Shoes > Heels > Block-heels,Women > Shoes > Heels > Block-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,TRUE,,106,IN STOCK,,,Black,,,13,TRUE,TRUE,FALSE
Kurt Geiger London,9786961109,9786961109,9786961109,Kurt Geiger London Belgravia Sling Back Heel - Gold Leather Fabric Slingback Heel,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/belgravia-sling-back-gold-leather-kurt-geiger-london-9786961109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Belgravia Sling Back heel features a gold leather upper with pointed toe. The gold Eagle head features crystals sat on the toe.Heel height: 6cmOverstitched quilted insole with padding, seen across the Kensington rangeMaterial: LeatherStyle number: 9786961109","The Belgravia Sling Back heel features a gold leather upper with pointed toe. The gold Eagle head features crystals sat on the toe.Heel height: 6cmOverstitched quilted insole with padding, seen across the Kensington rangeMaterial: LeatherStyle number: 9786961109",169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9786961109_20.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9786961109_20.jpg?v=1&width=800,FALSE,,157,IN STOCK,,,Metallic,,,8,TRUE,TRUE,FALSE
Kurt Geiger London,0538640609,0538640609,0538640609,KURT GEIGER LONDON Women's Heels Beige Fabric Belgravia Sling Back,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/belgravia-sling-beige-fabric-kurt-geiger-london-0538640609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belgravia Slingback arrives in a beige houndstooth fabric embellished with crystals featuring a pointed toe and elasticated ankle strap.Heel height: 6.5cmQuilted padded footbed&nbsp;Material: FabricStyle number: 0538640609,The Belgravia Slingback arrives in a beige houndstooth fabric embellished with crystals featuring a pointed toe and elasticated ankle strap.Heel height: 6.5cmQuilted padded footbed&nbsp;Material: FabricStyle number: 0538640609,129.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/0/5/0538640609_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/0/5/0538640609_20.jpg?v=1&width=800,FALSE,,65,IN STOCK,,,Nude,,,18,TRUE,TRUE,FALSE
Kurt Geiger London,5850241309,5850241309,5850241309,Kurt Geiger Women's Heels Bone Patent Court Buckle,https://www.kurtgeiger.com/women/shoes/heels/2-buckle-point-court-bone-patent-kurt-geiger-london-5850241309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This pair of Buckle Point Court heel is crafted from a bone patent leather with pointed toe. There are two crystal embellished buckles, one on the toe and one around the ankle.Heel height: 10.5cmCrystal embellished heelMaterial: LeatherStyle number: 5850241309","This pair of Buckle Point Court heel is crafted from a bone patent leather with pointed toe. There are two crystal embellished buckles, one on the toe and one around the ankle.Heel height: 10.5cmCrystal embellished heelMaterial: LeatherStyle number: 5850241309",179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850241309_20.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850241309_20.jpg?v=1&width=800,FALSE,,94,IN STOCK,,,White,,,15,TRUE,TRUE,FALSE
Kurt Geiger London,6139739999,6139739999,6139739999,Kurt Geiger Women's Heels Brown Other Mascot Court,https://www.kurtgeiger.com/women/shoes/heels/mascot-court-brown-other-others-kurt-geiger-london-6139739999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Mascot Court heels feature a statement upper in a soft faux fur creating a bird mascot.&nbsp;Heel height: 8.5cmMaterial: OtherStyle number: 6139739999,This pair of Mascot Court heels feature a statement upper in a soft faux fur creating a bird mascot.&nbsp;Heel height: 8.5cmMaterial: OtherStyle number: 6139739999,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139739999_20.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139739999_20.jpg?v=1&width=800,FALSE,,68,IN STOCK,,,Brown,,,17,TRUE,TRUE,FALSE
Kurt Geiger London,6139500309,6139500309,6139500309,Kurt Geiger Women's Heels Black Patent Marge,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/marge-sling-black-patent-kurt-geiger-london-6139500309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Stepney Slingback heel arrives in a black patent leather with pointed toe. There is a gunmetal buckle on the ankle strap.Heel height: 5cmMaterial: Patent leatherStyle number: 6139500309,This Stepney Slingback heel arrives in a black patent leather with pointed toe. There is a gunmetal buckle on the ankle strap.Heel height: 5cmMaterial: Patent leatherStyle number: 6139500309,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139500309_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139500309_20.jpg?v=1&width=800,FALSE,,143,IN STOCK,,,Black,,,11,TRUE,TRUE,FALSE
Kurt Geiger London,6137843609,6137843609,6137843609,Kurt Geiger London Belsize 40 Sling - Houndstooth Crystal Slingback Heel,https://www.kurtgeiger.com/women/shoes/heels/kitten-heels/large-eagle-sling-40-beige-combination-fabric-kurt-geiger-london-6137843609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a beige houndstooth fabric that is embellished with iridescent crystals. The toe is pointed and a large antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: FabricStyle number: 6137843609,The Belsize is a slingback heel crafted from a beige houndstooth fabric that is embellished with iridescent crystals. The toe is pointed and a large antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: FabricStyle number: 6137843609,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137843609_20.jpg?v=1&width=800,Women > Shoes > Heels > Kitten-heels,Women > Shoes > Heels > Kitten-heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137843609_20.jpg?v=1&width=800,FALSE,,147,IN STOCK,,,Nude,,,10,TRUE,TRUE,FALSE
Kurt Geiger London,5386452209,5386452209,5386452209,Kurt Geiger London Belsize Sling Back Heel - Fuchsia Suede Slingback Heel,https://www.kurtgeiger.com/women/shoes/heels/large-eagle-sling-fushia-suede-kurt-geiger-london-5386452209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a soft fuchsia suede leather. The toe is pointed and an oversized antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 8.5cmMaterial: Suede leatherStyle number: 5386452209,The Belsize is a slingback heel crafted from a soft fuchsia suede leather. The toe is pointed and an oversized antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 8.5cmMaterial: Suede leatherStyle number: 5386452209,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5386452209_20.jpg?v=1&width=800,Women > Shoes > Heels,Women > Shoes > Heels,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5386452209_20.jpg?v=1&width=800,FALSE,,130,IN STOCK,,,Pink,,,12,TRUE,TRUE,FALSE
