prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,6137800309,6137800309,6137800309,belsize 40 sling,https://www.kurtgeiger.us/women/shoes/heels/large-eagle-sling-40-black-patent-kurt-geiger-london-6137800309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a patent black leather with fashionably pointed toe. A large black eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: Patent leatherStyle number: 6137800309,The Belsize is a slingback heel crafted from a patent black leather with fashionably pointed toe. A large black eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: Patent leatherStyle number: 6137800309,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137800309_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137800309_20.jpg?v=1&width=800,FALSE,,262,IN STOCK,,,BLACK,,,2,TRUE,TRUE,FALSE
Kurt Geiger London,6139540609,6139540609,6139540609,stepney sling heel,https://www.kurtgeiger.us/women/shoes/heels/marge-sling-beige-fabric-kurt-geiger-london-6139540609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Stepney Sling heel is crafted from a houndstooth fabric with bronze crystal embellishment. The slingback strap is fastened with a simple antiqued brass buckle.Heel height: 5cmKitten heelMaterial: FabricStyle number: 6139540609,This Stepney Sling heel is crafted from a houndstooth fabric with bronze crystal embellishment. The slingback strap is fastened with a simple antiqued brass buckle.Heel height: 5cmKitten heelMaterial: FabricStyle number: 6139540609,128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139540609_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139540609_20.jpg?v=1&width=800,FALSE,,248,IN STOCK,,,Nude,,,4,TRUE,TRUE,FALSE
Kurt Geiger London,6137843609,6137843609,6137843609,belsize 40 sling,https://www.kurtgeiger.us/women/shoes/heels/large-eagle-sling-40-beige-combination-fabric-kurt-geiger-london-6137843609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a beige houndstooth fabric that is embellished with iridescent crystals. The toe is pointed and a large antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: FabricStyle number: 6137843609,The Belsize is a slingback heel crafted from a beige houndstooth fabric that is embellished with iridescent crystals. The toe is pointed and a large antiqued brass eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: FabricStyle number: 6137843609,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137843609_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137843609_20.jpg?v=1&width=800,FALSE,,142,IN STOCK,,,Nude,,,11,TRUE,TRUE,FALSE
Kurt Geiger London,6137891789,6137891789,6137891789,belsize 40 sling,https://www.kurtgeiger.us/women/shoes/heels/large-eagle-sling-40-orange-velvet-kurt-geiger-london-6137891789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a tiger striped velvet fabric with green microsuede trim on the footbed . The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: VelvetStyle number: 6137891789,The Belsize is a slingback heel crafted from a tiger striped velvet fabric with green microsuede trim on the footbed . The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: VelvetStyle number: 6137891789,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137891789_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137891789_20.jpg?v=1&width=800,FALSE,,65,IN STOCK,,,ORANGE,,,18,TRUE,TRUE,FALSE
Kurt Geiger London,6008000019,6008000019,6008000019,chelsea block sling drench,https://www.kurtgeiger.us/women/shoes/heels/chelsea-block-sling-dr-black-leather-other-kurt-geiger-london-6008000019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,The Chelsea Slingback Heel features a sleek black leather upper. There is a black buckle and eagle head embellished with crystals sat on the square toe. The block heel features a crystal embellishment.Heel height: 5.5cmMaterial: LeatherStyle number: 6008000019,178.00,178.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6008000019_20.jpg?v=1&width=800,FALSE,,106,IN STOCK,,,BLACK,,,16,TRUE,TRUE,FALSE
Kurt Geiger London,3422843609,3422843609,3422843609,belgravia high sling heel,https://www.kurtgeiger.us/women/shoes/heels/belgravia-high-sling-beige-combination-fabric-kurt-geiger-london-3422843609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of beige houndstooth crystal embellished Belgravia high heels are a slingback style with pointed toe. There is an antique brass eagle head sat on the pointed toe.Heel height: 3.3inMaterial: FabricStyle number: 3422843609,This pair of beige houndstooth crystal embellished Belgravia high heels are a slingback style with pointed toe. There is an antique brass eagle head sat on the pointed toe.Heel height: 3.3inMaterial: FabricStyle number: 3422843609,188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3422843609_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3422843609_20.jpg?v=1&width=800,FALSE,,198,IN STOCK,,,Nude,,,6,TRUE,TRUE,FALSE
Kurt Geiger London,6139500209,6139500209,6139500209,stepney sling back heel,https://www.kurtgeiger.us/women/shoes/heels/marge-sling-black-suede-kurt-geiger-london-6139500209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Merge Sling back heel features a black suede upper with pointed toe. The ankle slingback strap is fastened with an antiqued brass buckle.&nbsp;Heel height:&nbsp;Material: SuedeStyle number: 6139500209,This Merge Sling back heel features a black suede upper with pointed toe. The ankle slingback strap is fastened with an antiqued brass buckle.&nbsp;Heel height:&nbsp;Material: SuedeStyle number: 6139500209,128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139500209_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6139500209_20.jpg?v=1&width=800,FALSE,,255,IN STOCK,,,BLACK,,,3,TRUE,TRUE,FALSE
Kurt Geiger London,5731957069,5731957069,5731957069,spiral asymmetric heel,https://www.kurtgeiger.us/women/shoes/heels/spiral-asymmetric-90-pink-combination-fabric-other-kurt-geiger-london-5731957069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Spiral heel is crafted from an orange and green satin fabric with branding. There are orange fabric straps around the ankle and toe.Heel height: 9cmMaterial: FabricStyle number: 5731957069,This Spiral heel is crafted from an orange and green satin fabric with branding. There are orange fabric straps around the ankle and toe.Heel height: 9cmMaterial: FabricStyle number: 5731957069,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5731957069_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5731957069_20.jpg?v=1&width=800,FALSE,,68,IN STOCK,,,Pink,,,17,TRUE,TRUE,FALSE
Kurt Geiger London,9786900309,9786900309,9786900309,belgravia sling back heel,https://www.kurtgeiger.us/women/shoes/heels/belgravia-sling-back-black-patent-kurt-geiger-london-9786900309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Belgravia Sling Back heel features a patent black upper with pointed toe. The gold eagle head features crystals sat on the toe.Heel height: 2.3inOverstitched quilted insole with padding, seen across the Kensington rangeMaterial: PatentStyle number: 9786900309","The Belgravia Sling Back heel features a patent black upper with pointed toe. The gold eagle head features crystals sat on the toe.Heel height: 2.3inOverstitched quilted insole with padding, seen across the Kensington rangeMaterial: PatentStyle number: 9786900309",168.00,168.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9786900309_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9786900309_20.jpg?v=1&width=800,FALSE,,43,IN STOCK,,,BLACK,,,19,TRUE,TRUE,FALSE
Kurt Geiger London,6137831689,6137831689,6137831689,belsize 40 sling,https://www.kurtgeiger.us/women/shoes/heels/large-eagle-sling-40-dark-brown-fabric-other-print-kurt-geiger-london-6137831689?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Belsize is a slingback heel crafted from a brown croc embossed satin. The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: SatinStyle number: 6137831689,The Belsize is a slingback heel crafted from a brown croc embossed satin. The toe is pointed and a large gold eagle head with crystals sits upon it.&nbsp;Heel height: 4.5cmMaterial: SatinStyle number: 6137831689,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137831689_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,02/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6137831689_20.jpg?v=1&width=800,FALSE,,151,IN STOCK,,,Brown,,,10,TRUE,TRUE,FALSE
