prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,9796383979,9796383979,9796383979,Kurt Geiger Women's Sandals Pale Blue Maddison,https://www.kurtgeiger.com/women/shoes/sandals/flat/maddison-t-bar-pale-blue-synthetic-kurt-geiger-london-9796383979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Maddison T-Bar sandal features a semi-transparent blue upper with glitter flecks. The blue eagle head sits amongst crystals on the T-Bar strap.Material: TextileStyle number: 9796383979,The Maddison T-Bar sandal features a semi-transparent blue upper with glitter flecks. The blue eagle head sits amongst crystals on the T-Bar strap.Material: TextileStyle number: 9796383979,59.00,59.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9796383979_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/9/7/9796383979_20.jpg?v=1&width=800,FALSE,,63,IN STOCK,,,Blue,,,19,TRUE,TRUE,TRUE
Kurt Geiger London,5859098979,5859098979,5859098979,Kurt Geiger Women's Sandals Pink Mayfair,https://www.kurtgeiger.com/women/shoes/sandals/kc-mayfair-rope-slide-pink-synthetic-kurt-geiger-london-5859098979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt's Cabana Mayfair Rope Slide on sandals feature a transparent pink vinyl upper strap. There is a large buckle detail with eagle head sat on top of the strap and the sole is in a rope design.Material: VinylStyle number: 5859098979,This pair of Kurt's Cabana Mayfair Rope Slide on sandals feature a transparent pink vinyl upper strap. There is a large buckle detail with eagle head sat on top of the strap and the sole is in a rope design.Material: VinylStyle number: 5859098979,119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859098979_20.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859098979_20.jpg?v=1&width=800,FALSE,,6,IN STOCK,,,Pink,,,100,TRUE,TRUE,TRUE
Kurt Geiger London,5859934339,5859934339,5859934339,Kurt Geiger Women's Sneakers Southbank Espadrille,https://www.kurtgeiger.com/women/shoes/sneakers/kc-southbank-espadrille-rust-canvas-kurt-geiger-london-5859934339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt's Cabana Southbank Espadrille is crafted from a rust canvas fabric. There is a chic spiral lace up front. The sole is in a rope espadrille effect.Material: CanvasStyle number: 5859934339,This pair of Kurt's Cabana Southbank Espadrille is crafted from a rust canvas fabric. There is a chic spiral lace up front. The sole is in a rope espadrille effect.Material: CanvasStyle number: 5859934339,109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859934339_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859934339_20.jpg?v=1&width=800,FALSE,,24,IN STOCK,,,Brown,,,59,TRUE,TRUE,TRUE
Kurt Geiger London,5965611339,5965611339,5965611339,Kurt Geiger Women's Trainers White Red Canvas Kurt Espadrille,https://www.kurtgeiger.com/women/shoes/sneakers/kurt-espadrille-white-red-canvas-kurt-geiger-london-5965611339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Espadrille sneakers are crafted from a white canvas fabric with deep maroon panels. There are two lace styles at the front and the sole is in an espadrille style.Material: CanvasStyle number: 5965611339,This pair of Kurt Espadrille sneakers are crafted from a white canvas fabric with deep maroon panels. There are two lace styles at the front and the sole is in an espadrille style.Material: CanvasStyle number: 5965611339,79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5965611339_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5965611339_20.jpg?v=1&width=800,FALSE,,165,IN STOCK,,,White Red,,,3,TRUE,TRUE,TRUE
Kurt Geiger London,5974923499,5974923499,5974923499,Kurt's Cabana Crewneck Sweatshirt,https://www.kurtgeiger.com/women/accessories/kc-crewneck-sweatshirt-grey-light-cotton-kurt-geiger-london-5974923499?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kurt's Cabana Crewneck Sweatshirt arrives in a heather grey style crafted from a soft, 100% cotton fabric. There is a Kurt's Cabana branded fabric patch on the front of the sweatshirt.Material: 100% CottonStyle number: 5974923449","This Kurt's Cabana Crewneck Sweatshirt arrives in a heather grey style crafted from a soft, 100% cotton fabric. There is a Kurt's Cabana branded fabric patch on the front of the sweatshirt.Material: 100% CottonStyle number: 5974923449",59.00,59.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5974923499_20.jpg?v=1&width=800,Women > Accessories,Women > Accessories,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5974923499_20.jpg?v=1&width=800,FALSE,,43,IN STOCK,,,Grey,,,32,TRUE,TRUE,TRUE
Kurt Geiger London,5975323499,5975323499,5975323499,Kurt Geiger Women's shorts Grey Light Cotton Kurt's Cabana,https://www.kurtgeiger.com/women/accessories/kc-shorty-shorts-grey-light-cotton-kurt-geiger-london-5975323499?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt's Cabana Shorty Shorts feature a heather grey shade crafted from a soft cotton. There is an embroidered Kurt's Cabana patch on the left hand side.Pair with the matching Kurt's Cabana hoodieElasticated waistTwo pockets&nbsp;Pocket on the backMaterial: 100% CottonStyle number: 5975323499,This pair of Kurt's Cabana Shorty Shorts feature a heather grey shade crafted from a soft cotton. There is an embroidered Kurt's Cabana patch on the left hand side.Pair with the matching Kurt's Cabana hoodieElasticated waistTwo pockets&nbsp;Pocket on the backMaterial: 100% CottonStyle number: 5975323499,49.00,49.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5975323499_20.jpg?v=1&width=800,Women > Accessories,Women > Accessories,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5975323499_20.jpg?v=1&width=800,FALSE,,43,IN STOCK,,,Grey,,,33,TRUE,TRUE,TRUE
Kurt Geiger London,3419000109,3419000109,3419000109,Kurt Geiger Women's Boots Black Leather Ankle Chelsea,https://www.kurtgeiger.com/women/shoes/boots/ankle/chelsea-square-toe-bootie-black-leather-kurt-geiger-london-3419000109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Chelsea Square Toe Bootie is crafted from a black leather. There is an antiqued brass oval with eagle head that is embellished with crystals sat on the outer side of the ankle.Heel height: 7.5cmMaterial: LeatherStyle number: 3419000109,This Chelsea Square Toe Bootie is crafted from a black leather. There is an antiqued brass oval with eagle head that is embellished with crystals sat on the outer side of the ankle.Heel height: 7.5cmMaterial: LeatherStyle number: 3419000109,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3419000109_20.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3419000109_20.jpg?v=1&width=800,FALSE,,52,IN STOCK,,,Black,,,24,TRUE,TRUE,TRUE
Kurt Geiger London,4100530109,4100530109,4100530109,Kurt Geiger Women's Boots Brown Leather Monument,https://www.kurtgeiger.com/women/shoes/boots/knee-boots/monument-strap-boot-brown-leather-kurt-geiger-london-4100530109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Monument Strap Boot is crafted from a brown leather. There are three buckled straps across the front of the boot and a lace up detail at the bottom. There is a statement antiqued silver oval trim with eagle head at the centre with all over crystal detail attached to the laces.Due to the natural characteristics of the leather used, variation in colour placement is expected and is not a faultMaterial: LeatherStyle number: 4100530109","This Monument Strap Boot is crafted from a brown leather. There are three buckled straps across the front of the boot and a lace up detail at the bottom. There is a statement antiqued silver oval trim with eagle head at the centre with all over crystal detail attached to the laces.Due to the natural characteristics of the leather used, variation in colour placement is expected and is not a faultMaterial: LeatherStyle number: 4100530109",149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/1/4100530109_20.jpg?v=1&width=800,Women > Shoes > Boots > Knee-boots,Women > Shoes > Boots > Knee-boots,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/1/4100530109_20.jpg?v=1&width=800,FALSE,,13,IN STOCK,,,Brown,,,82,TRUE,TRUE,TRUE
Kurt Geiger London,4396019109,4396019109,4396019109,Kurt Geiger Women's Trainers Leather Islington,https://www.kurtgeiger.com/women/shoes/sneakers/islington-sneaker-white-other-leather-kurt-geiger-london-4396019109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Islington Sneaker is crafted from a metallic silver upper with a metallic gold panel on the heel. The front is laced up with crystal embellished fabric laces. There is a gold eagle head with crystals sat on the tongue.Material: LeatherStyle number: 4396019109,This Islington Sneaker is crafted from a metallic silver upper with a metallic gold panel on the heel. The front is laced up with crystal embellished fabric laces. There is a gold eagle head with crystals sat on the tongue.Material: LeatherStyle number: 4396019109,109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4396019109_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4396019109_20.jpg?v=1&width=800,FALSE,,372,IN STOCK,,,White,,,1,TRUE,TRUE,TRUE
Kurt Geiger London,1336769129,1336769129,1336769129,Kurt Geiger Women's Sandals Leather Kensington Kensington Espadrille,https://www.kurtgeiger.com/trends/kensington/shoes/mini-kensington-espadrill-multi-other-leather-suede-kurt-geiger-london-1336769129?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kid's Kensington Espadrille sandals are from multi-colour leather with metal studs and cut outs across the straps. The footbed is moulded for comfort and the outsole is in purple.&nbsp;Material: LeatherStyle number: 1336769129,This pair of Kid's Kensington Espadrille sandals are from multi-colour leather with metal studs and cut outs across the straps. The footbed is moulded for comfort and the outsole is in purple.&nbsp;Material: LeatherStyle number: 1336769129,49.00,49.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/3/1336769129_20.jpg?v=1&width=800,Trends > Kensington > Shoes,Trends > Kensington > Shoes,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/1/3/1336769129_20.jpg?v=1&width=800,FALSE,,31,IN STOCK,,,Multi-Coloured,,,48,TRUE,TRUE,TRUE
