prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5850396309,5850396309,5850396309,Kurt Geiger Women's Sandal Peach Patent Buckle Platform,https://www.kurtgeiger.com/women/shoes/sandals/heeled/3-buckle-platform-sdl-peach-patent-kurt-geiger-london-5850396309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Buckle Platform Heel arrives in a blush patent leather. There are two silver crystal embellished buckles across the foot as well as one on the ankle strap.Heel height: 13cmPlatform height: 3.5Pitch height: 9.5cmMaterial: Patent leatherStyle number: 5850396309,The Buckle Platform Heel arrives in a blush patent leather. There are two silver crystal embellished buckles across the foot as well as one on the ankle strap.Heel height: 13cmPlatform height: 3.5Pitch height: 9.5cmMaterial: Patent leatherStyle number: 5850396309,199.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850396309_20.jpg?v=1&width=800,Women > Shoes > Sandals > Heeled,Women > Shoes > Sandals > Heeled,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850396309_20.jpg?v=1&width=800,FALSE,,74,IN STOCK,,,Peach,,,72,TRUE,TRUE,FALSE
Kurt Geiger London,5855286669,5855286669,5855286669,Kurt Geiger London Meena Eagle Slide - Plae Blue Denim Sandal,https://www.kurtgeiger.com/women/shoes/sandals/flat/meena-eagle-blue-pale-combination-denim-kurt-geiger-london-5855286669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Meena Eagle sandal features a pale blue denim fabric that is embroidered with overstitch quilting detail. The strap also features an antiqued brass eagle head with crystals on the top.Material: DenimMoulded footbedStyle number: 5855286669,The Meena Eagle sandal features a pale blue denim fabric that is embroidered with overstitch quilting detail. The strap also features an antiqued brass eagle head with crystals on the top.Material: DenimMoulded footbedStyle number: 5855286669,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855286669_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855286669_20.jpg?v=1&width=800,FALSE,,51,IN STOCK,,,Blue,,,79,TRUE,TRUE,FALSE
Kurt Geiger London,5855219979,5855219979,5855219979,Kurt Geiger London Meena Eagle Slide - Green Slip On Sandal,https://www.kurtgeiger.com/women/shoes/sandals/flat/meena-eagle-white-other-synthetic-kurt-geiger-london-5855219979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Meena Eagle slide sandal is crafted from a white leather with watercolour style floral design and overstitch quilting. There is a gold crystal eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5855219979,This Meena Eagle slide sandal is crafted from a white leather with watercolour style floral design and overstitch quilting. There is a gold crystal eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5855219979,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855219979_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855219979_20.jpg?v=1&width=800,FALSE,,97,IN STOCK,,,White,,,56,TRUE,TRUE,FALSE
Kurt Geiger London,5851069069,5851069069,5851069069,Kurt Geiger Women's Heels Multi Other Fabric Fringe,https://www.kurtgeiger.com/women/shoes/sandals/heeled/fringe-sandal-90-multi-other-fabric-other-kurt-geiger-london-5851069069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Fringe sandal is crafted from a multi-colour metallic fabric that is embellished with crystals. There is a small silver crystal buckle on the ankle strap.Heel height: 9cmMaterial: FabricStyle number: 5851069069,This Fringe sandal is crafted from a multi-colour metallic fabric that is embellished with crystals. There is a small silver crystal buckle on the ankle strap.Heel height: 9cmMaterial: FabricStyle number: 5851069069,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5851069069_20.jpg?v=1&width=800,Women > Shoes > Sandals > Heeled,Women > Shoes > Sandals > Heeled,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5851069069_20.jpg?v=1&width=800,FALSE,,66,IN STOCK,,,Multi-Coloured,,,75,TRUE,TRUE,FALSE
Kurt Geiger London,5860554609,5860554609,5860554609,Kurt Geiger Women's Sandals Wine Fabric Kurt Runner,https://www.kurtgeiger.com/women/shoes/sandals/flat/kurt-runner-sandal-wine-fabric-kurt-geiger-london-5860554609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Runner Sandals arrive in a wine nylon fabric with threee velcro straps across the foot. There are green and red sequin floral details across each of the straps.&nbsp;Material: FabricStyle number: 586055409,This pair of Kurt Runner Sandals arrive in a wine nylon fabric with threee velcro straps across the foot. There are green and red sequin floral details across each of the straps.&nbsp;Material: FabricStyle number: 586055409,189.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5860554609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5860554609_20.jpg?v=1&width=800,FALSE,,56,IN STOCK,,,Red,,,78,TRUE,TRUE,FALSE
Kurt Geiger London,5853770609,5853770609,5853770609,Kurt Geiger Women's Sandals Green Fabric Crystal Strap,https://www.kurtgeiger.com/women/shoes/sandals/flat/crystal-strap-flat-mule-green-fabric-kurt-geiger-london-5853770609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Crystal Strap Flat Mule is crafted from a green sparkly fabric with iridescent crystals across each of the straps and midsole. The small block heel is also embellished with crystals.&nbsp;Material: FabricStyle number: 5853770609,This Crystal Strap Flat Mule is crafted from a green sparkly fabric with iridescent crystals across each of the straps and midsole. The small block heel is also embellished with crystals.&nbsp;Material: FabricStyle number: 5853770609,149.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5853770609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5853770609_20.jpg?v=1&width=800,FALSE,,6,IN STOCK,,,Green,,,98,TRUE,TRUE,FALSE
Kurt Geiger London,5850870609,5850870609,5850870609,Kurt Geiger Women's Geels Green Fabric Crystal,https://www.kurtgeiger.com/women/shoes/sandals/heeled/crystal-strap-platform-green-fabric-kurt-geiger-london-5850870609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Crystal Strap Platform is crafted from a green fabric that is completely embellished with green crystals. There is a platform at the toe and the heel is in a high bock style.Heel height: 13cmSilver crystal buckle strapMaterial: FabricStyle number: 5850870609,This Crystal Strap Platform is crafted from a green fabric that is completely embellished with green crystals. There is a platform at the toe and the heel is in a high bock style.Heel height: 13cmSilver crystal buckle strapMaterial: FabricStyle number: 5850870609,219.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850870609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Heeled,Women > Shoes > Sandals > Heeled,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850870609_20.jpg?v=1&width=800,FALSE,,47,IN STOCK,,,Green,,,80,TRUE,TRUE,FALSE
Kurt Geiger London,5895546019,5895546019,5895546019,Kurt Geiger Women's Sandal Camel Other Leather Meena,https://www.kurtgeiger.com/women/shoes/sandals/flat/meena-eagle-camel-other-leather-other-kurt-geiger-london-5895546019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Meena Eagle slide sandal features a simple strap across the foot that is accented with a deer printed texture calfhair leather. There is an antiqued brass eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5895546019,This Meena Eagle slide sandal features a simple strap across the foot that is accented with a deer printed texture calfhair leather. There is an antiqued brass eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5895546019,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895546019_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895546019_20.jpg?v=1&width=800,FALSE,,32,IN STOCK,,,Tan,,,86,TRUE,TRUE,FALSE
Kurt Geiger London,6084500109,6084500109,6084500109,Kurt Geiger Women's Boots Black Leather Eagle Harness,https://www.kurtgeiger.com/women/shoes/boots/flat-boots/eagles-harness-biker-black-leather-kurt-geiger-london-6084500109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The harness style strap on the Eagle Biker boot is finished with multiple sized eagle heads in individual hardwares.&nbsp;Material: BlackStyle number: 6084500109,The harness style strap on the Eagle Biker boot is finished with multiple sized eagle heads in individual hardwares.&nbsp;Material: BlackStyle number: 6084500109,299.00,299.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6084500109_20.jpg?v=1&width=800,Women > Shoes > Boots > Flat-boots,Women > Shoes > Boots > Flat-boots,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/0/6084500109_20.jpg?v=1&width=800,FALSE,,98,IN STOCK,,,Black,,,55,TRUE,TRUE,FALSE
Kurt Geiger London,6133266609,6133266609,6133266609,Kurt Geiger London Annabel Heel - Gold Crystal High Heel,https://www.kurtgeiger.com/women/shoes/sandals/heeled/candy-sandal-gold-combination-fabric-kurt-geiger-london-6133266609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Featuring crystal embellished straps that wrap around the ankle and toe, the Annabel sandal is perfect for formal dressing. The heel is in a slanted flared style.Heel height: 9.5cmMaterial: FabricStyle number: 6133266609","Featuring crystal embellished straps that wrap around the ankle and toe, the Annabel sandal is perfect for formal dressing. The heel is in a slanted flared style.Heel height: 9.5cmMaterial: FabricStyle number: 6133266609",119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6133266609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Heeled,Women > Shoes > Sandals > Heeled,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6133266609_20.jpg?v=1&width=800,FALSE,,159,IN STOCK,,,Metallic,,,34,TRUE,TRUE,FALSE
