prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5856139999,5856139999,5856139999,meena jelly,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-jelly-brown-other-others-kurt-geiger-london-5856139999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Slip-on the Meena Jelly sandal. The upper is crafted from a semi-transparent red vinyl with overstitch quilting design across the upper strap and topped with an eagle head.Material: SyntheticStyle number: 5856139999,Slip-on the Meena Jelly sandal. The upper is crafted from a semi-transparent red vinyl with overstitch quilting design across the upper strap and topped with an eagle head.Material: SyntheticStyle number: 5856139999,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5856139999_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5856139999_20.jpg?v=1&width=800,FALSE,,850,IN STOCK,,,BROWN,,,35,TRUE,TRUE,FALSE
Kurt Geiger London,2123700979,2123700979,2123700979,maddison t-bar drench sandal,https://www.kurtgeiger.us/women/shoes/sandals/flat/maddison-t-bar-drench-black-synthetic-kurt-geiger-london-2123700979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Maddison T-Bar sandal features a black upper in drench effect. The black metal eagle head features crystals on the T-Bar strap.Material: TextileStyle number: 2123700979,The Maddison T-Bar sandal features a black upper in drench effect. The black metal eagle head features crystals on the T-Bar strap.Material: TextileStyle number: 2123700979,68.00,68.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/2/1/2123700979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/2/1/2123700979_20.jpg?v=1&width=800,FALSE,,1815,IN STOCK,,,BLACK,,,19,TRUE,TRUE,FALSE
Kurt Geiger London,3469600979,3469600979,3469600979,orson sandal,https://www.kurtgeiger.us/women/shoes/sandals/flat/orson-black-synthetic-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Orson sandal features a soft upper with weave quilting pattern. The straps are velcro with an antiqued silver Eagle head emblem sat on top.Overstitched quilted insole with padding, seen across the Kensington rangeMaterial: Leather alternativeStyle number: 3469600979","The Orson sandal features a soft upper with weave quilting pattern. The straps are velcro with an antiqued silver Eagle head emblem sat on top.Overstitched quilted insole with padding, seen across the Kensington rangeMaterial: Leather alternativeStyle number: 3469600979",138.00,138.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3469600979_20.jpg?v=1&width=800,Womens> Shoes> Sandals,Womens> Shoes> Sandals,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/3/4/3469600979_20.jpg?v=1&width=800,FALSE,,288,IN STOCK,,,BLACK,,,75,TRUE,TRUE,FALSE
Kurt Geiger London,5895561979,5895561979,5895561979,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-gold-synthetic-kurt-geiger-london-5895561979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Meena Eagle Slide sandals feature a metallic gold upper with overstitch quilting design. There is a gold eagle head sat on top of the foot strap.Material: SyntheticStyle number: 5895561979,This pair of Meena Eagle Slide sandals feature a metallic gold upper with overstitch quilting design. There is a gold eagle head sat on top of the foot strap.Material: SyntheticStyle number: 5895561979,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895561979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5895561979_20.jpg?v=1&width=800,TRUE,,733,IN STOCK,,,Metallic,,,38,TRUE,TRUE,FALSE
Kurt Geiger London,5611587979,5611587979,5611587979,maddison t-bar sandal,https://www.kurtgeiger.us/women/shoes/sandals/flat/maddison-t-bar-teal-synthetic-kurt-geiger-london-5611587979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Maddison T-Bar sandal features a transparent teal upper with crystal eagle head on the t-bar strap.&nbsp;Material: TextileStyle number: 5611587979,The Maddison T-Bar sandal features a transparent teal upper with crystal eagle head on the t-bar strap.&nbsp;Material: TextileStyle number: 5611587979,68.00,68.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5611587979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5611587979_20.jpg?v=1&width=800,FALSE,,272,IN STOCK,,,TEAL,,,76,TRUE,TRUE,FALSE
Kurt Geiger London,8496188669,8496188669,8496188669,kensington flat sandal,https://www.kurtgeiger.us/women/shoes/sandals/slides/kensington-flat-sandal-denim-denim-kurt-geiger-london-8496188669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Kensington Flat Sandal, an addition to the Kensington Collection, is crafted from denim with an acid wash weave effect. The antique brass eagle head features crystals and black bead eyes on the strap.Material: DenimStyle number: 8496188669","The Kensington Flat Sandal, an addition to the Kensington Collection, is crafted from denim with an acid wash weave effect. The antique brass eagle head features crystals and black bead eyes on the strap.Material: DenimStyle number: 8496188669",148.00,148.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/4/8496188669_20.jpg?v=1&width=800,Womens> Shoes>  Flats,Womens> Shoes>  Flats,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/8/4/8496188669_20.jpg?v=1&width=800,FALSE,,1495,IN STOCK,,,Blue,,,26,TRUE,TRUE,FALSE
Kurt Geiger London,7400209769,7400209769,7400209769,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-black-other-glitter-kurt-geiger-london-7400209769?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Meena Eagle slips onto the foot in a sequin glitter vinyl across the strap with overstitch quilting detail. There is an antiqued brass eagle head sat on top of the strap.&nbsp;Material: VinylStyle number: 7400209769,This pair of Meena Eagle slips onto the foot in a sequin glitter vinyl across the strap with overstitch quilting detail. There is an antiqued brass eagle head sat on top of the strap.&nbsp;Material: VinylStyle number: 7400209769,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400209769_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400209769_20.jpg?v=1&width=800,FALSE,,963,IN STOCK,,,BLACK,,,32,TRUE,TRUE,FALSE
Kurt Geiger London,5857100609,5857100609,5857100609,oxford drench mule heel,https://www.kurtgeiger.us/women/shoes/sandals/heeled/oxford-heel-mule-dr-black-fabric-kurt-geiger-london-5857100609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Oxford Heel Mule is crafted from a black houndstooth fabric with iridescent crystal embellishments. There is also an antiqued brass eagle head sat on top of the strap.Heel height: 7.5cmMaterial: FabricStyle number: 5857100609,This Oxford Heel Mule is crafted from a black houndstooth fabric with iridescent crystal embellishments. There is also an antiqued brass eagle head sat on top of the strap.Heel height: 7.5cmMaterial: FabricStyle number: 5857100609,168.00,168.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5857100609_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5857100609_20.jpg?v=1&width=800,FALSE,,69,IN STOCK,,,BLACK,,,162,TRUE,TRUE,FALSE
Kurt Geiger London,4351800999,4351800999,4351800999,maddison slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/maddison-slide-black-others-kurt-geiger-london-4351800999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Maddison Slide on sandals feature a perspex black upper. There is a gold eagle head sat on top of the toe strap.Material: PerspexStyle number: 4351800999,This pair of Maddison Slide on sandals feature a perspex black upper. There is a gold eagle head sat on top of the toe strap.Material: PerspexStyle number: 4351800999,68.00,68.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4351800999_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4351800999_20.jpg?v=1&width=800,FALSE,,328,IN STOCK,,,BLACK,,,64,TRUE,TRUE,FALSE
Kurt Geiger London,7400269979,7400269979,7400269979,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-multiother-synthetic-kurt-geiger-london-7400269979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Meena Eagle sandal arrives in the iconic diagonal rainbow sewn stripe pattern. The strap is topped with antiqued silver Eagle head.Material: TextileMolded footbedStyle number: 7400269979,The Meena Eagle sandal arrives in the iconic diagonal rainbow sewn stripe pattern. The strap is topped with antiqued silver Eagle head.Material: TextileMolded footbedStyle number: 7400269979,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400269979_20.jpg?v=1&width=800,Womens> Shoes>  Flats,Womens> Shoes>  Flats,28/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400269979_20.jpg?v=1&width=800,FALSE,,2413,IN STOCK,,,Multi-Coloured,,,14,TRUE,TRUE,FALSE
