prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
Kurt Geiger London,5859934339,5859934339,Kurt Geiger Women's Sneakers Southbank Espadrille,https://www.kurtgeiger.com/women/shoes/sneakers/kc-southbank-espadrille-rust-canvas-kurt-geiger-london-5859934339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt's Cabana Southbank Espadrille is crafted from a rust canvas fabric. There is a chic spiral lace up front. The sole is in a rope espadrille effect.Material: CanvasStyle number: 5859934339,This pair of Kurt's Cabana Southbank Espadrille is crafted from a rust canvas fabric. There is a chic spiral lace up front. The sole is in a rope espadrille effect.Material: CanvasStyle number: 5859934339,109.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859934339_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5859934339_20.jpg?v=1&width=800,FALSE,,24,IN STOCK,,,Brown,,,32,TRUE,TRUE
Kurt Geiger London,5894900609,5894900609,Kurt Geiger London Lorna Sneaker - Black Slip On Sneakers,https://www.kurtgeiger.com/women/shoes/sneakers/lorna-black-fabric-kurt-geiger-london-5894900609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Lorna sneakers are crafted from a black fabric which helps the sneaker to slip onto the foot. There is an antiqued brass eagle head sat on the vamp.Material: FabricStyle number: 5894900609,This pair of Lorna sneakers are crafted from a black fabric which helps the sneaker to slip onto the foot. There is an antiqued brass eagle head sat on the vamp.Material: FabricStyle number: 5894900609,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5894900609_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5894900609_20.jpg?v=1&width=800,FALSE,,100,IN STOCK,,,Black,,,16,TRUE,TRUE
Kurt Geiger London,5965611339,5965611339,Kurt Geiger Women's Trainers White Red Canvas Kurt Espadrille,https://www.kurtgeiger.com/women/shoes/sneakers/kurt-espadrille-white-red-canvas-kurt-geiger-london-5965611339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Espadrille sneakers are crafted from a white canvas fabric with deep maroon panels. There are two lace styles at the front and the sole is in an espadrille style.Material: CanvasStyle number: 5965611339,This pair of Kurt Espadrille sneakers are crafted from a white canvas fabric with deep maroon panels. There are two lace styles at the front and the sole is in an espadrille style.Material: CanvasStyle number: 5965611339,79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5965611339_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5965611339_20.jpg?v=1&width=800,FALSE,,165,IN STOCK,,,White Red,,,9,TRUE,TRUE
Kurt Geiger London,5991119109,5991119109,Kurt Geiger Women's Trainers White Other Leather Slim Runner,https://www.kurtgeiger.com/women/shoes/sneakers/k-slim-runner-white-other-leather-kurt-geiger-london-5991119109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Kurt Slim Runner Sneaker is crafted from a white leather upper with navy and silver panels on the side and heel. The front laces up in red with crystal embellished eyelets.&nbsp;Material: LeatherStyle number: 5991119109,This Kurt Slim Runner Sneaker is crafted from a white leather upper with navy and silver panels on the side and heel. The front laces up in red with crystal embellished eyelets.&nbsp;Material: LeatherStyle number: 5991119109,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991119109_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991119109_20.jpg?v=1&width=800,FALSE,,68,IN STOCK,,,White,,,26,TRUE,TRUE
Kurt Geiger London,6148735289,6148735289,Kurt Geiger Women's Trainers Dark Brown Combination Suede Lather Southbank,https://www.kurtgeiger.com/women/shoes/sneakers/southbank-tag-slim-dark-brown-combination-suede-other-print-kurt-geiger-london-6148735289?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289","This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289",159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,FALSE,,71,IN STOCK,,,Dark Brown Combination,,,24,TRUE,TRUE
Kurt Geiger London,6151069109,6151069109,Kurt Geiger Women's Trainers Multi Other Leather,https://www.kurtgeiger.com/women/shoes/sneakers/london-kg-sneaker-multi-other-leather-kurt-geiger-london-6151069109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Introducing the London Sneaker. This sneaker is crafted from a white leather with pink and blue 'KG' embroidered patches on the side. The front laces up with blind eyelets and black branding on the tongue.Material: LeatherStyle number: 6151069109,Introducing the London Sneaker. This sneaker is crafted from a white leather with pink and blue 'KG' embroidered patches on the side. The front laces up with blind eyelets and black branding on the tongue.Material: LeatherStyle number: 6151069109,119.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6151069109_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6151069109_20.jpg?v=1&width=800,FALSE,,184,IN STOCK,,,Multi-Coloured,,,7,TRUE,TRUE
Kurt Geiger London,5991139029,5991139029,Kurt Geiger London Kurt Slim Runner Sneaker - Brown Grey Suede Sneaker,https://www.kurtgeiger.com/women/shoes/sneakers/k-slim-runner-brown-other-suede-other-kurt-geiger-london-5991139029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Slim Runner sneakers feature a brown and grey suede leather upper combined with metallic mesh panels. The front is laced up with both a simple leather lace as well as tubular fabric lace.&nbsp;Gold foil embossed branding on the heel panelMaterial: SuedeStyle number: 5991139029,This pair of Kurt Slim Runner sneakers feature a brown and grey suede leather upper combined with metallic mesh panels. The front is laced up with both a simple leather lace as well as tubular fabric lace.&nbsp;Gold foil embossed branding on the heel panelMaterial: SuedeStyle number: 5991139029,169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991139029_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991139029_20.jpg?v=1&width=800,FALSE,,137,IN STOCK,,,Brown,,,12,TRUE,TRUE
Kurt Geiger London,5991146019,5991146019,Kurt Geiger Women's Trainers Camel other Leather Other Slim Runner,https://www.kurtgeiger.com/women/shoes/sneakers/k-slim-runner-camel-other-leather-other-kurt-geiger-london-5991146019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Slim Runner sneakers feature a deer printed calfhair leather upper. The front is laced up with both a brown leather lace as well as wine tubular fabric lace.&nbsp;Gold foil embossed branding on the heel panelMaterial: Leather / OtherStyle number: 5991146019,This pair of Kurt Slim Runner sneakers feature a deer printed calfhair leather upper. The front is laced up with both a brown leather lace as well as wine tubular fabric lace.&nbsp;Gold foil embossed branding on the heel panelMaterial: Leather / OtherStyle number: 5991146019,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991146019_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5991146019_20.jpg?v=1&width=800,FALSE,,75,IN STOCK,,,Tan,,,21,TRUE,TRUE
Kurt Geiger London,6140939029,6140939029,Kurt Geiger Women's Trainers Brown Other Suede Wembley,https://www.kurtgeiger.com/women/shoes/sneakers/wembley-sneaker-brown-other-suede-other-kurt-geiger-london-6140939029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a soft brown suede leather, this Wembley sneaker features a statement faux fur bird motif that sits on top of the lace up front.Low gum soleMaterial: SuedeStyle number: 6140939029","Arriving in a soft brown suede leather, this Wembley sneaker features a statement faux fur bird motif that sits on top of the lace up front.Low gum soleMaterial: SuedeStyle number: 6140939029",169.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140939029_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140939029_20.jpg?v=1&width=800,TRUE,,132,IN STOCK,,,Brown,,,13,TRUE,TRUE
Kurt Geiger London,4396000609,4396000609,Kurt Geiger Women's Trainers Black Fabric Islington,https://www.kurtgeiger.com/women/shoes/sneakers/islington-sneaker-black-fabric-kurt-geiger-london-4396000609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Islington Sneaker is crafted from a black suede with black leather panel at the heel. The front is laced up with a crystal embellished fabric lace as well as a glitter flecked elastic lace. There is a black brass eagle head with crystals sat on the tongue.Materia: SuedeStyle number: 4396000609,This Islington Sneaker is crafted from a black suede with black leather panel at the heel. The front is laced up with a crystal embellished fabric lace as well as a glitter flecked elastic lace. There is a black brass eagle head with crystals sat on the tongue.Materia: SuedeStyle number: 4396000609,159.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4396000609_20.jpg?v=1&width=800,Women > Shoes > Sneakers,Women > Shoes > Sneakers,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4396000609_20.jpg?v=1&width=800,FALSE,,116,IN STOCK,,,Black,,,14,TRUE,TRUE
