prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,6148750609,6148750609,6148750609,southbank tag slim sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/southbank-tag-slim-red-fabric-kurt-geiger-london-6148750609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Southbank Tag sneaker sits on a slimmer sole with intricate quilting detail. The upper features both pink and red soft fabric panels with four Kurt Geiger branded pin charms. A Kurt Geiger fabric tag is looped around the eyelets.This style fits small, we recommend sizing upMaterial: FabricStyle number: 6148750609","This Southbank Tag sneaker sits on a slimmer sole with intricate quilting detail. The upper features both pink and red soft fabric panels with four Kurt Geiger branded pin charms. A Kurt Geiger fabric tag is looped around the eyelets.This style fits small, we recommend sizing upMaterial: FabricStyle number: 6148750609",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148750609_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148750609_20.jpg?v=1&width=800,FALSE,,159,IN STOCK,,,RED,,,34,TRUE,TRUE,FALSE
Kurt Geiger London,5371557029,5371557029,5371557029,kurt crystal sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/kurt-crystal-runner-pink-combination-suede-other-kurt-geiger-london-5371557029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Kurt Crystal Runner arrives in a light fabric with ombre pink and green crystals. There is a pink lace up front with crystal eyelet details.&nbsp;Material: FabricStyle number: 5371557029,This Kurt Crystal Runner arrives in a light fabric with ombre pink and green crystals. There is a pink lace up front with crystal eyelet details.&nbsp;Material: FabricStyle number: 5371557029,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5371557029_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/3/5371557029_20.jpg?v=1&width=800,FALSE,,904,IN STOCK,,,Pink,,,1,TRUE,TRUE,FALSE
Kurt Geiger London,6132652789,6132652789,6132652789,mayfair mary jane trainer,https://www.kurtgeiger.us/women/shoes/sneakers/mayfair-mary-jane-trainer-fushia-velvet-kurt-geiger-london-6132652789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft fuchsia velvet. The bone sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132652789","Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft fuchsia velvet. The bone sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132652789",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132652789_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132652789_20.jpg?v=1&width=800,FALSE,,84,IN STOCK,,,Pink,,,49,TRUE,TRUE,FALSE
Kurt Geiger London,6132691789,6132691789,6132691789,mayfair mary jane trainer,https://www.kurtgeiger.us/women/shoes/sneakers/mayfair-mary-jane-trainer-orange-velvet-kurt-geiger-london-6132691789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft tiger striped velvet with blue canvas trim. The bone sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132691789","Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft tiger striped velvet with blue canvas trim. The bone sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132691789",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132691789_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132691789_20.jpg?v=1&width=800,FALSE,,55,IN STOCK,,,ORANGE,,,52,TRUE,TRUE,FALSE
Kurt Geiger London,6140979689,6140979689,6140979689,wembley sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/wembley-sneaker-green-other-fabric-other-print-kurt-geiger-london-6140979689?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a emerald green croc embossed satin fabric with suede panels, this Wembley sneaker features multiple Kurt Geiger charms across the flap.Low gum soleMaterial: NylonStyle number: 6140979689","Arriving in a emerald green croc embossed satin fabric with suede panels, this Wembley sneaker features multiple Kurt Geiger charms across the flap.Low gum soleMaterial: NylonStyle number: 6140979689",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140979689_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140979689_20.jpg?v=1&width=800,FALSE,,142,IN STOCK,,,GREEN,,,38,TRUE,TRUE,FALSE
Kurt Geiger London,6140939029,6140939029,6140939029,wembley sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/wembley-sneaker-brown-other-suede-other-kurt-geiger-london-6140939029?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Arriving in a soft brown suede leather, this Wembley sneaker features a statement faux fur bird motif that sits on top of the lace up front.Low gum soleMaterial: SuedeStyle number: 6140939029","Arriving in a soft brown suede leather, this Wembley sneaker features a statement faux fur bird motif that sits on top of the lace up front.Low gum soleMaterial: SuedeStyle number: 6140939029",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140939029_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6140939029_20.jpg?v=1&width=800,FALSE,,160,IN STOCK,,,BROWN,,,33,TRUE,TRUE,FALSE
Kurt Geiger London,6132600789,6132600789,6132600789,mayfair mary jane trainer,https://www.kurtgeiger.us/women/shoes/sneakers/mayfair-mary-jane-trainer-black-velvet-kurt-geiger-london-6132600789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft black velvet. The black sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132600789","Fastened with a strap across the foot, this Mayfair Mary Jane sneaker is crafted from a soft black velvet. The black sole is pumped up for a modern twist on the classic silhouette.Material: VelvetStyle number: 6132600789",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132600789_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6132600789_20.jpg?v=1&width=800,FALSE,,56,IN STOCK,,,BLACK,,,51,TRUE,TRUE,FALSE
Kurt Geiger London,6148735289,6148735289,6148735289,southbank tag slim sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/southbank-tag-slim-dark-brown-combination-suede-other-print-kurt-geiger-london-6148735289?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289","This Southbank Tag sneaker sits on a slimmer brown sole with intricate quilting detail. The upper is crafted from a leopard printed suede leather with black crystal embellishment. An antiqued silver eagle head sits on the brown suede leather branded tab.This style fits small, we recommend sizing upMaterial: Suede leatherStyle number: 6148735289",168.00,168.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/6/1/6148735289_20.jpg?v=1&width=800,FALSE,,276,IN STOCK,,,DARK BROWN COMBINATION,,,14,TRUE,TRUE,FALSE
Kurt Geiger London,5613469619,5613469619,5613469619,kurt runner,https://www.kurtgeiger.us/women/shoes/sneakers/kurt-runner-multi-other-fabric-leather-kurt-geiger-london-5613469619?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt Runner is crafted from a floral printed fabric with clear sequin embellishment. The front laces up with gold eyelets. There is a silver tag detail with a gold eagle head sat on top.Material: FabricStyle number: 5613469619,This pair of Kurt Runner is crafted from a floral printed fabric with clear sequin embellishment. The front laces up with gold eyelets. There is a silver tag detail with a gold eagle head sat on top.Material: FabricStyle number: 5613469619,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613469619_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613469619_20.jpg?v=1&width=800,TRUE,,570,IN STOCK,,,Multi-Coloured,,,2,TRUE,TRUE,FALSE
Kurt Geiger London,5597553629,5597553629,5597553629,islington ballet sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/islington-ballet-pale-pink-fabric-suede-kurt-geiger-london-5597553629?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Islington Ballet sneakers arrive in a pale pink with crystal embellishment across the upper and pink suede panels on the heel and toe. There is a small silver Geiger branded tab on the eye stay and the laces are a sheer fabric ribbon.Material: Fabric / SuedeStyle number: 5597553629,This pair of Islington Ballet sneakers arrive in a pale pink with crystal embellishment across the upper and pink suede panels on the heel and toe. There is a small silver Geiger branded tab on the eye stay and the laces are a sheer fabric ribbon.Material: Fabric / SuedeStyle number: 5597553629,198.00,198.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5597553629_20.jpg?v=1&width=800,Womens> Shoes>  Trainers,Womens> Shoes>  Trainers,03/09/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5597553629_20.jpg?v=1&width=800,FALSE,,130,IN STOCK,,,Pink,,,40,TRUE,TRUE,FALSE
