prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,5053286669,5053286669,5053286669,Kurt Geiger Women's Shoulder Bag Blue Pale Combination Denim,https://www.kurtgeiger.com/women/bags/shoulder-bags/shoreditch-lg-hobo-fringe-blue-pale-combination-denim-kurt-geiger-london-5053286669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Large Shoreditch Fringe Shoulder Bag arrives in an oversized silhouette in a blue denim fabric with watercolour style floral design as well as 3D embroidered raffia flowers across the front of the bag. There is a pale pink crystal embellished trim around the bottom of the bag and a large rainbow crystal eagle head sat on the front.30cm (H), 51cm (L), 5cm (D)Strap length: 58cmInterior pocketCan fit laptops up to 12inchesMagnetic snap closure&nbsp;Material: DenimStyle number: 5053286669","This Large Shoreditch Fringe Shoulder Bag arrives in an oversized silhouette in a blue denim fabric with watercolour style floral design as well as 3D embroidered raffia flowers across the front of the bag. There is a pale pink crystal embellished trim around the bottom of the bag and a large rainbow crystal eagle head sat on the front.30cm (H), 51cm (L), 5cm (D)Strap length: 58cmInterior pocketCan fit laptops up to 12inchesMagnetic snap closure&nbsp;Material: DenimStyle number: 5053286669",329.00,329.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5053286669_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/0/5053286669_20.jpg?v=1&width=800,FALSE,,43,IN STOCK,,,Blue,,,412,TRUE,TRUE,FALSE
Kurt Geiger London,5828757339,5828757339,5828757339,Kurt Geiger Women's tote Bag Pink Combination Kurt Shopper,https://www.kurtgeiger.com/women/bags/tote-bags/kc-kurt-lg-shopper-pink-combination-canvas-kurt-geiger-london-5828757339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kurt's Cabana Large Shopper is crafted from a pink canvas with cursive embroidered branding detail on the front and branded patch on the back. There is a tab on the top handles with an antiqued brass eagle head sat on it.&nbsp;Arrives with a free Kurt Geiger tote bag (pictured) for a limited time only.39cm (H), 37cm (L), 18cm (D)Strap length: 63cmCan fit laptops up to 14inchesMaterial: CanvasStyle number: 5828757339","This Kurt's Cabana Large Shopper is crafted from a pink canvas with cursive embroidered branding detail on the front and branded patch on the back. There is a tab on the top handles with an antiqued brass eagle head sat on it.&nbsp;Arrives with a free Kurt Geiger tote bag (pictured) for a limited time only.39cm (H), 37cm (L), 18cm (D)Strap length: 63cmCan fit laptops up to 14inchesMaterial: CanvasStyle number: 5828757339",69.00,69.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5828757339_20.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5828757339_20.jpg?v=1&width=800,FALSE,,157,IN STOCK,,,Pink,,,147,TRUE,TRUE,TRUE
Kurt Geiger London,5839236219,5839236219,5839236219,Kurt Geiger Women's Shoulder Bag Tan Combination Suede Leather Shoreditch Soft SH,https://www.kurtgeiger.com/women/bags/shoulder-bags/shoreditch-soft-sh-tan-combination-suede-leather-kurt-geiger-london-5839236219?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Soft Sloane Shoulder Bag is crafted from a tan suede leather with statement 3D embossed western style panels across the front of the bag. There is an antiqued brass eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: Suede leatherStyle number: 5839236219","This Soft Sloane Shoulder Bag is crafted from a tan suede leather with statement 3D embossed western style panels across the front of the bag. There is an antiqued brass eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: Suede leatherStyle number: 5839236219",329.00,329.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5839236219_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5839236219_20.jpg?v=1&width=800,FALSE,,120,IN STOCK,,,Tan,,,188,TRUE,TRUE,FALSE
Kurt Geiger London,5839205109,5839205109,5839205109,Kurt Geiger Women's Shoulder Bag Black Combination Leather Shoreditch,https://www.kurtgeiger.com/women/bags/shoulder-bags/shoreditch-soft-sh-black-combination-leather-kurt-geiger-london-5839205109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Soft Sloane Shoulder Bag is crafted from a black smooth leather with statement 3D embossed western style panels across the front of the bag. There is an antiqued silver eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 5839205109","This Soft Sloane Shoulder Bag is crafted from a black smooth leather with statement 3D embossed western style panels across the front of the bag. There is an antiqued silver eagle head sat on the front flap and gold foil embossed branding on the base.13cm (H), 25cm (L), 8cm (D)Strap lengths shoulder: 60cmTwo optional shoulder strapsInterior zipped pocketCan fit phones up to 7inchesMaterial: LeatherStyle number: 5839205109",329.00,329.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5839205109_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5839205109_20.jpg?v=1&width=800,FALSE,,87,IN STOCK,,,Black,,,266,TRUE,TRUE,FALSE
Kurt Geiger London,5843260109,5843260109,5843260109,Kurt Geiger Women's Sandals Bronze Leather Orson,https://www.kurtgeiger.com/women/shoes/sandals/flat/orson-fisherman-bronze-leather-kurt-geiger-london-5843260109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Orson Fisherman sandals arrive in a bronze leather caged upper with buckle fastening. The footbed is in a black moulded style and there are two stepped outsoles.Sole height: 6cmMaterial: LeatherStyle number: 5843260109,This pair of Orson Fisherman sandals arrive in a bronze leather caged upper with buckle fastening. The footbed is in a black moulded style and there are two stepped outsoles.Sole height: 6cmMaterial: LeatherStyle number: 5843260109,179.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5843260109_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5843260109_20.jpg?v=1&width=800,FALSE,,209,IN STOCK,,,Metallic,,,82,TRUE,TRUE,FALSE
Kurt Geiger London,5847492999,5847492999,5847492999,Kurt Geiger Women's Shoulder Viola Other Jelly Kensington,https://www.kurtgeiger.com/women/bags/shoulder-bags/jelly-kensington-crystals-viola-others-kurt-geiger-london-5847492999?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Kensington Shoulder Jelly Bag is crafted from a semi-translucent viola jelly fabric with glitter and quilted design. There is a lilac eagle head on the front flap.14cm (H), 26cm (L), 8cm (D)Strap length: 127cmStrap shoulder: 60cmMagnetic snap closure under flapTwo optional shoulder and cross body strapsCan fit phones up to 6inchesMaterial: SyntheticStyle number: 5847492999","This Kensington Shoulder Jelly Bag is crafted from a semi-translucent viola jelly fabric with glitter and quilted design. There is a lilac eagle head on the front flap.14cm (H), 26cm (L), 8cm (D)Strap length: 127cmStrap shoulder: 60cmMagnetic snap closure under flapTwo optional shoulder and cross body strapsCan fit phones up to 6inchesMaterial: SyntheticStyle number: 5847492999",199.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5847492999_20.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5847492999_20.jpg?v=1&width=800,FALSE,,72,IN STOCK,,,Purple,,,333,TRUE,TRUE,FALSE
Kurt Geiger London,5850843609,5850843609,5850843609,Kurt Geiger Women's Platform Heel Beige Combination Fabric Crystal Strap Platform,https://www.kurtgeiger.com/women/shoes/sandals/heeled/crystal-strap-platform-beige-combination-fabric-kurt-geiger-london-5850843609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Crystal strap platform heels are crafted from a beige fabric that is embellished with gold. There are large bows across each of the open toes.Heel height: 10cmMaterial: FabricStyle number: 5850843609,This pair of Crystal strap platform heels are crafted from a beige fabric that is embellished with gold. There are large bows across each of the open toes.Heel height: 10cmMaterial: FabricStyle number: 5850843609,219.00,219.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850843609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Heeled,Women > Shoes > Sandals > Heeled,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5850843609_20.jpg?v=1&width=800,FALSE,,125,IN STOCK,,,Nude,,,180,TRUE,TRUE,FALSE
Kurt Geiger London,5852538609,5852538609,5852538609,Kurt Geiger Women's Sandals Rust Combination Fabric Meena,https://www.kurtgeiger.com/women/shoes/sandals/flat/kc-meena-platform-rust-combination-fabric-kurt-geiger-london-5852538609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Kurt's Cabana Meena Platform sandals arrive in a rust colour with a cord fabric strap across the foot that is branded with Kurt's Cabana embroidery. The sole is accented with a branded patch.Material: FabricStyle number: 5852538609,This pair of Kurt's Cabana Meena Platform sandals arrive in a rust colour with a cord fabric strap across the foot that is branded with Kurt's Cabana embroidery. The sole is accented with a branded patch.Material: FabricStyle number: 5852538609,79.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5852538609_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5852538609_20.jpg?v=1&width=800,FALSE,,10,IN STOCK,,,Rust Combination,,,511,TRUE,TRUE,TRUE
Kurt Geiger London,5855286669,5855286669,5855286669,Kurt Geiger London Meena Eagle Slide - Plae Blue Denim Sandal,https://www.kurtgeiger.com/women/shoes/sandals/flat/meena-eagle-blue-pale-combination-denim-kurt-geiger-london-5855286669?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Meena Eagle sandal features a pale blue denim fabric that is embroidered with overstitch quilting detail. The strap also features an antiqued brass eagle head with crystals on the top.Material: DenimMoulded footbedStyle number: 5855286669,The Meena Eagle sandal features a pale blue denim fabric that is embroidered with overstitch quilting detail. The strap also features an antiqued brass eagle head with crystals on the top.Material: DenimMoulded footbedStyle number: 5855286669,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855286669_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855286669_20.jpg?v=1&width=800,FALSE,,52,IN STOCK,,,Blue,,,389,TRUE,TRUE,FALSE
Kurt Geiger London,5855219979,5855219979,5855219979,Kurt Geiger London Meena Eagle Slide - Green Slip On Sandal,https://www.kurtgeiger.com/women/shoes/sandals/flat/meena-eagle-white-other-synthetic-kurt-geiger-london-5855219979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Meena Eagle slide sandal is crafted from a white leather with watercolour style floral design and overstitch quilting. There is a gold crystal eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5855219979,This Meena Eagle slide sandal is crafted from a white leather with watercolour style floral design and overstitch quilting. There is a gold crystal eagle head sat on top of the strap.Material: Leather / OtherStyle number: 5855219979,99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855219979_20.jpg?v=1&width=800,Women > Shoes > Sandals > Flat,Women > Shoes > Sandals > Flat,26/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5855219979_20.jpg?v=1&width=800,FALSE,,98,IN STOCK,,,White,,,238,TRUE,TRUE,FALSE
