prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kurt Geiger London,7400263769,7400263769,7400263769,meena eagle slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/meena-eagle-silver-glitter-kurt-geiger-london?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,The Meena Eagle sandal arrives in a silver slide on style. The strap is quilted in a vinyl coated glitter and topped with antiqued silver Eagle head.Material: TextileMolded footbedStyle number: 7400263769,The Meena Eagle sandal arrives in a silver slide on style. The strap is quilted in a vinyl coated glitter and topped with antiqued silver Eagle head.Material: TextileMolded footbedStyle number: 7400263769,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400263769_20.jpg?v=1&width=800,Womens> Shoes> Sandals,Womens> Shoes> Sandals,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/7/4/7400263769_20.jpg?v=1&width=800,FALSE,,4575,IN STOCK,,,Metallic,,,2,TRUE,TRUE,FALSE
Kurt Geiger London,5748675609,5748675609,5748675609,mini crystal kensington bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/mini-kensington-crystals-green-combination-fabric-kurt-geiger-london-5748675609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mini Kensington is crafted from a camouflage printed canvas fabric with large crystals across the front of the bag. There are also 3D branded flowers and &nbsp;a crystal embellished eagle head on the front.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmSilver chain strapDuo magnetic snap closure hidden under flapSilver branded plate on the backCan fit phones up to 6inchesSmall internal lining pocketOuter: CanvasInterior: Monogrammed interior liningStyle number:&nbsp;5748675609","The Mini Kensington is crafted from a camouflage printed canvas fabric with large crystals across the front of the bag. There are also 3D branded flowers and &nbsp;a crystal embellished eagle head on the front.14cm (H), 20cm (L), 6cm (D)Strap drop cross body: 120cmStrap drop shoulder: 70cmSilver chain strapDuo magnetic snap closure hidden under flapSilver branded plate on the backCan fit phones up to 6inchesSmall internal lining pocketOuter: CanvasInterior: Monogrammed interior liningStyle number:&nbsp;5748675609",118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5748675609_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/7/5748675609_20.jpg?v=1&width=800,FALSE,,417,IN STOCK,,,Green,,,129,TRUE,TRUE,TRUE
Kurt Geiger London,5615695129,5615695129,5615695129,hatton sneaker,https://www.kurtgeiger.us/women/shoes/sneakers/kingland-sneaker-lilac-leather-suede-kurt-geiger-5615695129?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This Hatton Sneaker is crafted from a lilac leather and suede. The front laces up with blind eyelets and there is a rubber branded patch on the tongue. The sole is in white.Material: LeatherStyle number: 5615695129,This Hatton Sneaker is crafted from a lilac leather and suede. The front laces up with blind eyelets and there is a rubber branded patch on the tongue. The sole is in white.Material: LeatherStyle number: 5615695129,118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5615695129_20.jpg?v=1&width=800,Womens> Shoes,Womens> Shoes,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5615695129_20.jpg?v=1&width=800,FALSE,,132,IN STOCK,,,Purple,,,501,TRUE,TRUE,TRUE
Kurt Geiger London,5832045609,5832045609,5832045609,mini macrame rope bag,https://www.kurtgeiger.us/women/bags/mini/mini-macrame-rope-bag-cream-combination-fabric-kurt-geiger-london-5832045609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Macrame rope bag is comprised of a silver and gold twisted style rope knotted exterior with stone stacked tassels off the bottom. There is a crystal embellished eagle head on the pebble grain luggage tag.15cm (H), 16cm (L), 6cm (D)Cross body strap: 121cmInterior &nbsp;cork style drawstring pouchLong cross body strapMaterial: SyntheticStyle number: 5822045609","This Mini Macrame rope bag is comprised of a silver and gold twisted style rope knotted exterior with stone stacked tassels off the bottom. There is a crystal embellished eagle head on the pebble grain luggage tag.15cm (H), 16cm (L), 6cm (D)Cross body strap: 121cmInterior &nbsp;cork style drawstring pouchLong cross body strapMaterial: SyntheticStyle number: 5822045609",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5832045609_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/8/5832045609_20.jpg?v=1&width=800,FALSE,,194,IN STOCK,,,Nude,,,375,TRUE,TRUE,TRUE
Kurt Geiger London,5579246189,5579246189,5579246189,pickle shoulder bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/pickle-shoulder-bag-camel-other-leather-other-print-kurt-geiger-london-5579246189?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Pickle Shoulder Bag is crafted from a camel leopard printed calfhair leather. There is an antiqued silver metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmWith two removable straps, this bag can be worn in multiple ways including as a wristlet, across the body, on the shoulder and as a clutchMagnetic flap closure under the flapCan fit phones up to 7inchesMaterial: LeatherStyle number: 5579246189","This Pickle Shoulder Bag is crafted from a camel leopard printed calfhair leather. There is an antiqued silver metal eagle head with crystals sat on the front flap.10cm (H), 20cm (L), 6cm (D)Strap length cross body: 128cmStrap length shoulder: 55cmWith two removable straps, this bag can be worn in multiple ways including as a wristlet, across the body, on the shoulder and as a clutchMagnetic flap closure under the flapCan fit phones up to 7inchesMaterial: LeatherStyle number: 5579246189",168.00,168.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5579246189_20.jpg?v=1&width=800,Womens> Bags>  Crossbody,Womens> Bags>  Crossbody,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5579246189_20.jpg?v=1&width=800,FALSE,,307,IN STOCK,,,Tan,,,228,TRUE,TRUE,FALSE
Kurt Geiger London,4351892979,4351892979,4351892979,maddison slide,https://www.kurtgeiger.us/women/shoes/sandals/slides/maddison-slide-viola-synthetic-kurt-geiger-london-4351892979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Maddison Slide On sandals feature a semi-transparent luxe perspex upper in violet with glitter flecks. An eagle head with crystals is sat on top of the toe strap.Material: PerspexStyle number: 4351892979,This pair of Maddison Slide On sandals feature a semi-transparent luxe perspex upper in violet with glitter flecks. An eagle head with crystals is sat on top of the toe strap.Material: PerspexStyle number: 4351892979,98.00,98.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4351892979_20.jpg?v=1&width=800,Womens> Shoes>  Sandals,Womens> Shoes>  Sandals,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4351892979_20.jpg?v=1&width=800,FALSE,,623,IN STOCK,,,Purple,,,55,TRUE,TRUE,FALSE
Kurt Geiger London,4376999119,4376999119,4376999119,mini square kensington bag,https://www.kurtgeiger.us/women/bags/mini/sq-mini-kensington-other-printed-leather-kurt-geiger-london-4376999119?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This Mini Square Kensington Purse is crafted from a pebble grain ombre leather with overstitch quilting. There is an antiqued brass eagle head with sunglasses on the front matching the antiqued brass hardware.5in (H), 7in (L), 2.5in (D)Strap drop: 60inTwo small structured top handles with printed satin scarf detailOmbre pebble grain cross body strapFold over flap closureCan fit classic credit cardsOuter: LeatherInterior: Monogrammed interior liningStyle number: 4376999119","This Mini Square Kensington Purse is crafted from a pebble grain ombre leather with overstitch quilting. There is an antiqued brass eagle head with sunglasses on the front matching the antiqued brass hardware.5in (H), 7in (L), 2.5in (D)Strap drop: 60inTwo small structured top handles with printed satin scarf detailOmbre pebble grain cross body strapFold over flap closureCan fit classic credit cardsOuter: LeatherInterior: Monogrammed interior liningStyle number: 4376999119",128.00,128.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4376999119_20.jpg?v=1&width=800,Womens> Bags,Womens> Bags,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/4/3/4376999119_20.jpg?v=1&width=800,FALSE,,57,IN STOCK,,,,,,698,TRUE,TRUE,TRUE
Kurt Geiger London,5613399979,5613399979,5613399979,maddison jelly wedge mule,https://www.kurtgeiger.us/women/shoes/sandals/heeled/maddison-wedge-mule-other-synthetic-kurt-geiger-london-5613399979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,This pair of Maddison Wedge Mules features an orange transparent upper with wide strap across the foot topped with eagle head. The heel is in a wedge style.&nbsp;Heel height: 6cmWe recommend one size smaller than usual in this styleMaterial: PerspexStyle number: 5613399979,This pair of Maddison Wedge Mules features an orange transparent upper with wide strap across the foot topped with eagle head. The heel is in a wedge style.&nbsp;Heel height: 6cmWe recommend one size smaller than usual in this styleMaterial: PerspexStyle number: 5613399979,58.00,58.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613399979_20.jpg?v=1&width=800,Womens> Shoes>  Heels,Womens> Shoes>  Heels,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/6/5613399979_20.jpg?v=1&width=800,FALSE,,166,IN STOCK,,,,,,424,TRUE,TRUE,TRUE
Kurt Geiger London,5964433209,5964433209,5964433209,kensington stud banger bag,https://www.kurtgeiger.us/women/bags/shoulder-bags/kensington-sausage-stud-tan-suede-kurt-geiger-london-5964433209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Kensington Banger purse is crafted from a tan suede leather. There is an antiqued brass eagle head sat on the front of the purse alongside multiple micro eagle head studs.&nbsp;5.5in (H), 12.5in (L), 4.3in (D)Strap length: 24.4inTwo long shoulder handles with a pop closureAntiqued brass zip closureAntiqued brass branded plate on the backAntiqued brass stud feetMaterial: SuedeStyle number: 5964433209","The Kensington Banger purse is crafted from a tan suede leather. There is an antiqued brass eagle head sat on the front of the purse alongside multiple micro eagle head studs.&nbsp;5.5in (H), 12.5in (L), 4.3in (D)Strap length: 24.4inTwo long shoulder handles with a pop closureAntiqued brass zip closureAntiqued brass branded plate on the backAntiqued brass stud feetMaterial: SuedeStyle number: 5964433209",118.00,118.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5964433209_20.jpg?v=1&width=800,Womens> Bags>  Shoulder,Womens> Bags>  Shoulder,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/9/5964433209_20.jpg?v=1&width=800,FALSE,,161,IN STOCK,,,Tan,,,434,TRUE,TRUE,TRUE
Kurt Geiger London,5576389129,5576389129,5576389129,kensington bag,https://www.kurtgeiger.us/women/bags/crossbody-bags/kensington-bag-w-blue-other-leather-suede-kurt-geiger-london-5576389129?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Kensington Purse is crafted from a tonal blue waved leather. The antiqued brass eagle head features crystals and black crystal eyes on the front flap.&nbsp;6.7in (H), 10.2in (L), 3.1in (D)Strap drop cross body: 43.7inStrap drop shoulder: 25.2inAntiqued brass metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapAntiqued brass branded plate on the back&nbsp;Can fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: LeatherInterior: Monogrammed interior liningStyle number: 5576389129","The Kensington Purse is crafted from a tonal blue waved leather. The antiqued brass eagle head features crystals and black crystal eyes on the front flap.&nbsp;6.7in (H), 10.2in (L), 3.1in (D)Strap drop cross body: 43.7inStrap drop shoulder: 25.2inAntiqued brass metal chain strap with two padded leather insertsDuo magnetic snap closure hidden under flapAntiqued brass branded plate on the back&nbsp;Can fit phones up to 7 inchesTwo interior compartments with small internal lining pocketOuter: LeatherInterior: Monogrammed interior liningStyle number: 5576389129",188.00,188.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5576389129_20.jpg?v=1&width=800,Womens> Bags>  Shoulder,Womens> Bags>  Shoulder,24/08/2026,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/2000x2000/5/5/5576389129_20.jpg?v=1&width=800,FALSE,,190,IN STOCK,,,BLUE,,,381,TRUE,TRUE,TRUE
