prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5871030229,5871030229,5871030229,Carvela Women's Tote Bag Nylon Marcela Nylon,https://www.shoeaholics.com/women/bags/tote-bags/marcela-nylon-tote-brown-nylon-carvela-5871030229?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Nylon Tote Bag, Brown","Brown Nylon Tote Bag, Brown",79.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5871030229.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,10/09/2026,,FALSE,,38,IN STOCK,,,Brown,,,291,TRUE,TRUE,TRUE
Carvela,5743230979,5743230979,5743230979,Carvela Women's Tote Bag Brown Synthetic Minori,https://www.shoeaholics.com/women/bags/shoulder-bags/minori-tote-brown-synthetic-carvela-5743230979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Minori Tote """", No Size, Brown","Womens Carvela Minori Tote """", No Size, Brown",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5743230979.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,10/09/2026,,FALSE,,73,IN STOCK,,,Brown,,,252,TRUE,TRUE,TRUE
Carvela,5685631979,5685631979,5685631979,Carvela Women's Tote Bag Dark Brown Synthetic Antionia,https://www.shoeaholics.com/women/bags/antionia-weave-mini-dark-brown-synthetic-carvela-5685631979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Antonia Weave Mini """", No Size, Dark Brown","Womens Carvela Antonia Weave Mini """", No Size, Dark Brown",79.00,109.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/6/5685631979.jpg?v=1&width=800,Women > Bags,Women > Bags,10/09/2026,,FALSE,,128,IN STOCK,,,Brown,,,187,TRUE,TRUE,TRUE
Carvela,5745300979,5745300979,5745300979,Carvela Women's Purse Black Synthetic Multi Compartment,https://www.shoeaholics.com/women/bags/multi-compartment-purse-black-synthetic-carvela-5745300979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Pebble Grain Wallet, Black","Black Pebble Grain Wallet, Black",29.00,49.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5745300979.jpg?v=1&width=800,Women > Bags,Women > Bags,10/09/2026,,FALSE,,254,IN STOCK,,,Black,,,73,TRUE,TRUE,TRUE
Kurt Geiger London,5851734339,5851734339,5851734339,Kurt Geiger Women's Cross Body Bag Rust Canvas Kensington Xbody,https://www.shoeaholics.com/women/bags/cross-body-bags/kensington-xbody-rust-canvas-kurt-geiger-london-5851734339?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Celia Shoulder Bag """", No Size, Rust","Womens Kurt Geiger London Celia Shoulder Bag """", No Size, Rust",109.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5851734339.jpg?v=1&width=800,Women > Bags > Cross-body-bags,Women > Bags > Cross-body-bags,10/09/2026,,FALSE,,31,IN STOCK,,,Brown,,,303,TRUE,TRUE,TRUE
Carvela,6329851979,6329851979,6329851979,Carvela Tracolla Shoulder Bag,https://www.shoeaholics.com/women/bags/tote-bags/tracolla-tote-bag-red-dark-synthetic-carvela-6329851979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Tracolla Shoulder Bag """", No Size, Red Dark","Womens Carvela Tracolla Shoulder Bag """", No Size, Red Dark",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6329851979.jpg?v=1&width=800,Women > Bags > Tote-bags,Women > Bags > Tote-bags,10/09/2026,,FALSE,,119,IN STOCK,,,Red,,,206,TRUE,TRUE,TRUE
Miss KG,5751615069,5751615069,5751615069,KG Kurt Geiger Women's Clutch Bag White Combination Fabric Tilly,https://www.shoeaholics.com/women/bags/clutch-bags/tilly-pearl-clutch-white-comb-fabric-other-miss-kg-5751615069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Bone Pearl Clutch Bag, White Comb","Bone Pearl Clutch Bag, White Comb",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5751615069.jpg?v=1&width=800,Women > Bags > Clutch-bags,Women > Bags > Clutch-bags,10/09/2026,,FALSE,,51,IN STOCK,,,White,,,272,TRUE,TRUE,TRUE
Kurt Geiger London,6314400229,6314400229,6314400229,Kurt Geiger London Lg Kingsley Shopper,https://www.shoeaholics.com/women/bags/shoulder-bags/lg-kingsley-shopper-black-nylon-kurt-geiger-london-6314400229?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Lg Kingsley Shopper """", No Size, Black","Womens Kurt Geiger London Lg Kingsley Shopper """", No Size, Black",129.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6314400229.jpg?v=1&width=800,Women > Bags > Shoulder-bags,Women > Bags > Shoulder-bags,10/09/2026,,FALSE,,94,IN STOCK,,,Black,,,229,TRUE,TRUE,TRUE
Carvela,5272844069,5272844069,5272844069,Carvela Women's Clutch Bag Bone Synthetic Positano,https://www.shoeaholics.com/women/bags/positano-daisy-clutch-bone-combination-fabric-other-carvela-5272844069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Positano Daisy Clutch Bag """", No Size, Bone Combination","Womens Carvela Positano Daisy Clutch Bag """", No Size, Bone Combination",99.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5272844069.jpg?v=1&width=800,Women > Bags,Women > Bags,10/09/2026,,FALSE,,227,IN STOCK,,,White,,,91,TRUE,TRUE,FALSE
Carvela,6328900979,6328900979,6328900979,Carvela Women's Cross Body Bag Black Synthetic Maria,https://www.shoeaholics.com/women/bags/cross-body-bags/maria-crossbody-bag-black-synthetic-carvela-6328900979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Maria Crossbody Bag """", No Size, Black","Womens Carvela Maria Crossbody Bag """", No Size, Black",49.00,89.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6328900979.jpg?v=1&width=800,Women > Bags > Cross-body-bags,Women > Bags > Cross-body-bags,10/09/2026,,FALSE,,173,IN STOCK,,,Black,,,141,TRUE,TRUE,TRUE
