prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,2410710609,2410710609,Carvela Women's Sandals White Fabric Gala Mule,https://www.shoeaholics.com/women/shoes/sandals/gala-mule-jewel-white-fabric-carvela-2410710609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Faux Pearl Crystal Slip On Sandal, White","Faux Pearl Crystal Slip On Sandal, White",119.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2410710609.jpg?v=1&width=800,Women > Shoes > Sandals,Women > Shoes > Sandals,18/08/2026,,FALSE,,75,IN STOCK,,,White,,,904,TRUE,TRUE,TRUE
Carvela,3811500309,3811500309,Carvela Women's Ankle Boot Black Patent Synthetic Strut Ankle,https://www.shoeaholics.com/women/shoes/boots/ankle/strut-ankle-black-patent-carvela-3811500309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Patent Ankle Boot, Black","Black Patent Ankle Boot, Black",99.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3811500309.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,18/08/2026,,FALSE,,150,IN STOCK,,,Black,,,534,TRUE,TRUE,TRUE
Carvela Comfort,2761333109,2761333109,Carvela Women's Heels Tan Leather Krill,https://www.shoeaholics.com/women/shoes/heels/block-heels/krill-tan-leather-carvela-comfort-2761333109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Tan Leather Heels, Tan","Tan Leather Heels, Tan",119.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/7/2761333109.jpg?v=1&width=800,(Uncategorized),(Uncategorized),18/08/2026,,FALSE,,191,IN STOCK,,,Tan,,,404,TRUE,TRUE,TRUE
Carvela,2380200979,2380200979,Carvela Daze Jewel Trainer Black Crystal Trainers,https://www.shoeaholics.com/women/shoes/trainers/slip-on/daze-jewel-black-synthetic-carvela-2380200979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Crystal Trainers, Black","Black Crystal Trainers, Black",59.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/3/2380200979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,18/08/2026,,FALSE,,281,IN STOCK,,,Black,,,179,TRUE,TRUE,TRUE
Kg Kurt Geiger,3847800069,3847800069,KG Kurt Geiger Women's Heels Black Fabric Fleur,https://www.shoeaholics.com/women/shoes/heels/high-heels/fleur-platform-black-fabric-other-kg-kurt-geiger-3847800069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Fleur Platform Heel """", 7 Uk, Black","Womens Kg Kurt Geiger Fleur Platform Heel """", 7 Uk, Black",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3847800069.jpg?v=1&width=800,(Uncategorized),(Uncategorized),18/08/2026,,FALSE,,180,IN STOCK,,,Black,,,436,TRUE,TRUE,TRUE
Carvela,1860110569,1860110569,Carvela Women's Trainer White Synthetic Diamond,https://www.shoeaholics.com/women/shoes/trainers/slip-on/diamond-white-snake-carvela-1860110569?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Lizard Trainer, White","White Lizard Trainer, White",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/8/1860110569.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,18/08/2026,,FALSE,,12,IN STOCK,,,White,,,1827,TRUE,TRUE,TRUE
Carvela,2772747979,2772747979,Carvela Women's Trainer Taupe Synthetic Daze,https://www.shoeaholics.com/women/shoes/trainers/slip-on/daze-weave-taupe-synthetic-carvela-2772747979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Woven Trainer, Taupe","Taupe Woven Trainer, Taupe",59.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/7/2772747979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,18/08/2026,,FALSE,,31,IN STOCK,,,Taupe,,,1325,TRUE,TRUE,TRUE
Carvela,3811500979,3811500979,Carvela Women's Boot Black Synthetic Strut Ankle,https://www.shoeaholics.com/women/shoes/boots/ankle/strut-ankle-black-synthetic-carvela-3811500979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Ankle Boot, Black","Black Ankle Boot, Black",99.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3811500979.jpg?v=1&width=800,Brands > Carvela > Womens-shoes,Brands > Carvela > Womens-shoes,18/08/2026,,FALSE,,558,IN STOCK,,,Black,,,27,TRUE,TRUE,TRUE
Kurt Geiger London,3526405609,3526405609,Kurt Geiger Women's Southbank Tote Bag Black Combination Fabric,https://www.shoeaholics.com/women/bags/tote-bags/micro-southbank-tote-black-combination-fabric-kurt-geiger-london-3526405609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Floral Printed Tote Bag, Black","Floral Printed Tote Bag, Black",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/5/3526405609.jpg?v=1&width=800,Clothing & Accessories > Shoes,Clothing & Accessories > Shoes,18/08/2026,,FALSE,,51,IN STOCK,,,Black,,,1077,TRUE,TRUE,TRUE
Carvela,2411910979,2411910979,Carvela Women's Heels White Fabric Synthetic Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-wedge-white-synthetic-carvela-2411910979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Wedge Cork Heel, White","White Wedge Cork Heel, White",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2411910979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,18/08/2026,,FALSE,,61,IN STOCK,,,White,,,998,TRUE,TRUE,TRUE
Carvela,3326610109,3326610109,Carvela Women's Trainers White Leather Connected,https://www.shoeaholics.com/women/shoes/trainers/slip-on/connected-zip-white-leather-carvela-3326610109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Quitled Sneaker, White","White Quitled Sneaker, White",74.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/3/3326610109.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,18/08/2026,,FALSE,,206,IN STOCK,,,White,,,344,TRUE,TRUE,TRUE
Carvela,2643900979,2643900979,Carvela Women's Heel Black Synthetic Sadie 2,https://www.shoeaholics.com/women/shoes/heels/block-heels/sadie-2-black-synthetic-carvela-2643900979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Block Heel, Black","Black Block Heel, Black",99.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2643900979.jpg?v=1&width=800,Women > Shoes > Heels > Block-heels,Women > Shoes > Heels > Block-heels,18/08/2026,,FALSE,,71,IN STOCK,,,Black,,,930,TRUE,TRUE,TRUE
Carvela,2666361609,2666361609,Carvela High Rise Trainer Gold Fabric Trainer,https://www.shoeaholics.com/women/shoes/trainers/slip-on/high-rise-gold-fabric-carvela-2666361609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Fabric Trainer, Gold","Gold Fabric Trainer, Gold",89.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666361609.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,18/08/2026,,FALSE,,208,IN STOCK,,,Metallic,,,335,TRUE,TRUE,TRUE
Carvela,2411947209,2411947209,Carvela Women's Heels Taupe Suede Leather Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-wedge-taupe-suede-carvela-2411947209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Suede Wedge Heel, Taupe","Taupe Suede Wedge Heel, Taupe",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2411947209.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,18/08/2026,,FALSE,,33,IN STOCK,,,Taupe,,,1288,TRUE,TRUE,TRUE
Carvela,2411961979,2411961979,Kurt Geiger Women's Heels Gold Synthetic Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-wedge-gold-synthetic-carvela-2411961979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Metallic Upper, Gold","Gold Metallic Upper, Gold",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2411961979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,18/08/2026,,FALSE,,96,IN STOCK,,,Metallic,,,778,TRUE,TRUE,TRUE
Carvela,3668700979,3668700979,Carvela Women's Loafer Black Synthetic Manor,https://www.shoeaholics.com/women/shoes/flats/manor-black-synthetic-carvela-3668700979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Patent Loafer, Black","Black Patent Loafer, Black",49.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/6/3668700979.jpg?v=1&width=800,(Uncategorized),(Uncategorized),18/08/2026,,FALSE,,81,IN STOCK,,,Black,,,874,TRUE,TRUE,TRUE
