prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela Comfort,1973000799,1973000799,1973000799,Carvela Comfort Women's High Leg Boot Black Tampa,https://www.shoeaholics.com/women/shoes/boots/heeled/tampa-high-leg-black-suedette-carvela-comfort-1973000799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Knee High Boots, Black, Suedette","Black Knee High Boots, Black, Suedette",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/1/9/1973000799.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,72,IN STOCK,,,Black,,,206,TRUE,TRUE,TRUE
Steve Madden,3657400109,3657400109,3657400109,Steve Madden Speedway Black,https://www.shoeaholics.com/women/shoes/boots/heeled/speedway-017-black-leather-steve-madden-3657400109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Speedway Black """", 7 Uk, Black","Womens Steve Madden Speedway Black """", 7 Uk, Black",170.00,170.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/6/3657400109.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,86,IN STOCK,,,Black,,,190,TRUE,TRUE,FALSE
Carvela,3809730799,3809730799,3809730799,Carvela Women's Boots Brown Microsuede Boulder,https://www.shoeaholics.com/women/shoes/boots/biker/boulder-heeled-ankle-brown-suedette-carvela-3809730799?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Boulder Heeled Ankle Boot """", 6 Uk, Brown","Womens Carvela Boulder Heeled Ankle Boot """", 6 Uk, Brown",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3809730799.jpg?v=1&width=800,Women > Shoes > Boots > Biker,Women > Shoes > Boots > Biker,11/09/2026,,FALSE,,218,IN STOCK,,,Brown,,,82,TRUE,TRUE,TRUE
Carvela,3809754309,3809754309,3809754309,Carvela Women's Ankle boot Wine Patent Boulder,https://www.shoeaholics.com/women/shoes/boots/biker/boulder-heeled-ankle-wine-patent-carvela-3809754309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Boulder Heeled Ankle Boot """", 5 Uk, Wine","Womens Carvela Boulder Heeled Ankle Boot """", 5 Uk, Wine",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3809754309.jpg?v=1&width=800,Women > Shoes > Boots > Biker,Women > Shoes > Boots > Biker,11/09/2026,,FALSE,,218,IN STOCK,,,Red,,,83,TRUE,TRUE,TRUE
Carvela,5005100209,5005100209,5005100209,Carvela Women's Boot Black Suede Spirit Slouch,https://www.shoeaholics.com/women/shoes/boots/heeled/spirit-slouch-boot-black-suede-carvela-5005100209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Spirit Slouch Boot """", 5 Uk, Black","Womens Carvela Spirit Slouch Boot """", 5 Uk, Black",229.00,229.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5005100209.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,476,IN STOCK,,,Black,,,9,TRUE,TRUE,FALSE
Carvela,5102600109,5102600109,5102600109,Carvela Women's Ankle Boot Black Leather Pienza,https://www.shoeaholics.com/women/shoes/boots/ankle/pienza-ankle-boot-black-leather-carvela-5102600109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Ankle Boot, Black","Black Leather Ankle Boot, Black",129.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5102600109.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,127,IN STOCK,,,Black,,,145,TRUE,TRUE,TRUE
Carvela Comfort,5200200979,5200200979,5200200979,Carvela Women's Boots Black Synthetic Flute,https://www.shoeaholics.com/women/shoes/boots/ankle/flute-coin-black-synthetic-carvela-comfort-5200200979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Comfort Flute Coin Boot """", 6 Uk, Black","Womens Carvela Comfort Flute Coin Boot """", 6 Uk, Black",119.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5200200979.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,349,IN STOCK,,,Black,,,30,TRUE,TRUE,TRUE
Steve Madden,5131700109,5131700109,5131700109,Steve Madden Women's Boots Black Leather Holly,https://www.shoeaholics.com/women/shoes/boots/heeled/holly-001-black-leather-steve-madden-5131700109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Holly Knee Boot """", 7 Uk, Black","Womens Steve Madden Holly Knee Boot """", 7 Uk, Black",140.00,140.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5131700109.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,11/09/2026,,FALSE,,281,IN STOCK,,,Black,,,50,TRUE,TRUE,FALSE
Carvela,5209447609,5209447609,5209447609,Carvela Women's Boots Taupe Synthetic Corsano,https://www.shoeaholics.com/women/shoes/boots/ankle/corsano-ankle-taupe-fabric-carvela-5209447609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Taupe Fabric Ankle Boot, Taupe","Taupe Fabric Ankle Boot, Taupe",109.00,159.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5209447609.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,140,IN STOCK,,,Taupe,,,135,TRUE,TRUE,TRUE
Carvela,5092830209,5092830209,5092830209,Carvela Women's Boots Brown Suede Ignite Zip,https://www.shoeaholics.com/women/shoes/boots/ankle/ignite-zip-brown-suede-carvela-5092830209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Ignite Zip Boot """", 6 Uk, Brown","Womens Carvela Ignite Zip Boot """", 6 Uk, Brown",189.00,189.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5092830209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,11/09/2026,,FALSE,,343,IN STOCK,,,Brown,,,33,TRUE,TRUE,FALSE
