prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Kg Kurt Geiger,5823124109,5823124109,5823124109,KG Kurt Geiger Women's Flats Blush Leather Marnie,https://www.shoeaholics.com/women/shoes/flats/marnie-blush-leather-kg-kurt-geiger-5823124109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Blush Slip On Flat Loafer, Blush","Blush Slip On Flat Loafer, Blush",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5823124109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,9,IN STOCK,,,Blush,,,131,TRUE,TRUE,TRUE
Steve Madden,5865339979,5865339979,5865339979,Steve Madden Grove Brown,https://www.shoeaholics.com/women/shoes/flats/grove2-0-tor-brown-other-synthetic-steve-madden-5865339979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Steve Madden Grove Brown """", 7 Uk","Womens Steve Madden Grove Brown """", 7 Uk",59.00,80.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5865339979.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,40,IN STOCK,,,,,,82,TRUE,TRUE,TRUE
Carvela,6423000979,6423000979,6423000979,Carvela Women's Flats Black Synthetic Sky Bow,https://www.shoeaholics.com/women/shoes/flats/sky-bow-black-synthetic-carvela-6423000979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Sky Bow Flat """", 5 Uk, Black","Womens Carvela Sky Bow Flat """", 5 Uk, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/4/6423000979.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,183,IN STOCK,,,Black,,,29,TRUE,TRUE,TRUE
Carvela,5279648309,5279648309,5279648309,Carvela Women's Loafer Camel Patent Noce,https://www.shoeaholics.com/women/shoes/flats/noce-loafer-camel-patent-carvela-5279648309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Patent Camel Slip On Loafer, Camel","Patent Camel Slip On Loafer, Camel",29.00,99.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/2/5279648309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,22,IN STOCK,,,Tan,,,101,TRUE,TRUE,TRUE
Kg Kurt Geiger,6297300309,6297300309,6297300309,Kg Kurt Geiger Mila Loafer,https://www.shoeaholics.com/women/shoes/flats/mila-black-patent-kg-kurt-geiger-6297300309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Mila Loafer """", 9 Uk, Black","Womens Kg Kurt Geiger Mila Loafer """", 9 Uk, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6297300309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,256,IN STOCK,,,Black,,,10,TRUE,TRUE,TRUE
Kg Kurt Geiger,5711741109,5711741109,5711741109,KG Kurt Geiger Women's Bone Leather Nora,https://www.shoeaholics.com/women/shoes/flats/nora-bone-leather-kg-kurt-geiger-5711741109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Bone Leather Ballet Flat, Bone","Bone Leather Ballet Flat, Bone",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5711741109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,50,IN STOCK,,,White,,,80,TRUE,TRUE,TRUE
Carvela,5897800109,5897800109,5897800109,Carvela Snap Wide Fit,https://www.shoeaholics.com/women/shoes/flats/snap-wide-fit-black-leather-carvela-5897800109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Snap Wide Fit """", 4 Uk, Black","Womens Carvela Snap Wide Fit """", 4 Uk, Black",79.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5897800109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,42,IN STOCK,,,Black,,,81,TRUE,TRUE,TRUE
Kg Kurt Geiger,5922850829,5922850829,5922850829,KG Kurt Geiger Women's Flats Red Synthetic Nauru,https://www.shoeaholics.com/women/shoes/flats/nauru-red-polyurethane-kg-kurt-geiger-5922850829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Red Mesh Ballet Flats, Red","Red Mesh Ballet Flats, Red",59.00,79.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/9/5922850829.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,10,IN STOCK,,,Red,,,127,TRUE,TRUE,TRUE
Carvela,5710310109,5710310109,5710310109,Carvela Women's Flat Loafer White Leather Fiasco,https://www.shoeaholics.com/women/shoes/flats/fiasco-white-leather-carvela-5710310109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Slip On Loafer, White","White Slip On Loafer, White",49.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5710310109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,7,IN STOCK,,,White,,,139,TRUE,TRUE,TRUE
Kg Kurt Geiger,5823105019,5823105019,5823105019,KG Kurt Geiger Women's Flats Black Combination Marnie,https://www.shoeaholics.com/women/shoes/flats/marnie-black-combination-leather-other-kg-kurt-geiger-5823105019?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Slip On Loafer, Black","Black Leather Slip On Loafer, Black",109.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5823105019.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,166,IN STOCK,,,Black,,,36,TRUE,TRUE,TRUE
Kg Kurt Geiger,5823161109,5823161109,5823161109,KG Kurt Geiger Women's Flats Gold Leather Marnie,https://www.shoeaholics.com/women/shoes/flats/marnie-gold-leather-kg-kurt-geiger-5823161109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Leather Marnie Flat Loafer, Gold","Gold Leather Marnie Flat Loafer, Gold",39.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5823161109.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,13,IN STOCK,,,Metallic,,,121,TRUE,TRUE,TRUE
Kg Kurt Geiger,6297484309,6297484309,6297484309,KG Kurt Geiger Women's Flats Navy Patent Muse,https://www.shoeaholics.com/women/shoes/flats/muse-navy-patent-kg-kurt-geiger-6297484309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Navy Slip On Loafer, Navy","Navy Slip On Loafer, Navy",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6297484309.jpg?v=1&width=800,Women > Shoes > Flats,Women > Shoes > Flats,10/09/2026,,FALSE,,126,IN STOCK,,,Blue,,,49,TRUE,TRUE,TRUE
