prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5898269449,5898269449,5898269449,Carvela Women's Heels Mult Other Raffia Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-embroidery-multi-other-raffia-carvela-5898269449?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,Raffia Embroidered Block Heel,Raffia Embroidered Block Heel,99.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/8/5898269449.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,130,IN STOCK,,,,,,94,TRUE,TRUE,TRUE
Kg Kurt Geiger,6298400309,6298400309,6298400309,KG Kurt Geiger Women's Black patent Tilly Velvet,https://www.shoeaholics.com/women/shoes/heels/slingbacks/tilly-velvet-bow-black-patent-kg-kurt-geiger-6298400309?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Tilly Velvet Bow """", 9 Uk, Black","Womens Kg Kurt Geiger Tilly Velvet Bow """", 9 Uk, Black",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/2/6298400309.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,285,IN STOCK,,,Black,,,14,TRUE,TRUE,TRUE
Kg Kurt Geiger,6321584789,6321584789,6321584789,KG Kurt Geiger Women's Heels NAvy Velvet Autumn,https://www.shoeaholics.com/women/shoes/heels/slingbacks/autumn-d-orsay-navy-velvet-kg-kurt-geiger-6321584789?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Navy Velvet Heel, Navy","Navy Velvet Heel, Navy",89.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/6/3/6321584789.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,162,IN STOCK,,,Blue,,,69,TRUE,TRUE,TRUE
Carvela,5758861979,5758861979,5758861979,Carvela Women's Heels Gold Synthetic Motto Block,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/motto-block-wf-gold-synthetic-carvela-5758861979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela Motto Block Wide Fit Heel """", 3 Uk, Gold","Womens Carvela Motto Block Wide Fit Heel """", 3 Uk, Gold",89.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5758861979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,11,IN STOCK,,,Metallic,,,267,TRUE,TRUE,TRUE
Kg Kurt Geiger,5735444829,5735444829,5735444829,KG Kurt Geiger Women's Heels Bome Combination Sunnie,https://www.shoeaholics.com/women/shoes/heels/high-heels/sunnie-bone-combination-polyurethane-kg-kurt-geiger-5735444829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Striped Block Heel, Bone Combination","Striped Block Heel, Bone Combination",29.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/7/5735444829.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,19,IN STOCK,,,White,,,233,TRUE,TRUE,TRUE
Carvela,2411961979,2411961979,2411961979,Kurt Geiger Women's Heels Gold Synthetic Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-wedge-gold-synthetic-carvela-2411961979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Metallic Upper, Gold","Gold Metallic Upper, Gold",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2411961979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,80,IN STOCK,,,Metallic,,,127,TRUE,TRUE,TRUE
Kg Kurt Geiger,3847862069,3847862069,3847862069,KG Kurt Geiger Women's Heels Peter Fabric Other Fleur,https://www.shoeaholics.com/women/shoes/heels/high-heels/fleur-platform-pewter-fabric-other-kg-kurt-geiger-3847862069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gunmetal Metallic Platform Heel, Pewter","Gunmetal Metallic Platform Heel, Pewter",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3847862069.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,298,IN STOCK,,,Metallic,,,10,TRUE,TRUE,TRUE
Carvela,2411998979,2411998979,2411998979,Carvela Women's Heels Wedge Pink Synthetic Sadie,https://www.shoeaholics.com/women/shoes/heels/low-mid-heels/sadie-wedge-pink-synthetic-carvela-2411998979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Pink Wedge Heel, Pink","Pink Wedge Heel, Pink",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/4/2411998979.jpg?v=1&width=800,Women > Shoes > Heels > Low-mid-heels,Women > Shoes > Heels > Low-mid-heels,10/09/2026,,FALSE,,27,IN STOCK,,,Pink,,,209,TRUE,TRUE,TRUE
Carvela,4529300609,4529300609,4529300609,Carvela Women's Coat Heel Black Fabric Corletta,https://www.shoeaholics.com/women/shoes/heels/slingbacks/corletta-sling-court-black-fabric-carvela-4529300609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Microsuede Heel, Black","Black Microsuede Heel, Black",79.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/5/4529300609.jpg?v=1&width=800,Women > Shoes > Heels > Slingbacks,Women > Shoes > Heels > Slingbacks,10/09/2026,,FALSE,,367,IN STOCK,,,Black,,,3,TRUE,TRUE,TRUE
Kurt Geiger London,5092669609,5092669609,5092669609,Kurt Geiger Women's Heels Multi Other Fabric Bloom,https://www.shoeaholics.com/women/shoes/heels/high-heels/bloom-mule-multi-other-fabric-kurt-geiger-london-5092669609?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Bloom Mule """", 6 Uk","Womens Kurt Geiger London Bloom Mule """", 6 Uk",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5092669609.jpg?v=1&width=800,Women > Shoes > Heels > High-heels,Women > Shoes > Heels > High-heels,10/09/2026,,FALSE,,147,IN STOCK,,,,,,78,TRUE,TRUE,TRUE
