prclient,prid,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,5102000109,5102000109,Carvela Pienza 5050 Black Leather Knee High Boot,https://www.shoeaholics.com/women/shoes/boots/pienza-5050-black-leather-carvela-5102000109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Leather Knee High Boot, Black","Black Leather Knee High Boot, Black",139.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5102000109.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,92,IN STOCK,,,Black,,,748,TRUE,TRUE,TRUE
Kg Kurt Geiger,5138405069,5138405069,KG Kurt Geiger Women's Boots Black Combination Angel Ankle,https://www.shoeaholics.com/women/shoes/boots/ankle/angel-ankle-black-combination-fabric-other-kg-kurt-geiger-5138405069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Mesh Crystal Ankle Boot, Black","Black Mesh Crystal Ankle Boot, Black",39.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5138405069.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,28,IN STOCK,,,Black,,,1240,TRUE,TRUE,TRUE
Kg Kurt Geiger,5161100829,5161100829,KG Kurt Geiger Women's Boots Black Leg Synthetic High Fate,https://www.shoeaholics.com/women/shoes/boots/fate-high-leg-black-polyurethane-kg-kurt-geiger-5161100829?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Fate High Leg Boot """", 3 Uk, Black","Womens Kg Kurt Geiger Fate High Leg Boot """", 3 Uk, Black",49.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5161100829.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,11,IN STOCK,,,Black,,,1675,TRUE,TRUE,TRUE
Kg Kurt Geiger,5163700209,5163700209,KG Kurt Geiger Women's Boots Black Leather Suede Aria Boot,https://www.shoeaholics.com/women/shoes/boots/aria-boot-black-suede-kg-kurt-geiger-5163700209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kg Kurt Geiger Aria Boot """", 3 Uk, Black","Womens Kg Kurt Geiger Aria Boot """", 3 Uk, Black",39.00,179.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5163700209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,42,IN STOCK,,,Black,,,1082,TRUE,TRUE,TRUE
Kg Kurt Geiger,4809661069,4809661069,KG Kurt Geiger Women's Heels Gold Fabric Other Fleur,https://www.shoeaholics.com/women/shoes/heels/high-heels/fleur-platform-gold-fabric-other-kg-kurt-geiger-4809661069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Gold Platform Chunky Heel, Gold","Gold Platform Chunky Heel, Gold",99.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/4/8/4809661069.jpg?v=1&width=800,Women,Women,01/09/2026,,FALSE,,225,IN STOCK,,,Metallic,,,281,TRUE,TRUE,TRUE
Kurt Geiger London,5025741419,5025741419,Kurt Geiger London Regent Cap Knee Boot,https://www.shoeaholics.com/women/shoes/boots/heeled/regent-cap-knee-boot-bone-croc-print-leather-kurt-geiger-london-5025741419?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Regent Cap Knee Boot """", 7 Uk, Bone","Womens Kurt Geiger London Regent Cap Knee Boot """", 7 Uk, Bone",89.00,299.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5025741419.jpg?v=1&width=800,Women > Shoes > Boots > Heeled,Women > Shoes > Boots > Heeled,01/09/2026,,FALSE,,76,IN STOCK,,,White,,,834,TRUE,TRUE,TRUE
Kg Kurt Geiger,5147930209,5147930209,KG Kurt Geiger Women's Ankle Boot Brown Suede Tasha,https://www.shoeaholics.com/women/shoes/boots/ankle/tasha3-brown-suede-kg-kurt-geiger-5147930209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Brown Suede Leather Ankle Boot, Brown","Brown Suede Leather Ankle Boot, Brown",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5147930209.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,137,IN STOCK,,,Brown,,,554,TRUE,TRUE,TRUE
Carvela,5102005209,5102005209,Carvela Women's Boots Black Combination Pienza,https://www.shoeaholics.com/women/shoes/boots/pienza-5050-black-combination-suede-carvela-5102005209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Suede Knee High Boot, Black","Black Suede Knee High Boot, Black",139.00,199.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5102005209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,137,IN STOCK,,,Black,,,555,TRUE,TRUE,TRUE
Kg Kurt Geiger,5147900109,5147900109,KG Kurt Geiger Women's Ankle Boot Black Leather Tasha,https://www.shoeaholics.com/women/shoes/boots/ankle/tasha3-black-leather-kg-kurt-geiger-5147900109?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Chelsea Boot, Black","Black Chelsea Boot, Black",119.00,169.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/1/5147900109.jpg?v=1&width=800,Women > Shoes > Boots > Ankle,Women > Shoes > Boots > Ankle,01/09/2026,,FALSE,,80,IN STOCK,,,Black,,,818,TRUE,TRUE,TRUE
Kurt Geiger London,5004200209,5004200209,Kurt Geiger London Chelsea Trim Knee Boot,https://www.shoeaholics.com/women/shoes/boots/chelsea-trim-knee-boot-black-suede-kurt-geiger-london-5004200209?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Kurt Geiger London Chelsea Trim Knee Boot """", 3 Uk, Black","Womens Kurt Geiger London Chelsea Trim Knee Boot """", 3 Uk, Black",59.00,249.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/5/0/5004200209.jpg?v=1&width=800,Women > Shoes > Boots,Women > Shoes > Boots,01/09/2026,,FALSE,,14,IN STOCK,,,Black,,,1567,TRUE,TRUE,TRUE
