prclient,prid,prid_filtered,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Carvela,0865000979,0865000979,0865000979,Carvela Women's Trainer Black Synthetic Jive Zip,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-zip-black-synthetic-carvela-0865000979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Trainer, Black","Black Trainer, Black",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/8/0865000979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,126,IN STOCK,,,Black,,,104,TRUE,TRUE,TRUE
Carvela,0865040979,0865040979,0865040979,Carvela Women's Trainers Beige Synthetic Jive Zip,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-zip-beige-synthetic-carvela-0865040979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Beige Trainer, Beige","Beige Trainer, Beige",59.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/8/0865040979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,88,IN STOCK,,,Nude,,,127,TRUE,TRUE,TRUE
Carvela,0864214979,0864214979,0864214979,Carvela Women's Trainers Champagne Synthetic Rapid,https://www.shoeaholics.com/women/shoes/trainers/slip-on/rapid-champagne-synthetic-carvela-0864214979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Champagne Lace Up Trainer, Champagne","Champagne Lace Up Trainer, Champagne",59.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/8/0864214979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,112,IN STOCK,,,Champagne,,,115,TRUE,TRUE,TRUE
Steve Madden,0995623979,0995623979,0995623979,Steve Madden Women's Trainrers Grey Light Possession,https://www.shoeaholics.com/women/shoes/trainers/slip-on/possession-e-022-greige-grey-light-synthetic-steve-madden-0995623979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Off White Lace Up Sneaker, Grey Light","Off White Lace Up Sneaker, Grey Light",49.00,120.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/0/9/0995623979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,9,IN STOCK,,,Grey,,,219,TRUE,TRUE,TRUE
Carvela,2666315979,2666315979,2666315979,Carvela Women's Trainers White Combination Synthetic High Rise,https://www.shoeaholics.com/women/shoes/trainers/high-rise-white-comb-synthetic-carvela-2666315979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela High Rise """", 5 Uk, White Comb","Womens Carvela High Rise """", 5 Uk, White Comb",89.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666315979.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,415,IN STOCK,,,White,,,14,TRUE,TRUE,TRUE
Carvela,9945491979,9945491979,9945491979,Carvela Women's Trainer Peach Synthetic Jive,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-lace-up-orange-synthetic-carvela-9945491979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Peach Microsuede Lace Up Trainer, Orange","Peach Microsuede Lace Up Trainer, Orange",69.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/9/9/9945491979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,110,IN STOCK,,,Orange,,,116,TRUE,TRUE,TRUE
Carvela,8577305979,8577305979,8577305979,Carvela Women's Trainers Black Crystal Jive Lace Up,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-lace-up-black-combination-synthetic-carvela-8577305979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Croc Embossed Crystal Lace Up Trainers, Black","Black Croc Embossed Crystal Lace Up Trainers, Black",79.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/8/5/8577305979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,252,IN STOCK,,,Black,,,54,TRUE,TRUE,TRUE
Carvela,3828461979,3828461979,3828461979,Carvela Women's Trainers Gold Synthetic Diamond Zip,https://www.shoeaholics.com/women/shoes/trainers/slip-on/diamond-zip-gold-synthetic-carvela-3828461979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic Gold Lace Up Sneaker, Gold","Metallic Gold Lace Up Sneaker, Gold",69.00,129.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/3/8/3828461979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,343,IN STOCK,,,Metallic,,,30,TRUE,TRUE,TRUE
Carvela,9945460979,9945460979,9945460979,Carvela Jive Lace Up Trainer Metallic Lace Up Trainer,https://www.shoeaholics.com/women/shoes/trainers/slip-on/jive-lace-up-bronze-synthetic-carvela-9945460979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Metallic Lace Up Trainer, Bronze","Metallic Lace Up Trainer, Bronze",69.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/9/9/9945460979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,302,IN STOCK,,,Metallic,,,41,TRUE,TRUE,TRUE
Carvela,2772710979,2772710979,2772710979,Carvela Women's Trainer White Synthetic Daze Weave,https://www.shoeaholics.com/women/shoes/trainers/slip-on/daze-weave-white-synthetic-carvela-2772710979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"White Leather Trainer, White","White Leather Trainer, White",69.00,119.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/7/2772710979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,243,IN STOCK,,,White,,,56,TRUE,TRUE,TRUE
Carvela,2666305979,2666305979,2666305979,Kurt Geiger Women's Trainers Black Combination High Rise,https://www.shoeaholics.com/women/shoes/trainers/slip-on/high-rise-black-combination-synthetic-carvela-2666305979?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Black Heel Lift Trainer, Black","Black Heel Lift Trainer, Black",89.00,149.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666305979.jpg?v=1&width=800,Women > Shoes > Trainers > Slip-on,Women > Shoes > Trainers > Slip-on,11/09/2026,,FALSE,,191,IN STOCK,,,Black,,,84,TRUE,TRUE,TRUE
Carvela,2666337069,2666337069,2666337069,Carvela High Rise,https://www.shoeaholics.com/women/shoes/trainers/high-rise-taupe-combination-fabric-other-carvela-2666337069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela High Rise """", 7 Uk, Taupe","Womens Carvela High Rise """", 7 Uk, Taupe",89.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666337069.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,227,IN STOCK,,,Taupe,,,62,TRUE,TRUE,TRUE
Carvela,2666330069,2666330069,2666330069,Carvela High Rise,https://www.shoeaholics.com/women/shoes/trainers/high-rise-brown-fabric-other-carvela-2666330069?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Womens Carvela High Rise """", 6 Uk, Brown","Womens Carvela High Rise """", 6 Uk, Brown",89.00,139.00,https://kg-static-cache.s3.amazonaws.com/catalog/product/cache/thumbnail/1622x1622/2/6/2666330069.jpg?v=1&width=800,Women > Shoes > Trainers,Women > Shoes > Trainers,11/09/2026,,FALSE,,152,IN STOCK,,,Brown,,,93,TRUE,TRUE,TRUE
