prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
,gid://shopify/ProductVariant/57071798813052,5020414559180,5020414559180,novako-bag-brown,https://stevemadden.co.uk/products/novako-bag-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Novako Bag Brown is a charming handbag crafted from synthetic material that mimics a rich, brown crocodile texture. Its compact yet spacious design features a unique knotted detail on the handle, adding a playful twist to its elegant silhouette. This bag blends style and practicality, making it a versatile accessory for various occasions.

<ul>
<li>Bag Height: 130 mm</li>
<li>Bag Depth: 140 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6239130979</li>
</ul>","The Novako Bag Brown is a charming handbag crafted from synthetic material that mimics a rich, brown crocodile texture. Its compact yet spacious design features a unique knotted detail on the handle, adding a playful twist to its elegant silhouette. This bag blends style and practicality, making it a versatile accessory for various occasions.

<ul>
<li>Bag Height: 130 mm</li>
<li>Bag Depth: 140 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6239130979</li>
</ul>",110.00,110.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6239130979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,13,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57144742543740,5020414559319,5020414559319,curtis-bag-dark-grey,https://stevemadden.co.uk/products/curtis-bag-dark-grey?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Curtis Bag Dark Grey from Steve Madden is a sleek and stylish handbag that adds a touch of modern sophistication to any outfit. Crafted from synthetic material with a dark grey finish, this bag features a compact yet functional design with a distinctive shiny, crinkled texture. It is accented with the Steve Madden logo on the front and a matching chain detail that adds an edgy flair. The bag’s structured shape and dual handles make it perfect for carrying essentials in style.

<ul>
<li>Height: 250 mm</li>
<li>Width: 120 mm</li>
<li>Depth: 40 mm</li>
<li>Material: Synthetic</li>
<li>Line number: 6240621979</li>
</ul>","The Curtis Bag Dark Grey from Steve Madden is a sleek and stylish handbag that adds a touch of modern sophistication to any outfit. Crafted from synthetic material with a dark grey finish, this bag features a compact yet functional design with a distinctive shiny, crinkled texture. It is accented with the Steve Madden logo on the front and a matching chain detail that adds an edgy flair. The bag’s structured shape and dual handles make it perfect for carrying essentials in style.

<ul>
<li>Height: 250 mm</li>
<li>Width: 120 mm</li>
<li>Depth: 40 mm</li>
<li>Material: Synthetic</li>
<li>Line number: 6240621979</li>
</ul>",110.00,110.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6240621979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,10,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57144742576508,5020414559357,5020414559357,jorn-bag-dark-brown,https://stevemadden.co.uk/products/jorn-bag-dark-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Jorn Bag Dark Brown is a sleek and stylish handbag crafted from synthetic material that offers a rich dark brown colour. Its minimalist silhouette is enhanced by a distinctive strap detail featuring a gold-tone buckle, adding a touch of elegance and sophistication. Perfectly sized for everyday use, this bag combines practicality with a refined aesthetic.

<ul>
<li>Height: 280 mm</li>
<li>Width: 430 mm</li>
<li>Depth: 50 mm</li>
<li>Material: Synthetic</li>
<li>Line number: 6240931979</li>
</ul>","The Jorn Bag Dark Brown is a sleek and stylish handbag crafted from synthetic material that offers a rich dark brown colour. Its minimalist silhouette is enhanced by a distinctive strap detail featuring a gold-tone buckle, adding a touch of elegance and sophistication. Perfectly sized for everyday use, this bag combines practicality with a refined aesthetic.

<ul>
<li>Height: 280 mm</li>
<li>Width: 430 mm</li>
<li>Depth: 50 mm</li>
<li>Material: Synthetic</li>
<li>Line number: 6240931979</li>
</ul>",100.00,100.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6240931979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,16,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57144742609276,5020414559364,5020414559364,jorn-bag-dark-green,https://stevemadden.co.uk/products/jorn-bag-dark-green?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Jorn Bag Dark Green is a sleek and stylish handbag crafted from high-quality synthetic material. Its rich dark green colour adds a touch of sophistication, while the unique design features a distinctive strap with gold-tone hardware that brings an elegant finish. Perfectly sized for everyday essentials, this handbag combines practicality with a modern aesthetic.

<ul>
  <li>Height: 280 mm</li>
  <li>Width: 430 mm</li>
  <li>Depth: 50 mm</li>
  <li>Material: Synthetic</li>
  <li>Line Number: 6240971979</li>
</ul>","The Jorn Bag Dark Green is a sleek and stylish handbag crafted from high-quality synthetic material. Its rich dark green colour adds a touch of sophistication, while the unique design features a distinctive strap with gold-tone hardware that brings an elegant finish. Perfectly sized for everyday essentials, this handbag combines practicality with a modern aesthetic.

<ul>
  <li>Height: 280 mm</li>
  <li>Width: 430 mm</li>
  <li>Depth: 50 mm</li>
  <li>Material: Synthetic</li>
  <li>Line Number: 6240971979</li>
</ul>",100.00,100.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6240971979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,13,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57291730780540,5020414873224,5020414873224,showbiz-bag-wine,https://stevemadden.co.uk/products/showbiz-bag-wine?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Showbiz Bag Wine is a chic and compact handbag that brings a splash of rich colour to your ensemble. Crafted from fabric with a textured, woven pattern on the flap, this bag features a deep wine hue complemented by dark trim and a gold-tone chain strap for a touch of elegance. Its sleek silhouette offers practical dimensions, making it perfect for carrying your essentials with style.

<ul>
<li>Height: 114 mm</li>
<li>Width: 203 mm</li>
<li>Depth: 62 mm</li>
<li>Material: Fabric</li>
<li>Line number: 6418854609</li>
</ul>","The Showbiz Bag Wine is a chic and compact handbag that brings a splash of rich colour to your ensemble. Crafted from fabric with a textured, woven pattern on the flap, this bag features a deep wine hue complemented by dark trim and a gold-tone chain strap for a touch of elegance. Its sleek silhouette offers practical dimensions, making it perfect for carrying your essentials with style.

<ul>
<li>Height: 114 mm</li>
<li>Width: 203 mm</li>
<li>Depth: 62 mm</li>
<li>Material: Fabric</li>
<li>Line number: 6418854609</li>
</ul>",90.00,90.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6418854609_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,18,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57291731534204,5020414873231,5020414873231,showbiz-bag-gold,https://stevemadden.co.uk/products/showbiz-bag-gold?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Showbiz Bag Gold is a dazzling handbag that effortlessly combines elegance with a playful metallic sheen. Crafted from fabric with a synthetic texture, this bag features a captivating gold colour that catches the light beautifully. Its compact size and structured shape make it perfect for carrying essentials while adding a touch of glamour to any outfit.

<ul>
  <li>Height: 114 mm</li>
  <li>Width: 203 mm</li>
  <li>Depth: 62 mm</li>
  <li>Material: Fabric</li>
  <li>Line Number: 6418861609</li>
</ul>","The Showbiz Bag Gold is a dazzling handbag that effortlessly combines elegance with a playful metallic sheen. Crafted from fabric with a synthetic texture, this bag features a captivating gold colour that catches the light beautifully. Its compact size and structured shape make it perfect for carrying essentials while adding a touch of glamour to any outfit.

<ul>
  <li>Height: 114 mm</li>
  <li>Width: 203 mm</li>
  <li>Depth: 62 mm</li>
  <li>Material: Fabric</li>
  <li>Line Number: 6418861609</li>
</ul>",90.00,90.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6418861609_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,18,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57291731796348,5020414873255,5020414873255,heiress-bag-wine,https://stevemadden.co.uk/products/heiress-bag-wine?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Heiress Bag Wine is a stunning handbag that combines elegance with a playful touch. Crafted from synthetic material, this wine-coloured bag features a textured, shimmering exterior that adds a hint of glamour to any outfit. Its compact size is perfect for carrying essentials, while the delicate chain strap and distinctive logo charm bring a sophisticated finish to the design.

<ul>
<li>Height: 152 mm</li>
<li>Width: 239 mm</li>
<li>Depth: 25 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6419054979</li>
</ul>","The Heiress Bag Wine is a stunning handbag that combines elegance with a playful touch. Crafted from synthetic material, this wine-coloured bag features a textured, shimmering exterior that adds a hint of glamour to any outfit. Its compact size is perfect for carrying essentials, while the delicate chain strap and distinctive logo charm bring a sophisticated finish to the design.

<ul>
<li>Height: 152 mm</li>
<li>Width: 239 mm</li>
<li>Depth: 25 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6419054979</li>
</ul>",100.00,100.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6419054979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,11,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57291731829116,5020414873248,5020414873248,heiress-bag-black,https://stevemadden.co.uk/products/heiress-bag-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Heiress Bag Black dazzles with its sleek silhouette and sparkling black synthetic exterior, perfectly blending glamour with practicality. This handbag features a finely detailed, shimmering surface adorned with subtle embellishments that catch the light beautifully. Its elegant chain strap and softly gathered fabric at the back add a touch of sophistication to any outfit, making it a standout accessory for evening occasions.

<ul>
<li>Height: 152 mm</li>
<li>Width: 279 mm</li>
<li>Depth: 25 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6419000979</li>
</ul>","The Heiress Bag Black dazzles with its sleek silhouette and sparkling black synthetic exterior, perfectly blending glamour with practicality. This handbag features a finely detailed, shimmering surface adorned with subtle embellishments that catch the light beautifully. Its elegant chain strap and softly gathered fabric at the back add a touch of sophistication to any outfit, making it a standout accessory for evening occasions.

<ul>
<li>Height: 152 mm</li>
<li>Width: 279 mm</li>
<li>Depth: 25 mm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6419000979</li>
</ul>",100.00,100.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6419000979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,11,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56483802349948,5045659956747,5045659956747,tanzie-bag-dark-brown,https://stevemadden.co.uk/products/tanzie-bag-dark-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Tanzie Bag Dark Brown is a sleek and stylish handbag crafted from synthetic material that mimics the rich texture and look of suede. Its deep dark brown colour adds a classic touch, making it a versatile accessory for any outfit. The bag features a streamlined silhouette with a secure zip closure and a sturdy strap accented by elegant gold and silver-tone hardware, combining practicality with a subtle hint of luxury.

<ul>
<li>Material: Synthetic</li>
<li>Colour: Dark Brown</li>
<li>Line number: 5817731979</li>
</ul>","The Tanzie Bag Dark Brown is a sleek and stylish handbag crafted from synthetic material that mimics the rich texture and look of suede. Its deep dark brown colour adds a classic touch, making it a versatile accessory for any outfit. The bag features a streamlined silhouette with a secure zip closure and a sturdy strap accented by elegant gold and silver-tone hardware, combining practicality with a subtle hint of luxury.

<ul>
<li>Material: Synthetic</li>
<li>Colour: Dark Brown</li>
<li>Line number: 5817731979</li>
</ul>",70.00,70.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5817731979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,6,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56295910343036,5045659884118,5045659884118,taiga-bag-blue,https://stevemadden.co.uk/products/taiga-bag-blue?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Taiga Bag Blue is a stylish handbag crafted from durable synthetic material, showcasing a soft blue hue that adds a touch of elegance to any outfit. Its sleek design features a distinctive logo detail on the front flap and comes with both a slim shoulder strap and a wider adjustable strap for versatile carrying options.<ul>
<li>Material: Synthetic</li>
<li>Colour: Blue</li>
<li>Line number: 5793380979</li>
</ul>","The Taiga Bag Blue is a stylish handbag crafted from durable synthetic material, showcasing a soft blue hue that adds a touch of elegance to any outfit. Its sleek design features a distinctive logo detail on the front flap and comes with both a slim shoulder strap and a wider adjustable strap for versatile carrying options.<ul>
<li>Material: Synthetic</li>
<li>Colour: Blue</li>
<li>Line number: 5793380979</li>
</ul>",80.00,80.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5793380979_20.jpg?width=800,HANDBAGS,HANDBAGS,,,,,3,,,,,,,,TRUE,TRUE
