prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6657692205189,6657692205189,6657692205189,Steve Madden Women's Evelyn Bag - Black - Synthetic,https://www.stevemadden.com/products/dt618175-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Clever interior organization and a matching modular zip pouch give the compact EVELYN BAG surprisingly roomy storage. Reinforced edges, structured side gussets, and custom hardware add to the substantial look and feel of this top-handle design. Structured top handle bag 2 gusseted compartments Top zipper compartment with interior zipper pocket Top flap compartment with snap closure Custom branded hardware at front Oversized O-ring top handle hardware Detachable zipper pouch Detachable adjustable branded webbing crossbody strap Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Top handle strap: 2.25 inches Crossbody strap: 23 inches 7.25in H x 9.25in W x 4.5in D Synthetic materials Imported Steve Madden EVELYN BAG BLACK | One Size | Steve Madden Women's Evelyn Bag - Black - Synthetic","Clever interior organization and a matching modular zip pouch give the compact EVELYN BAG surprisingly roomy storage. Reinforced edges, structured side gussets, and custom hardware add to the substantial look and feel of this top-handle design. Structured top handle bag 2 gusseted compartments Top zipper compartment with interior zipper pocket Top flap compartment with snap closure Custom branded hardware at front Oversized O-ring top handle hardware Detachable zipper pouch Detachable adjustable branded webbing crossbody strap Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Top handle strap: 2.25 inches Crossbody strap: 23 inches 7.25in H x 9.25in W x 4.5in D Synthetic materials Imported Steve Madden EVELYN BAG BLACK | One Size | Steve Madden Women's Evelyn Bag - Black - Synthetic",88.00,88.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_DT618175_BLACK_01.jpg,Accessories > Top Handle Bags,Accessories > Top Handle Bags,23/09/2026,,FALSE,39673243369605,,IN STOCK,,One Size,Black,,,1,TRUE,TRUE,FALSE
Steve Madden,6849386446981,6849386446981,6849386446981,Steve Madden Women's Tiki Bag - Natural - Synthetic,https://www.stevemadden.com/products/btiki-natural?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,BOHO + FRESH + CUTE The TIKI wristlet features a slouchy construction with round beads individually stitched to the exterior in an allover design for a unique beachy nature-inspired look. Beaded wristlet bag Top zipper closure Shoulder bag strap 12 inches 6in H x 13in W x 3.5 D Synthetic materials Duster bag included Imported Steve Madden TIKI BAG NATURAL | One Size | Steve Madden Women's Tiki Bag - Natural - Synthetic,BOHO + FRESH + CUTE The TIKI wristlet features a slouchy construction with round beads individually stitched to the exterior in an allover design for a unique beachy nature-inspired look. Beaded wristlet bag Top zipper closure Shoulder bag strap 12 inches 6in H x 13in W x 3.5 D Synthetic materials Duster bag included Imported Steve Madden TIKI BAG NATURAL | One Size | Steve Madden Women's Tiki Bag - Natural - Synthetic,44.99,78.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BTIKI_NATURAL-1.jpg,Accessories > Clutches,Accessories > Clutches,23/09/2026,,FALSE,40293115134085,,IN STOCK,,One Size,Natural,,,2,TRUE,TRUE,TRUE
Steve Madden,6943379751045,6943379751045,6943379751045,Steve Madden Women's Lohan Bag - Black - Synthetic,https://www.stevemadden.com/products/blohan-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The LOHAN bag is a structured crescent hobo shoulder bag that features a distinctive statement hardware piece, elevating its stylish appeal. Designed for both function and fashion, it includes two front zip compartments and an interior back wall pocket, offering organized storage for essentials. Its shape and sturdy construction ensure it maintains form while providing comfortable shoulder carry, making it a versatile accessory for refined everyday wear. Structured shoulder bag Statement two-tone hardware piece Interior back wall Fits more than the essentials, including a phone, a full-size wallet, headphones, a makeup pouch, and sunglasses Shoulder strap: 9 inches 8in H x 9in W x 3in D Synthetic materials Duster bag included Imported Steve Madden LOHAN BAG BLACK | One Size | Steve Madden Women's Lohan Bag - Black - Synthetic","The LOHAN bag is a structured crescent hobo shoulder bag that features a distinctive statement hardware piece, elevating its stylish appeal. Designed for both function and fashion, it includes two front zip compartments and an interior back wall pocket, offering organized storage for essentials. Its shape and sturdy construction ensure it maintains form while providing comfortable shoulder carry, making it a versatile accessory for refined everyday wear. Structured shoulder bag Statement two-tone hardware piece Interior back wall Fits more than the essentials, including a phone, a full-size wallet, headphones, a makeup pouch, and sunglasses Shoulder strap: 9 inches 8in H x 9in W x 3in D Synthetic materials Duster bag included Imported Steve Madden LOHAN BAG BLACK | One Size | Steve Madden Women's Lohan Bag - Black - Synthetic",84.00,84.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BLOHAN_BLACK_01.jpg,Accessories > Shoulder Bags,Accessories > Shoulder Bags,23/09/2026,,FALSE,40586069704837,,IN STOCK,,One Size,Black,,,3,TRUE,TRUE,FALSE
Steve Madden,6943379783813,6943379783813,6943379783813,Steve Madden Women's Lohan Bag - Sand - Synthetic,https://www.stevemadden.com/products/blohan-sand?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The LLOHAN BAG SAND is a structured crescent hobo shoulder bag that features a distinctive statement hardware piece, elevating its stylish appeal. Designed for both function and fashion, it includes two front zip compartments and an interior back wall pocket, offering organized storage for essentials. Its shape and sturdy construction ensure it maintains form while providing comfortable shoulder carry, making it a versatile accessory for refined everyday wear. Structured shoulder bag Statement two-tone hardware piece Interior back wall Fits more than the essentials, including a phone, a full-size wallet, headphones, a makeup pouch, and sunglasses Shoulder strap: 9 inches 8in H x 9in W x 3in D Synthetic materials Duster bag included Imported Steve Madden LOHAN BAG SAND | One Size | Steve Madden Women's Lohan Bag - Sand - Synthetic","The LLOHAN BAG SAND is a structured crescent hobo shoulder bag that features a distinctive statement hardware piece, elevating its stylish appeal. Designed for both function and fashion, it includes two front zip compartments and an interior back wall pocket, offering organized storage for essentials. Its shape and sturdy construction ensure it maintains form while providing comfortable shoulder carry, making it a versatile accessory for refined everyday wear. Structured shoulder bag Statement two-tone hardware piece Interior back wall Fits more than the essentials, including a phone, a full-size wallet, headphones, a makeup pouch, and sunglasses Shoulder strap: 9 inches 8in H x 9in W x 3in D Synthetic materials Duster bag included Imported Steve Madden LOHAN BAG SAND | One Size | Steve Madden Women's Lohan Bag - Sand - Synthetic",59.99,84.00,https://cdn.shopify.com/s/files/1/2170/8465/files/SM_HANDBAGS_BLOHAN_SAND_02.jpg,Accessories > Shoulder Bags,Accessories > Shoulder Bags,23/09/2026,,FALSE,40586069737605,,IN STOCK,,One Size,Sand,,,4,TRUE,TRUE,TRUE
Steve Madden,7050998841477,7050998841477,7050998841477,Steve Madden Women's Makia Bag - Black - Synthetic,https://www.stevemadden.com/products/bmakia-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"This MAKIA bag is a stylish and functional accessory for any occasion. The crystal rhinestone shoulder strap adds a touch of glamour, while the additional pocket with zipper closure provides secure storage. The curb chain bag charm with a padlock charm and textured key tag charms gives the bag a unique and trendy look. Stay organized and chic with this must-have net bag. Shoulder strap net tote bag Crystal rhinestone shoulder straps Curb chain bag charm Shoulder strap: 8 inches 11.5in H x 10.75in W x 2in D Synthetic materials with stones Duster bag included Imported Steve Madden MAKIA BAG BLACK | One Size | Steve Madden Women's Makia Bag - Black - Synthetic","This MAKIA bag is a stylish and functional accessory for any occasion. The crystal rhinestone shoulder strap adds a touch of glamour, while the additional pocket with zipper closure provides secure storage. The curb chain bag charm with a padlock charm and textured key tag charms gives the bag a unique and trendy look. Stay organized and chic with this must-have net bag. Shoulder strap net tote bag Crystal rhinestone shoulder straps Curb chain bag charm Shoulder strap: 8 inches 11.5in H x 10.75in W x 2in D Synthetic materials with stones Duster bag included Imported Steve Madden MAKIA BAG BLACK | One Size | Steve Madden Women's Makia Bag - Black - Synthetic",49.99,139.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BMAKIA_BLACK.jpg,Accessories > Totes,Accessories > Totes,23/09/2026,,FALSE,40852384579717,,IN STOCK,,One Size,Black,,,5,TRUE,TRUE,TRUE
Steve Madden,7068440100997,7068440100997,7068440100997,Steve Madden Women's Riggs Bag - Banana - Leather,https://www.stevemadden.com/products/briggs-banana-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted with a slouchy satchel design, this RIGGS bag is a top-handle bag that combines style and function. Featuring dome stud details and knotted fringe decals on a gusset with rounded bottom metal aglets, it also comes with an attachable crossbody strap for versatile wear-a must-have for any fashion-forward wardrobe. Slouchy satchel bag with front slip phone pocket Top-handle straps Top zipper closure Braided bag charm Removable and adjustable crossbody strap Fits more than the essentials, including a phone, full-size wallet, headphones, makeup pouch, and sunglasses Top-handle strap: 3 inches Crossbody strap: 24 inches 7.8in H x 11.75in W x 4in D Synthetic materials Duster bag included Imported Steve Madden RIGGS BAG BANANA | Banana Leather | One Size | Steve Madden Women's Riggs Bag - Banana - Leather","Expertly crafted with a slouchy satchel design, this RIGGS bag is a top-handle bag that combines style and function. Featuring dome stud details and knotted fringe decals on a gusset with rounded bottom metal aglets, it also comes with an attachable crossbody strap for versatile wear-a must-have for any fashion-forward wardrobe. Slouchy satchel bag with front slip phone pocket Top-handle straps Top zipper closure Braided bag charm Removable and adjustable crossbody strap Fits more than the essentials, including a phone, full-size wallet, headphones, makeup pouch, and sunglasses Top-handle strap: 3 inches Crossbody strap: 24 inches 7.8in H x 11.75in W x 4in D Synthetic materials Duster bag included Imported Steve Madden RIGGS BAG BANANA | Banana Leather | One Size | Steve Madden Women's Riggs Bag - Banana - Leather",99.00,99.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BRIGGS_BANANA_01_0d534b39-1c46-4255-8fe7-3fa945de8ec9.jpg,Accessories > Crossbody Bags,Accessories > Crossbody Bags,23/09/2026,,FALSE,40942759772293,,IN STOCK,,One Size,Banana,,,6,TRUE,TRUE,FALSE
Steve Madden,7092742127749,7092742127749,7092742127749,Steve Madden Women's Juliana Bag - Black - Synthetic,https://www.stevemadden.com/products/bjuliana-black-patent?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BLACK PATENT | One Size | Steve Madden Women's Juliana Bag - Black - Synthetic","Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BLACK PATENT | One Size | Steve Madden Women's Juliana Bag - Black - Synthetic",39.99,69.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BJULIANA_BLACK-PATENT.jpg,Accessories > Clutches,Accessories > Clutches,23/09/2026,,FALSE,41049044975749,,IN STOCK,,One Size,Black,,,7,TRUE,TRUE,TRUE
Steve Madden,7092742160517,7092742160517,7092742160517,Steve Madden Women's Juliana Bag - Blush - Synthetic,https://www.stevemadden.com/products/bjuliana-blush-patent?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BLUSH PATENT | One Size | Steve Madden Women's Juliana Bag - Blush - Synthetic","Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BLUSH PATENT | One Size | Steve Madden Women's Juliana Bag - Blush - Synthetic",69.00,69.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BJULIANA_BLUSH-PATENT_374fdc2c-6bd3-45ca-b77e-718eb2d2c809.jpg,Accessories > Clutches,Accessories > Clutches,23/09/2026,,FALSE,41049045041285,,IN STOCK,,One Size,Blush,,,8,TRUE,TRUE,FALSE
Steve Madden,7092742193285,7092742193285,7092742193285,Steve Madden Women's Juliana Bag - Bronze - Synthetic,https://www.stevemadden.com/products/bjuliana-bronze?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BRONZE | One Size | Steve Madden Women's Juliana Bag - Bronze - Synthetic","Expertly crafted and versatile, the JULIANA bag is a wardrobe staple. The clutch design offers convenience and style, with a magnetic snap closure and removable crossbody chain strap. Its interior back wall slip pocket holds credit cards and valuables, making it perfect for any occasion. Clutch handbag with chain crossbody strap Mag snap closure Interior back-wall slip pocket Fits daily essentials, including a phone, small wallet, keys, small headphones, and compact makeup Removable chain crossbody strap Crossbody strap: 23-24 inches 5.5in H x 10in W x 1.25in D Synthetic materials Duster bag included Imported Steve Madden JULIANA BAG BRONZE | One Size | Steve Madden Women's Juliana Bag - Bronze - Synthetic",69.00,69.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_BJULIANA_BRONZE.jpg,Accessories > Clutches,Accessories > Clutches,23/09/2026,,FALSE,41049045074053,,IN STOCK,,One Size,Bronze,,,9,TRUE,TRUE,FALSE
Steve Madden,7144452882565,7144452882565,7144452882565,Steve Madden Women's Moore Bag - Chocolate - Synthetic,https://www.stevemadden.com/products/dt626535-chocolate?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The MOORE BAG CHOCOLATE combines sophisticated design with practical versatility. This top handle bag features an attachable crossbody strap, allowing you to transition seamlessly between hand-carry and shoulder wear. Customize your look with included bag charms that add personality, and utilize the attachable mini pouch for organizing smaller essentials. Expertly crafted for the modern professional who values both style and functionality. Top handle bag with crossbody strap Attachable mini pouch Mag snap closure Heart bag charm Fits more than the essentials, including a phone, full-size wallet, headphones, makeup pouch, and sunglasses Top handle strap: 4 inches Crossbody strap: 23 inches 6.75in H x 10in W x 5in D Synthetic materials Imported Steve Madden MOORE BAG CHOCOLATE | One Size | Steve Madden Women's Moore Bag - Chocolate - Synthetic","The MOORE BAG CHOCOLATE combines sophisticated design with practical versatility. This top handle bag features an attachable crossbody strap, allowing you to transition seamlessly between hand-carry and shoulder wear. Customize your look with included bag charms that add personality, and utilize the attachable mini pouch for organizing smaller essentials. Expertly crafted for the modern professional who values both style and functionality. Top handle bag with crossbody strap Attachable mini pouch Mag snap closure Heart bag charm Fits more than the essentials, including a phone, full-size wallet, headphones, makeup pouch, and sunglasses Top handle strap: 4 inches Crossbody strap: 23 inches 6.75in H x 10in W x 5in D Synthetic materials Imported Steve Madden MOORE BAG CHOCOLATE | One Size | Steve Madden Women's Moore Bag - Chocolate - Synthetic",98.00,98.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_HANDBAGS_DT626535_CHOCOLATE_01.jpg,Accessories > Top Handle Bags,Accessories > Top Handle Bags,23/09/2026,,FALSE,41191327629445,,IN STOCK,,One Size,Chocolate,,,21,TRUE,TRUE,FALSE
