prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
,gid://shopify/ProductVariant/56639092326780,5020414179654,5020414179654,aziel-beige,https://stevemadden.co.uk/products/aziel-beige?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Aziel Beige sneaker blends casual comfort with a chic edge, crafted from soft beige suede that adds a touch of sophistication to your everyday look. Featuring a no-heel design, this sneaker offers effortless wearability, while the dual-tone laces bring a playful contrast. The premium cow suede material ensures durability and a luxurious feel, making it a stylish staple for any wardrobe.

<ul>
  <li>Heel Height: No Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 5721640209</li>
</ul>","The Aziel Beige sneaker blends casual comfort with a chic edge, crafted from soft beige suede that adds a touch of sophistication to your everyday look. Featuring a no-heel design, this sneaker offers effortless wearability, while the dual-tone laces bring a playful contrast. The premium cow suede material ensures durability and a luxurious feel, making it a stylish staple for any wardrobe.

<ul>
  <li>Heel Height: No Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 5721640209</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5721640209_20.jpg?width=800,,,,,,,39,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56639109824892,5020414375629,5020414375629,aziel-taupe-charm,https://stevemadden.co.uk/products/aziel-taupe-charm?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Aziel Taupe Charm sneaker blends casual comfort with a playful twist. Crafted from soft taupe suede, this sneaker features a unique double-lace design with contrasting brown and white-red striped laces, accented by colourful beads that add a charming detail to its laid-back style. Its low heel ensures ease of movement, making it a versatile addition to any sneaker collection.<ul>
<li>Material: Suede</li>
<li>Line Number: 6076947209</li>
</ul>","The Aziel Taupe Charm sneaker blends casual comfort with a playful twist. Crafted from soft taupe suede, this sneaker features a unique double-lace design with contrasting brown and white-red striped laces, accented by colourful beads that add a charming detail to its laid-back style. Its low heel ensures ease of movement, making it a versatile addition to any sneaker collection.<ul>
<li>Material: Suede</li>
<li>Line Number: 6076947209</li>
</ul>",150.00,150.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6076947209_20.jpg?width=800,,,,,,,92,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56666829554044,5020414546968,5020414546968,carin-black-leather,https://stevemadden.co.uk/products/carin-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Carin Black Leather slippers offer a distinctive twist on classic comfort with their unique split-toe design. Crafted from smooth black cow leather, these slippers combine elegance with an unconventional edge, making them a standout piece in any collection. Their sleek silhouette is complemented by a subtle bow detail, adding a touch of femininity to the bold style.<ul>
<li>Material: Leather</li>
<li>Line Number: 6232500109</li>
</ul>","The Carin Black Leather slippers offer a distinctive twist on classic comfort with their unique split-toe design. Crafted from smooth black cow leather, these slippers combine elegance with an unconventional edge, making them a standout piece in any collection. Their sleek silhouette is complemented by a subtle bow detail, adding a touch of femininity to the bold style.<ul>
<li>Material: Leather</li>
<li>Line Number: 6232500109</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6232500109_20.jpg?width=800,,,,,,,141,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56666829816188,5020414558930,5020414558930,calico-mesh-black,https://stevemadden.co.uk/products/calico-mesh-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Calico Mesh Black slipper blends casual comfort with a distinctive design twist. Crafted with a breathable black fabric mesh, it offers a modern take on a classic slipper silhouette. The unique split-toe detail adds an unexpected edge, while the cow leather trim provides subtle sophistication. With no heel, this slipper promises easy wearability, perfect for relaxed days at home or casual outings.<ul>
<li>Material: Fabric</li>
<li>Line Number: 6233400609</li>
</ul>","The Calico Mesh Black slipper blends casual comfort with a distinctive design twist. Crafted with a breathable black fabric mesh, it offers a modern take on a classic slipper silhouette. The unique split-toe detail adds an unexpected edge, while the cow leather trim provides subtle sophistication. With no heel, this slipper promises easy wearability, perfect for relaxed days at home or casual outings.<ul>
<li>Material: Fabric</li>
<li>Line Number: 6233400609</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6233400609_20.jpg?width=800,,,,,,,550,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56666830143868,5020414547460,5020414547460,calico-mesh-bone,https://stevemadden.co.uk/products/calico-mesh-bone?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Calico Mesh Bone slipper is a stylish and breathable choice for comfort at home. Crafted from synthetic fabric in a crisp white shade, this slipper features a unique mesh design that adds a playful texture while allowing your feet to stay cool. The slip-on style offers ease of wear, and the flat sole ensures a relaxed fit without any heel height.<ul>
  <li>Material: Fabric</li>
  <li>Line Number: 6233410609</li>
</ul>","The Calico Mesh Bone slipper is a stylish and breathable choice for comfort at home. Crafted from synthetic fabric in a crisp white shade, this slipper features a unique mesh design that adds a playful texture while allowing your feet to stay cool. The slip-on style offers ease of wear, and the flat sole ensures a relaxed fit without any heel height.<ul>
  <li>Material: Fabric</li>
  <li>Line Number: 6233410609</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6233410609_20.jpg?width=800,,,,,,,278,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56666830406012,5020414547545,5020414547545,caro-black,https://stevemadden.co.uk/products/caro-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Caro Black ankle boots bring a sleek and modern twist to classic leather footwear. Crafted from smooth black cow leather, these boots feature a distinctive split toe design that adds a playful edge to their minimalist silhouette. The sturdy 75 mm heel offers both height and stability, making them a versatile choice for day-to-night wear.

<ul>
<li>Heel Height: 75 mm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6233700109</li>
</ul>","The Caro Black ankle boots bring a sleek and modern twist to classic leather footwear. Crafted from smooth black cow leather, these boots feature a distinctive split toe design that adds a playful edge to their minimalist silhouette. The sturdy 75 mm heel offers both height and stability, making them a versatile choice for day-to-night wear.

<ul>
<li>Heel Height: 75 mm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6233700109</li>
</ul>",180.00,180.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6233700109_20.jpg?width=800,,,,,,,66,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56666830668156,5020414547705,5020414547705,cyra-black-leather,https://stevemadden.co.uk/products/cyra-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Cyra Black Leather slippers blend classic elegance with a modern twist, featuring a distinctive split toe design crafted from smooth black cow leather. These slippers offer a comfortable 3cm heel, making them perfect for all-day wear while adding a subtle lift. The soft leather material ensures a luxurious feel, complemented by a neat bow detail at the front for a touch of feminine charm.

<ul>
  <li>Heel Height: 3cm Heel</li>
<li>Fits small to size. We recommend sizing up. </li>
  <li>Material: Leather</li>
  <li>Line Number: 6234300109</li>
</ul>","The Cyra Black Leather slippers blend classic elegance with a modern twist, featuring a distinctive split toe design crafted from smooth black cow leather. These slippers offer a comfortable 3cm heel, making them perfect for all-day wear while adding a subtle lift. The soft leather material ensures a luxurious feel, complemented by a neat bow detail at the front for a touch of feminine charm.

<ul>
  <li>Heel Height: 3cm Heel</li>
<li>Fits small to size. We recommend sizing up. </li>
  <li>Material: Leather</li>
  <li>Line Number: 6234300109</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6234300109_20.jpg?width=800,,,,,,,246,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56695199039868,5020414388575,5020414388575,kendrix-dark-brown,https://stevemadden.co.uk/products/kendrix-dark-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The KENDRIX 207 is a sleek and stylish casual mule crafted from rich dark brown leather. Featuring a smooth, glossy finish and an open toe design, this shoe combines understated elegance with everyday comfort. Its 6cm heel offers a perfect balance of height and wearability, making it a versatile addition to any wardrobe.

<ul>
  <li>Heel Height: 6cm Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 5946931019</li>
</ul>","The KENDRIX 207 is a sleek and stylish casual mule crafted from rich dark brown leather. Featuring a smooth, glossy finish and an open toe design, this shoe combines understated elegance with everyday comfort. Its 6cm heel offers a perfect balance of height and wearability, making it a versatile addition to any wardrobe.

<ul>
  <li>Heel Height: 6cm Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 5946931019</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5946931019_20.jpg?width=800,,,,,,,95,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56699777220988,5020414735737,5020414735737,davina-black,https://stevemadden.co.uk/products/davina-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Davina Black is a sleek and stylish casual heel designed to elevate any outfit. Featuring a striking 120 mm stiletto heel, this shoe boasts a glossy black synthetic finish that combines elegance with modern flair. Its minimalist design highlights a single wide strap across the front, offering both comfort and sophistication.

<ul>
<li>Heel Height: 120 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6339600979</li>
</ul>","The Davina Black is a sleek and stylish casual heel designed to elevate any outfit. Featuring a striking 120 mm stiletto heel, this shoe boasts a glossy black synthetic finish that combines elegance with modern flair. Its minimalist design highlights a single wide strap across the front, offering both comfort and sophistication.

<ul>
<li>Heel Height: 120 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6339600979</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6339600979_20.jpg?width=800,,,,,,,63,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56699777941884,5020414743459,5020414743459,davina-beige,https://stevemadden.co.uk/products/davina-beige?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step out in style with the Davina Beige, a sleek casual mule that brings a touch of sophistication to any outfit. Crafted from smooth synthetic material in a versatile tan shade, this shoe features a striking 120 mm heel that adds height and elegance. The minimalist design with a single wide strap ensures comfort while making a chic statement.

<ul>
<li>Heel Height: 120 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6339633979</li>
</ul>","Step out in style with the Davina Beige, a sleek casual mule that brings a touch of sophistication to any outfit. Crafted from smooth synthetic material in a versatile tan shade, this shoe features a striking 120 mm heel that adds height and elegance. The minimalist design with a single wide strap ensures comfort while making a chic statement.

<ul>
<li>Heel Height: 120 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6339633979</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6339633979_20.jpg?width=800,,,,,,,1,,,,,,,,TRUE,TRUE
