prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
,gid://shopify/ProductVariant/56761453019516,5020414631633,5020414631633,bozeman-brown,https://stevemadden.co.uk/products/bozeman-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Bozeman Brown high leg boots bring a touch of rustic charm with their rich taupe suede finish. Crafted from soft cow suede, these boots feature a slouchy silhouette accented by a subtle buckle strap detail, adding a hint of rugged elegance. The 60 mm stacked heel offers just the right lift to elevate your look while maintaining comfort for everyday wear.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Suede</li>
<li>Line Number: 6287747209</li>
</ul>","The Bozeman Brown high leg boots bring a touch of rustic charm with their rich taupe suede finish. Crafted from soft cow suede, these boots feature a slouchy silhouette accented by a subtle buckle strap detail, adding a hint of rugged elegance. The 60 mm stacked heel offers just the right lift to elevate your look while maintaining comfort for everyday wear.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Suede</li>
<li>Line Number: 6287747209</li>
</ul>",250.00,250.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6287747209_20.jpg?width=800,High Leg Boots,High Leg Boots,,,,,14,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56774569623932,5020414560780,5020414560780,rylix-brown-snakeprint,https://stevemadden.co.uk/products/rylix-brown-snakeprint?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Rylix Brown Snakeprint ankle boots bring a bold statement with their dark brown leather crafted in a striking snakeprint design. Featuring a distinctive 100 mm heel that adds height and elegance, these boots combine luxury with an edgy, contemporary flair.

<ul>
  <li>Heel Height: 100 mm Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 6229331109</li>
</ul>","The Rylix Brown Snakeprint ankle boots bring a bold statement with their dark brown leather crafted in a striking snakeprint design. Featuring a distinctive 100 mm heel that adds height and elegance, these boots combine luxury with an edgy, contemporary flair.

<ul>
  <li>Heel Height: 100 mm Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 6229331109</li>
</ul>",190.00,190.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6229331109_20.jpg?width=800,Ankle Boots,Ankle Boots,,,,,16,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56774570115452,5020414560711,5020414560711,rylix-taupe,https://stevemadden.co.uk/products/rylix-taupe?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Rylix Taupe ankle boots showcase a chic and modern silhouette crafted from soft taupe suede. Featuring a distinctive sculpted heel, these boots blend contemporary design with luxurious cow suede material for a sophisticated finish. The open-toe detail adds a playful touch, making them a versatile addition to any wardrobe.

<ul>
  <li>Heel Height: 100 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 6229347209</li>
</ul>","The Rylix Taupe ankle boots showcase a chic and modern silhouette crafted from soft taupe suede. Featuring a distinctive sculpted heel, these boots blend contemporary design with luxurious cow suede material for a sophisticated finish. The open-toe detail adds a playful touch, making them a versatile addition to any wardrobe.

<ul>
  <li>Heel Height: 100 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 6229347209</li>
</ul>",190.00,190.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6229347209_20.jpg?width=800,Ankle Boots,Ankle Boots,,,,,4,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56791750279548,5020414384973,5020414384973,hadly-brown,https://stevemadden.co.uk/products/hadly-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Hadly Brown ankle boots bring a touch of Western-inspired flair with their rich dark brown suede finish. Crafted from premium cow suede, these boots feature playful fringed detailing along the side and two elegant buckle straps that add character and charm. The pointed toe and sturdy block heel provide a perfect blend of style and comfort, making them a versatile choice for elevating your wardrobe.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Suede</li>
<li>Line Number: 6080631209</li>
</ul>","The Hadly Brown ankle boots bring a touch of Western-inspired flair with their rich dark brown suede finish. Crafted from premium cow suede, these boots feature playful fringed detailing along the side and two elegant buckle straps that add character and charm. The pointed toe and sturdy block heel provide a perfect blend of style and comfort, making them a versatile choice for elevating your wardrobe.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Suede</li>
<li>Line Number: 6080631209</li>
</ul>",240.00,240.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6080631209_20.jpg?width=800,Ankle Boots,Ankle Boots,,,,,11,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56796376727932,5020414250605,5020414250605,dorado-taupe-suede,https://stevemadden.co.uk/products/dorado-taupe-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The DORADO 275 is a stylish and elegant shoe crafted in soft taupe suede, offering a refined look with a touch of natural charm. Its sophisticated design is complemented by a comfortable heel that adds just the right amount of lift, making it perfect for both casual and dressy occasions.

<ul>
<li>Heel Height: 13</li>
<li>Material: Suede</li>
<li>Line Number: 6015547209</li>
</ul>","The DORADO 275 is a stylish and elegant shoe crafted in soft taupe suede, offering a refined look with a touch of natural charm. Its sophisticated design is complemented by a comfortable heel that adds just the right amount of lift, making it perfect for both casual and dressy occasions.

<ul>
<li>Heel Height: 13</li>
<li>Material: Suede</li>
<li>Line Number: 6015547209</li>
</ul>",139.00,139.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6015547209_20.jpg?width=800,Boots,Boots,,,,,27,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840871641468,5045658725931,5045658725931,streamline-boot-black-2,https://stevemadden.co.uk/products/streamline-boot-black-2?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The STREAMLINE 001 high leg boots bring a sleek, bold edge to any outfit with their striking black leather construction. Crafted from premium cow leather, these boots feature a low heel for comfortable wear and are detailed with silver stud embellishments that trace the contours of the shaft and toe, adding a touch of rebellious charm to their classic silhouette.<ul>
<li>Material: Leather</li>
<li>Line Number: 5146000019</li>
</ul>","The STREAMLINE 001 high leg boots bring a sleek, bold edge to any outfit with their striking black leather construction. Crafted from premium cow leather, these boots feature a low heel for comfortable wear and are detailed with silver stud embellishments that trace the contours of the shaft and toe, adding a touch of rebellious charm to their classic silhouette.<ul>
<li>Material: Leather</li>
<li>Line Number: 5146000019</li>
</ul>",220.00,220.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5146000019_20.jpg?width=800,High Leg Boots,High Leg Boots,,,,,106,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840872165756,5045658725702,5045658725702,streamline-boot-tan,https://stevemadden.co.uk/products/streamline-boot-tan?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The STREAMLINE 580 high leg boots bring a touch of rustic charm with their tan leather finish. Crafted from quality leather, these boots feature distinctive stud detailing that adds a playful yet edgy vibe. Their classic silhouette is elevated by a modest heel, making them a versatile choice for both casual and dressier occasions.

<ul>
<li>Material: Leather</li>
<li>Line Number: 5146033019</li>
</ul>","The STREAMLINE 580 high leg boots bring a touch of rustic charm with their tan leather finish. Crafted from quality leather, these boots feature distinctive stud detailing that adds a playful yet edgy vibe. Their classic silhouette is elevated by a modest heel, making them a versatile choice for both casual and dressier occasions.

<ul>
<li>Material: Leather</li>
<li>Line Number: 5146033019</li>
</ul>",220.00,220.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5146033019_20.jpg?width=800,High Leg Boots,High Leg Boots,,,,,20,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840881078652,5020414413376,5020414413376,next-step-ankle-boot-black,https://stevemadden.co.uk/products/next-step-ankle-boot-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Next Step Ankle Boot Black is a sleek and stylish ankle boot crafted from high-quality synthetic material. Featuring a chic black combination colour, this boot offers a modern silhouette with a pointed toe and a comfortable 60 mm block heel that adds both height and stability. Perfectly blending fashion and function, it’s a versatile addition to any footwear collection.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6110905979</li>
</ul>","The Next Step Ankle Boot Black is a sleek and stylish ankle boot crafted from high-quality synthetic material. Featuring a chic black combination colour, this boot offers a modern silhouette with a pointed toe and a comfortable 60 mm block heel that adds both height and stability. Perfectly blending fashion and function, it’s a versatile addition to any footwear collection.

<ul>
<li>Heel Height: 60 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6110905979</li>
</ul>",59.00,59.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6110905979_20.jpg?width=800,Ankle Boots,Ankle Boots,,,,,50,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840883896700,5045658713693,5045658713693,dusty-boot-brown,https://stevemadden.co.uk/products/dusty-boot-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"<p>The DUSTY ankle bootie features a sleek square-toe design. Its timeless style and sturdy construction make it the perfect addition to any wardrobe. Step out in style and comfort with these expertly crafted boots.</p>
<ul>
<li>1.5 inch heel height</li>
<li>10 inch shaft circumference </li>
<li>6.25 inch shaft height</li>
<li>Suede upper material</li>
<li>Textile and synthetic lining</li>
<li>Synthetic sock</li>
<li>Synthetic sole</li>
<li>Imported</li>
<li>Style number: 5125131209</li>
</ul>","<p>The DUSTY ankle bootie features a sleek square-toe design. Its timeless style and sturdy construction make it the perfect addition to any wardrobe. Step out in style and comfort with these expertly crafted boots.</p>
<ul>
<li>1.5 inch heel height</li>
<li>10 inch shaft circumference </li>
<li>6.25 inch shaft height</li>
<li>Suede upper material</li>
<li>Textile and synthetic lining</li>
<li>Synthetic sock</li>
<li>Synthetic sole</li>
<li>Imported</li>
<li>Style number: 5125131209</li>
</ul>",180.00,180.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5125131209_20.jpg?width=800,Ankle Boots,Ankle Boots,,,,,9,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840892219772,5020414400192,5020414400192,beau-boot-black,https://stevemadden.co.uk/products/beau-boot-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Beau Boot Black is a sleek and stylish boot crafted from synthetic material, offering a smooth black finish that pairs perfectly with any outfit. Featuring a sturdy 50 mm heel, this boot combines both comfort and a touch of elegance. The design includes bold buckle details at the top and around the ankle, adding a hint of edgy sophistication to its classic silhouette.

<ul>
<li>Heel Height: 50 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6090400979</li>
</ul>","The Beau Boot Black is a sleek and stylish boot crafted from synthetic material, offering a smooth black finish that pairs perfectly with any outfit. Featuring a sturdy 50 mm heel, this boot combines both comfort and a touch of elegance. The design includes bold buckle details at the top and around the ankle, adding a hint of edgy sophistication to its classic silhouette.

<ul>
<li>Heel Height: 50 mm Heel</li>
<li>Material: Synthetic</li>
<li>Line Number: 6090400979</li>
</ul>",159.00,159.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6090400979_20.jpg?width=800,BOOTS,BOOTS,,,,,18,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56962294841724,5020414687715,5020414687715,riggs-black-suede,https://stevemadden.co.uk/products/riggs-black-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Riggs Black Suede high leg boots offer a sleek and sophisticated look with their rich black suede material. Crafted from cow suede, these boots combine durability with a soft, luxurious feel. The 45 mm heel provides a comfortable lift, making them perfect for adding a touch of elegance to any outfit.

<ul>
  <li>45 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 5719800209</li>
</ul>","The Riggs Black Suede high leg boots offer a sleek and sophisticated look with their rich black suede material. Crafted from cow suede, these boots combine durability with a soft, luxurious feel. The 45 mm heel provides a comfortable lift, making them perfect for adding a touch of elegance to any outfit.

<ul>
  <li>45 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 5719800209</li>
</ul>",190.00,190.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5719800209_20.jpg?width=800,High Leg Boots,High Leg Boots,,,,,104,,,,,,,,TRUE,TRUE
