prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
,gid://shopify/ProductVariant/56779302175100,5020414546722,5020414546722,loved-leopard-print,https://stevemadden.co.uk/products/loved-leopard-print?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into style with the Loved Leopard Print slippers, featuring a bold brown leopard pattern crafted from luxurious leather. These slippers combine playful animal print with a sleek slingback design, finished with a delicate bow for a charming touch. The 40 mm heel adds just the right amount of lift, making them perfect for both casual days and dressier occasions.

<ul>
<li>Heel Height: 40 mm Heel</li>
<li>Material: Leather</li>
<li>Line number: 6232139019</li>
</ul>","Step into style with the Loved Leopard Print slippers, featuring a bold brown leopard pattern crafted from luxurious leather. These slippers combine playful animal print with a sleek slingback design, finished with a delicate bow for a charming touch. The 40 mm heel adds just the right amount of lift, making them perfect for both casual days and dressier occasions.

<ul>
<li>Heel Height: 40 mm Heel</li>
<li>Material: Leather</li>
<li>Line number: 6232139019</li>
</ul>",110.00,110.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6232139019_20.jpg?width=800,Flats,Flats,,,,,6,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56796375810428,5020414234261,5020414234261,meela-charm,https://stevemadden.co.uk/products/meela-charm?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Meela Charm is a charming summer flat that beautifully blends playful details with a natural aesthetic. Crafted from leather, this beige-toned shoe features an intricate woven design adorned with delightful charms that evoke seaside memories. With no heel, it offers effortless comfort and a laid-back vibe perfect for warm days.

<ul>
  <li>Heel Height: No Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 6006849019</li>
</ul>","The Meela Charm is a charming summer flat that beautifully blends playful details with a natural aesthetic. Crafted from leather, this beige-toned shoe features an intricate woven design adorned with delightful charms that evoke seaside memories. With no heel, it offers effortless comfort and a laid-back vibe perfect for warm days.

<ul>
  <li>Heel Height: No Heel</li>
  <li>Material: Leather</li>
  <li>Line Number: 6006849019</li>
</ul>",69.00,69.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6006849019_20.jpg?width=800,Flats,Flats,,,,,48,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56796378202492,5020414397324,5020414397324,rascals-dark-brown-suede,https://stevemadden.co.uk/products/rascals-dark-brown-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Rascals Dark Brown Suede slippers from Steve Madden bring a playful twist to classic comfort. Crafted from rich dark brown suede, these slippers feature charming fringe details and delicate gold-tone sun and heart charms that add a hint of whimsy. <ul>
  <li>Material: Suede</li>
  <li>Line Number: 6080431209</li>
</ul>","The Rascals Dark Brown Suede slippers from Steve Madden bring a playful twist to classic comfort. Crafted from rich dark brown suede, these slippers feature charming fringe details and delicate gold-tone sun and heart charms that add a hint of whimsy. <ul>
  <li>Material: Suede</li>
  <li>Line Number: 6080431209</li>
</ul>",89.00,89.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6080431209_20.jpg?width=800,LOAFERS,LOAFERS,,,,,29,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56835684303228,5020414546821,5020414546821,katja-black,https://stevemadden.co.uk/products/katja-black?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into elegance with the KATJA BLACK, a sleek and stylish addition to your footwear collection. Crafted from high-quality synthetic materials, this shoe offers both durability and a polished look in a classic black shade. Its refined design is complemented by a comfortable heel height, making it perfect for both day and evening wear.

<ul>
  <li>Heel Height: 5cm</li>
  <li>Material: Synthetic</li>
  <li>Line Number: 6232300979</li>
</ul>","Step into elegance with the KATJA BLACK, a sleek and stylish addition to your footwear collection. Crafted from high-quality synthetic materials, this shoe offers both durability and a polished look in a classic black shade. Its refined design is complemented by a comfortable heel height, making it perfect for both day and evening wear.

<ul>
  <li>Heel Height: 5cm</li>
  <li>Material: Synthetic</li>
  <li>Line Number: 6232300979</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6232300979_20.jpg?width=800,LOAFERS,LOAFERS,,,,,20,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56835684598140,5020414558619,5020414558619,katja-dark-brown,https://stevemadden.co.uk/products/katja-dark-brown?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into elegance with the KATJA BLACK, a sophisticated addition to the collection that combines style and comfort. Featuring a sleek dark brown synthetic finish, this design offers a refined look perfect for various occasions. Its carefully crafted silhouette is enhanced by a moderate heel height, providing just the right lift without compromising on ease of wear.

<ul>
<li>Heel Height: 5cm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6238231979</li>
</ul>","Step into elegance with the KATJA BLACK, a sophisticated addition to the collection that combines style and comfort. Featuring a sleek dark brown synthetic finish, this design offers a refined look perfect for various occasions. Its carefully crafted silhouette is enhanced by a moderate heel height, providing just the right lift without compromising on ease of wear.

<ul>
<li>Heel Height: 5cm</li>
<li>Material: Synthetic</li>
<li>Line Number: 6238231979</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6238231979_20.jpg?width=800,LOAFERS,LOAFERS,,,,,25,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56840883044732,5045658627914,5045658627914,madison-black-leather,https://stevemadden.co.uk/products/madison-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Madison Black Leather flat is a timeless addition to any wardrobe, crafted from smooth blackleather for a polished look. Designed without a heel, this shoe combines classic style with everyday comfort, making it perfect for both casual and smart occasions. The sleek silhouette is complemented by subtle stitch detailing and a signature Steve Madden emblem on the back, adding a touch of understated elegance.<ul>
<li>Material: Leather</li>
<li>Line Number: 5075700109</li>
</ul>","The Madison Black Leather flat is a timeless addition to any wardrobe, crafted from smooth blackleather for a polished look. Designed without a heel, this shoe combines classic style with everyday comfort, making it perfect for both casual and smart occasions. The sleek silhouette is complemented by subtle stitch detailing and a signature Steve Madden emblem on the back, adding a touch of understated elegance.<ul>
<li>Material: Leather</li>
<li>Line Number: 5075700109</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5075700109_20.jpg?width=800,LOAFERS,LOAFERS,,,,,87,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56954428817788,5020414894335,5020414894335,roger-taupe-suede,https://stevemadden.co.uk/products/roger-taupe-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Roger Taupe Suede slippers bring together timeless style and comfort in a delightful taupe shade. Crafted from soft suede derived from sheep leather, these slippers offer a luxurious feel and a sophisticated look. Designed with no heel, they provide ease and relaxation for your feet, making them perfect for lounging or casual wear.

<ul>
<li>Heel Height: No Heel</li>
<li>Material: Suede</li>
<li>Line Number: 5992747209</li>
</ul>","The Roger Taupe Suede slippers bring together timeless style and comfort in a delightful taupe shade. Crafted from soft suede derived from sheep leather, these slippers offer a luxurious feel and a sophisticated look. Designed with no heel, they provide ease and relaxation for your feet, making them perfect for lounging or casual wear.

<ul>
<li>Heel Height: No Heel</li>
<li>Material: Suede</li>
<li>Line Number: 5992747209</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5992747209_20.jpg?width=800,LOAFERS,LOAFERS,,,,,43,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086741021052,5020414384430,5020414384430,synergy-brown-leather,https://stevemadden.co.uk/products/synergy-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Synergy Brown Leather slippers bring a playful twist to classic comfort with their eye-catching cow print design. Crafted from premium leather, these slippers feature a pointed toe and a delicate strap with a buckle, adding both style and a secure fit. The slingback silhouette keeps things light and breezy, perfect for relaxed days with a touch of flair.<ul>
<li>Leather</li>
<li>Line number: 6079939019</li>
</ul>","The Synergy Brown Leather slippers bring a playful twist to classic comfort with their eye-catching cow print design. Crafted from premium leather, these slippers feature a pointed toe and a delicate strap with a buckle, adding both style and a secure fit. The slingback silhouette keeps things light and breezy, perfect for relaxed days with a touch of flair.<ul>
<li>Leather</li>
<li>Line number: 6079939019</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6079939019_20.jpg?width=800,Flats,Flats,,,,,18,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086760583548,5020414470362,5020414470362,estee-dark-brown-leather,https://stevemadden.co.uk/products/estee-dark-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Estee Black Leather loafer is a sleek and polished addition to any formal wardrobe. Crafted from glossy black leather derived from cowhide, this shoe features a classic penny loafer design with subtle stitching details and an elegant 5cm block heel that adds a touch of sophistication without compromising comfort.

<ul>
<li>Heel Height: 5cm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6086200109</li>
</ul>","The Estee Black Leather loafer is a sleek and polished addition to any formal wardrobe. Crafted from glossy black leather derived from cowhide, this shoe features a classic penny loafer design with subtle stitching details and an elegant 5cm block heel that adds a touch of sophistication without compromising comfort.

<ul>
<li>Heel Height: 5cm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6086200109</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6086200109_20.jpg?width=800,LOAFERS,LOAFERS,,,,,17,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086794826108,5020414397560,5020414397560,estee-dark-brown-leather-1,https://stevemadden.co.uk/products/estee-dark-brown-leather-1?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Estee Dark Brown Leather loafer offers a sophisticated twist on classic formals. Crafted from rich cow leather in a deep dark brown shade, it features a comfortable 5cm heel that balances style with wearability. The shoe’s elegant stitching and subtle detailing make it a refined choice for those seeking timeless elegance with a modern edge.

<ul>
<li>Heel Height: 5cm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6086231109</li>
</ul>","The Estee Dark Brown Leather loafer offers a sophisticated twist on classic formals. Crafted from rich cow leather in a deep dark brown shade, it features a comfortable 5cm heel that balances style with wearability. The shoe’s elegant stitching and subtle detailing make it a refined choice for those seeking timeless elegance with a modern edge.

<ul>
<li>Heel Height: 5cm Heel</li>
<li>Material: Leather</li>
<li>Line Number: 6086231109</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6086231109_20.jpg?width=800,LOAFERS,LOAFERS,,,,,47,,,,,,,,TRUE,TRUE
