prclient,prid,pridfiltered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6833840128133,6833840128133,Steve Madden Men's Zev Lug Loafers - Black Box - Size 7 - Leather,https://www.stevemadden.com/products/zev-black-box?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Introducing the ZEV, a men's loafer with a tassel detail that exudes sophistication and sleekness. Made with premium materials, this fashionable shoe provides a cozy fit and effortlessly elevates any ensemble. 1.5 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden ZEV BLACK BOX | 7 | Steve Madden Men's Zev Lug Loafers - Black Box - Size 7 - Leather","Introducing the ZEV, a men's loafer with a tassel detail that exudes sophistication and sleekness. Made with premium materials, this fashionable shoe provides a cozy fit and effortlessly elevates any ensemble. 1.5 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden ZEV BLACK BOX | 7 | Steve Madden Men's Zev Lug Loafers - Black Box - Size 7 - Leather",159.95,159.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_ZEV_BLACK-BOX_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40239656960133,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black Box,,,1,TRUE,TRUE,FALSE
Steve Madden,6846912856197,6846912856197,Steve Madden Men's Jayshan Slip-On Loafers - Black - Size 7 - Leather,https://www.stevemadden.com/products/jayshan-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Elevate your formal wardrobe with the JAYSHAN dress loafer. The soft tumbled leather and slip-on construction provide comfort, while the metal bit embellishment and almond toe add a touch of sophistication. Make a statement on any occasion with this stylish and versatile piece. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden JAYSHAN BLACK LEATHER | 7 | Steve Madden Men's Jayshan Slip-On Loafers - Black - Size 7 - Leather","Elevate your formal wardrobe with the JAYSHAN dress loafer. The soft tumbled leather and slip-on construction provide comfort, while the metal bit embellishment and almond toe add a touch of sophistication. Make a statement on any occasion with this stylish and versatile piece. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden JAYSHAN BLACK LEATHER | 7 | Steve Madden Men's Jayshan Slip-On Loafers - Black - Size 7 - Leather",139.95,139.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_JAYSHAN_BLACK_4655288c-927e-4c69-8ee5-8e3d4064856e.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40285913514117,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,2,TRUE,TRUE,FALSE
Steve Madden,6846912888965,6846912888965,Steve Madden Men's Jayshan Slip-On Loafers - Brown - Size 7 - Leather,https://www.stevemadden.com/products/jayshan-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Elevate your formal wardrobe with the JAYSHAN dress loafer. The soft tumbled leather and slip-on construction provide comfort, while the metal bit embellishment and almond toe add a touch of sophistication. Make a statement on any occasion with this stylish and versatile piece. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden JAYSHAN BROWN LEATHER | 7 | Steve Madden Men's Jayshan Slip-On Loafers - Brown - Size 7 - Leather","Elevate your formal wardrobe with the JAYSHAN dress loafer. The soft tumbled leather and slip-on construction provide comfort, while the metal bit embellishment and almond toe add a touch of sophistication. Make a statement on any occasion with this stylish and versatile piece. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden JAYSHAN BROWN LEATHER | 7 | Steve Madden Men's Jayshan Slip-On Loafers - Brown - Size 7 - Leather",139.95,139.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_JAYSHAN_BROWN.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40285914005637,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Brown,,,3,TRUE,TRUE,FALSE
Steve Madden,6846912921733,6846912921733,Steve Madden Men's Aadi Loafers - Black/Silver - Size 7 - Rubber,https://www.stevemadden.com/products/aadi-black-silver?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,.75 inch heel height Velvet and textile upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden AADI BLACK/SILVER | Black Silver | 7 | Steve Madden Men's Aadi Loafers - Black/Silver - Size 7 - Rubber,.75 inch heel height Velvet and textile upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden AADI BLACK/SILVER | Black Silver | 7 | Steve Madden Men's Aadi Loafers - Black/Silver - Size 7 - Rubber,49.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_AADI_BLACK-VELVET_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40285914235013,,IN STOCK,,"7, 7.5",Black/Silver,,,4,TRUE,TRUE,TRUE
Steve Madden,6848235864197,6848235864197,Steve Madden Men's Natan Leather Slip-On Loafers - Black/White - Size 7,https://www.stevemadden.com/products/natan-black-white-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Introducing the effortless style of the NATAN loafer. With a sleek dress design and easy slip-on construction, these shoes offer comfort and sophistication. Perfect for any occasion, step into luxury with this dress shoe. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden NATAN BLACK/WHITE LEATHER | Black White Leather | 7 | Steve Madden Men's Natan Leather Slip-On Loafers - Black/White - Size 7","Introducing the effortless style of the NATAN loafer. With a sleek dress design and easy slip-on construction, these shoes offer comfort and sophistication. Perfect for any occasion, step into luxury with this dress shoe. 1 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden NATAN BLACK/WHITE LEATHER | Black White Leather | 7 | Steve Madden Men's Natan Leather Slip-On Loafers - Black/White - Size 7",139.95,139.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_NATAN_BLACK-WHITE-MULTI_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40290332901509,,IN STOCK,,"10.5, 13, 7, 7.5, 8, 8.5, 9.5",Black/White,,,5,TRUE,TRUE,FALSE
Steve Madden,7079308329093,7079308329093,Steve Madden Men's Bannoch Slip-On Loafers - Black - Size 7 - Rubber,https://www.stevemadden.com/products/bannoch-black-velvet?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The BANNOCH are a stylish and convenient slip-on loafer, perfect for any occasion. The slip-on feature allows for easy and quick wear. The perfect combination of comfort and style, these loafers are a must-have for any fashion-forward individual. 1 inch heel height Velvet upper material Textile lining Synthetic sock Rubber sole Imported Steve Madden BANNOCH BLACK VELVET | 7 | Steve Madden Men's Bannoch Slip-On Loafers - Black - Size 7 - Rubber","The BANNOCH are a stylish and convenient slip-on loafer, perfect for any occasion. The slip-on feature allows for easy and quick wear. The perfect combination of comfort and style, these loafers are a must-have for any fashion-forward individual. 1 inch heel height Velvet upper material Textile lining Synthetic sock Rubber sole Imported Steve Madden BANNOCH BLACK VELVET | 7 | Steve Madden Men's Bannoch Slip-On Loafers - Black - Size 7 - Rubber",119.95,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_BANNOCH_BLACK-VELVET.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,40997811519621,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,6,TRUE,TRUE,FALSE
Steve Madden,7101448618117,7101448618117,Steve Madden Men's Poco Slip-On Loafers - Black - Size 7 - Leather,https://www.stevemadden.com/products/poco-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Expertly crafted from luxurious materials, the POCO woven slip-on dress loafer exudes sophistication and style. Its effortless slip-on design offers convenience, while the woven pattern adds a touch of elegance. Perfect for any formal occasion, this versatile loafer is a must-have for the modern gentleman. .75 inch heel height Leather upper material Textile and synthetic lining Textile sock Synthetic sole Imported Steve Madden POCO BLACK LEATHER | 7 | Steve Madden Men's Poco Slip-On Loafers - Black - Size 7 - Leather","Expertly crafted from luxurious materials, the POCO woven slip-on dress loafer exudes sophistication and style. Its effortless slip-on design offers convenience, while the woven pattern adds a touch of elegance. Perfect for any formal occasion, this versatile loafer is a must-have for the modern gentleman. .75 inch heel height Leather upper material Textile and synthetic lining Textile sock Synthetic sole Imported Steve Madden POCO BLACK LEATHER | 7 | Steve Madden Men's Poco Slip-On Loafers - Black - Size 7 - Leather",49.99,139.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_POCO_BLACK-LEATHER_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,41067436998789,,IN STOCK,,7,Black,,,7,TRUE,TRUE,TRUE
Steve Madden,7096505434245,7096505434245,Steve Madden Men's Bannoch Slip-On Loafers - Rhinestones - Size 7 - Rubber,https://www.stevemadden.com/products/bannoch-rhinestones?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The BANNOCH are a stylish and convenient slip-on loafer, perfect for any occasion. The slip-on feature allows for easy and quick wear. The perfect combination of comfort and style, these loafers are a must-have for any fashion-forward individual. 1 inch heel height Suede upper material with stones Textile lining Synthetic sock Rubber sole Imported Steve Madden BANNOCH RHINESTONES | 7 | Steve Madden Men's Bannoch Slip-On Loafers - Rhinestones - Size 7 - Rubber","The BANNOCH are a stylish and convenient slip-on loafer, perfect for any occasion. The slip-on feature allows for easy and quick wear. The perfect combination of comfort and style, these loafers are a must-have for any fashion-forward individual. 1 inch heel height Suede upper material with stones Textile lining Synthetic sock Rubber sole Imported Steve Madden BANNOCH RHINESTONES | 7 | Steve Madden Men's Bannoch Slip-On Loafers - Rhinestones - Size 7 - Rubber",119.95,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_BANNOCH_BLACK-GLITTER_0819a5b3-e9e2-41f3-af8f-b3bb899ebe2f.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,41083160035461,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Rhinestones,,,8,TRUE,TRUE,FALSE
Steve Madden,7130609975429,7130609975429,Steve Madden Men's Arthus Slip-On Loafers - Black - Size 7 - Leather,https://www.stevemadden.com/products/arthus-black-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The ARTHUS loafer combines classic slip-on convenience with a refined tassel detail, offering a sophisticated yet effortless style. Crafted from premium materials, this shoe ensures durability and a polished look that is suitable for both professional and casual settings. Its streamlined design provides comfort and ease, making it an essential addition to any modern wardrobe. 1.25 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden ARTHUS BLACK LEATHER | 7 | Steve Madden Men's Arthus Slip-On Loafers - Black - Size 7 - Leather","The ARTHUS loafer combines classic slip-on convenience with a refined tassel detail, offering a sophisticated yet effortless style. Crafted from premium materials, this shoe ensures durability and a polished look that is suitable for both professional and casual settings. Its streamlined design provides comfort and ease, making it an essential addition to any modern wardrobe. 1.25 inch heel height Leather upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden ARTHUS BLACK LEATHER | 7 | Steve Madden Men's Arthus Slip-On Loafers - Black - Size 7 - Leather",149.95,149.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_ARTHUS_BLACK-LEATHER_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,41144877842565,,IN STOCK,,"10, 10.5, 11, 11.5, 12, 13, 7, 7.5, 8, 8.5, 9, 9.5",Black,,,9,TRUE,TRUE,FALSE
Steve Madden,7134976180357,7134976180357,Steve Madden Men's Yardly Slip-On Loafers - Black - Size 7 - Rubber,https://www.stevemadden.com/products/yardly-black-velvet?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Elevate your formal wardrobe with the YARDLY dress loafer. Crafted from luxurious materials, this loafer offers a refined silhouette perfect for sophisticated occasions. Its sleek design combines classic elegance with modern comfort, making it an ideal choice for those seeking both style and functionality in dress footwear. 1 inch heel height Velvet upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden YARDLY BLACK VELVET | 7 | Steve Madden Men's Yardly Slip-On Loafers - Black - Size 7 - Rubber","Elevate your formal wardrobe with the YARDLY dress loafer. Crafted from luxurious materials, this loafer offers a refined silhouette perfect for sophisticated occasions. Its sleek design combines classic elegance with modern comfort, making it an ideal choice for those seeking both style and functionality in dress footwear. 1 inch heel height Velvet upper material Textile and synthetic lining Textile and synthetic sock Rubber sole Imported Steve Madden YARDLY BLACK VELVET | 7 | Steve Madden Men's Yardly Slip-On Loafers - Black - Size 7 - Rubber",49.99,129.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_MENS_YARDLY_BLK-VEL_01.jpg,Men's Shoes > Loafers,Men's Shoes > Loafers,18/08/2026,,FALSE,41160000077957,,IN STOCK,,"10, 11, 12, 13, 7, 8, 9",Black,,,10,TRUE,TRUE,TRUE
