prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault
,gid://shopify/ProductVariant/56761449873788,5020414559098,5020414559098,jaye-brown-suede,https://stevemadden.co.uk/products/jaye-brown-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Jaye Brown Suede sneakers blend casual style with refined materials, featuring a rich mid-brown suede upper accented with smooth leather details. These sneakers offer a sleek silhouette with contrasting white laces that add a touch of sporty charm. Crafted from premium cow suede, they provide both comfort and durability, making them an ideal choice for everyday wear.

<ul>
  <li>Heel Height: 10 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 6233932209</li>
</ul>","The Jaye Brown Suede sneakers blend casual style with refined materials, featuring a rich mid-brown suede upper accented with smooth leather details. These sneakers offer a sleek silhouette with contrasting white laces that add a touch of sporty charm. Crafted from premium cow suede, they provide both comfort and durability, making them an ideal choice for everyday wear.

<ul>
  <li>Heel Height: 10 mm Heel</li>
  <li>Material: Suede</li>
  <li>Line Number: 6233932209</li>
</ul>",130.00,130.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6233932209_20.jpg?width=800,Sneakers,Sneakers,,,,,44,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56801450459516,5020413907159,5020413907159,mavis-brown-suede,https://stevemadden.co.uk/products/mavis-brown-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into timeless elegance with the MAVIS 205, a stylish addition to your collection. Crafted from soft brown suede, this shoe combines classic charm with luxurious texture. Its refined silhouette and rich colour make it a versatile choice for various occasions.<ul>
<li>Material: Suede</li>
<li>Line Number: 5871230209</li>
</ul>","Step into timeless elegance with the MAVIS 205, a stylish addition to your collection. Crafted from soft brown suede, this shoe combines classic charm with luxurious texture. Its refined silhouette and rich colour make it a versatile choice for various occasions.<ul>
<li>Material: Suede</li>
<li>Line Number: 5871230209</li>
</ul>",170.00,170.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/5871230209_20.jpg?width=800,Sneakers,Sneakers,,,,,10,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/56812665504124,5020414343253,5020414343253,dodge-pink-suede,https://stevemadden.co.uk/products/dodge-pink-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Dodge Pink Suede sneakers bring a fresh twist to casual footwear with their soft pink suede upper and contrasting white detailing. Designed for those who appreciate a blend of comfort and style. The rich suede material complements the playful pink colour, making these sneakers a standout choice for everyday wear.<ul>
<li>Suede</li>
<li>Line number: 6050698209</li>
</ul>","The Dodge Pink Suede sneakers bring a fresh twist to casual footwear with their soft pink suede upper and contrasting white detailing. Designed for those who appreciate a blend of comfort and style. The rich suede material complements the playful pink colour, making these sneakers a standout choice for everyday wear.<ul>
<li>Suede</li>
<li>Line number: 6050698209</li>
</ul>",100.00,100.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6050698209_20.jpg?width=800,Sneakers,Sneakers,,,,,75,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086790992252,5020414384584,5020414384584,sm90-blue-suede,https://stevemadden.co.uk/products/sm90-blue-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The SM90 Blue Suede sneakers blend a sporty silhouette with a soft suede finish in a fresh blue shade. Featuring bold white '90' detailing on the sides and a contrasting gum sole, these sneakers add a playful yet classic touch to your casual wardrobe. Crafted from premium cow suede, they offer both style and comfort<ul>
<li>Material: Suede</li>
<li>Line Number: 6080189029</li>
</ul>","The SM90 Blue Suede sneakers blend a sporty silhouette with a soft suede finish in a fresh blue shade. Featuring bold white '90' detailing on the sides and a contrasting gum sole, these sneakers add a playful yet classic touch to your casual wardrobe. Crafted from premium cow suede, they offer both style and comfort<ul>
<li>Material: Suede</li>
<li>Line Number: 6080189029</li>
</ul>",90.00,90.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6080189029_20.jpg?width=800,Sneakers,Sneakers,,,,,33,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086794039676,5020414384348,5020414384348,possession-bone-suede,https://stevemadden.co.uk/products/possession-bone-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Possession Bone Suede sneaker blends playful charm with sophisticated design. Crafted from soft suede in a bone shade, it features intricate textured panels and decorative tassels with fluffy pom-poms that add a fun, stylish twist. The chunky sole provides a contemporary edge while ensuring comfort and support.<ul>
  <li>Material: Suede</li>
  <li>Line Number: 6079841029</li>
</ul>","The Possession Bone Suede sneaker blends playful charm with sophisticated design. Crafted from soft suede in a bone shade, it features intricate textured panels and decorative tassels with fluffy pom-poms that add a fun, stylish twist. The chunky sole provides a contemporary edge while ensuring comfort and support.<ul>
  <li>Material: Suede</li>
  <li>Line Number: 6079841029</li>
</ul>",140.00,140.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6079841029_20.jpg?width=800,Sneakers,Sneakers,,,,,145,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086794334588,5020414397249,5020414397249,cashbox-black-suede,https://stevemadden.co.uk/products/cashbox-black-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Cashbox Black Suede sneakers bring a bold, playful edge to casual footwear. Featuring a striking black and white cow print pattern combined with smooth black suede panels, these sneakers showcase the iconic ""SM"" branding on the sides for a standout look. Crafted from premium suede and cowhide leather, they balance style with comfort and durability. <ul>
  <li>Material: Suede</li>
  <li>Line Number: 6085905209</li>
</ul>","The Cashbox Black Suede sneakers bring a bold, playful edge to casual footwear. Featuring a striking black and white cow print pattern combined with smooth black suede panels, these sneakers showcase the iconic ""SM"" branding on the sides for a standout look. Crafted from premium suede and cowhide leather, they balance style with comfort and durability. <ul>
  <li>Material: Suede</li>
  <li>Line Number: 6085905209</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6085905209_20.jpg?width=800,Sneakers,Sneakers,,,,,30,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57086794498428,5020414560865,5020414560865,momentum-white-suede,https://stevemadden.co.uk/products/momentum-white-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Momentum White Suede sneaker combines classic style with modern comfort. Crafted from premium white suede and cow leather, it features a sleek perforated design and three secure velcro straps for easy wear. The gum rubber sole adds a timeless touch and reliable grip, making these sneakers a versatile addition to any wardrobe.

<ul>
<li>25 mm Heel</li>
<li>Suede</li>
<li>Line number: 6245110029</li>
</ul>","The Momentum White Suede sneaker combines classic style with modern comfort. Crafted from premium white suede and cow leather, it features a sleek perforated design and three secure velcro straps for easy wear. The gum rubber sole adds a timeless touch and reliable grip, making these sneakers a versatile addition to any wardrobe.

<ul>
<li>25 mm Heel</li>
<li>Suede</li>
<li>Line number: 6245110029</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6245110029_20.jpg?width=800,Sneakers,Sneakers,,,,,16,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57144744903036,5020414865496,5020414865496,mavis-brown-leather,https://stevemadden.co.uk/products/mavis-brown-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The Mavis Brown Leather sneakers bring together rugged charm and cosy comfort in a unique design. Crafted from soft sheep leather in a rich brown shade, these sneakers feature a distinctive textured finish that adds character. The plush, fluffy lining peeking at the ankle promises warmth, while the triple strap fastening ensures a secure fit without compromising style. With no heel to speak of, these sneakers offer practical everyday wear with a standout look.<ul>
<li>Material: Leather</li>
<li>Line Number: 6414739019</li>
</ul>","The Mavis Brown Leather sneakers bring together rugged charm and cosy comfort in a unique design. Crafted from soft sheep leather in a rich brown shade, these sneakers feature a distinctive textured finish that adds character. The plush, fluffy lining peeking at the ankle promises warmth, while the triple strap fastening ensures a secure fit without compromising style. With no heel to speak of, these sneakers offer practical everyday wear with a standout look.<ul>
<li>Material: Leather</li>
<li>Line Number: 6414739019</li>
</ul>",190.00,190.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6414739019_20.jpg?width=800,Sneakers,Sneakers,,,,,11,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57244362342780,5020414910790,5020414910790,pager-silver,https://stevemadden.co.uk/products/pager-silver?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step out in style with the Pager Silver sneakers, a perfect blend of modern design and metallic flair. Crafted from high-quality synthetic materials, these silver sneakers add a sleek, contemporary edge to any outfit. <ul>
<li>Material: Synthetic</li>
<li>Line Number: 6430663979</li>
</ul>","Step out in style with the Pager Silver sneakers, a perfect blend of modern design and metallic flair. Crafted from high-quality synthetic materials, these silver sneakers add a sleek, contemporary edge to any outfit. <ul>
<li>Material: Synthetic</li>
<li>Line Number: 6430663979</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6430663979_20.jpg?width=800,Sneakers,Sneakers,,,,,116,,,,,,,,TRUE,TRUE
,gid://shopify/ProductVariant/57244362572156,5020414910875,5020414910875,pager-green,https://stevemadden.co.uk/products/pager-green?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Step into style with the Pager Green sneakers, a vibrant addition to your footwear collection. Crafted from high-quality synthetic materials, these sneakers showcase a striking green combination that adds a fresh twist to your casual look. <ul>
  <li>Material: Synthetic</li>
  <li>Line Number: 6430675979</li>
</ul>","Step into style with the Pager Green sneakers, a vibrant addition to your footwear collection. Crafted from high-quality synthetic materials, these sneakers showcase a striking green combination that adds a fresh twist to your casual look. <ul>
  <li>Material: Synthetic</li>
  <li>Line Number: 6430675979</li>
</ul>",120.00,120.00,https://cdn.shopify.com/s/files/1/0083/3903/0082/files/6430675979_20.jpg?width=800,Sneakers,Sneakers,,,,,58,,,,,,,,TRUE,TRUE
