prclient,prid,pridfiltered,prid_filtered,prname,prurl,prshortdescription,prdescription,prdisplayprice,prprice,primageurl,prcategory,prsubcategory,prcreatedon,pralternativeurl,prbestseller,prsku,pravailablequantity,pravailability,prquantitysold,prsize,prcolor,prcountry,prfromprice,prposition,isactive,isdefault,pronsale
Steve Madden,6824002879621,6824002879621,6824002879621,Steve Madden Women's Samarah Slip-On Sneakers - Beige - Size 9 - Synthetic,https://www.stevemadden.com/products/samarah-beige?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,MODERN + FRIENDLY + REFINED The SAMARA slip-on sneaker design is defined by subtly contrasting textures. The waffle weave fabric upper gives you the right balance of stretch and support and the ridged platform sole cushions your step. Whipstitching around the welt adds a final touch of textured detail to the look Waffle weave slip-on platform sneakers Slip-on style Stretch fabric construction Platform sole with wide vertical ribbing Whipstitch detail over welt 1.25 inch heel height Textile upper material Textile lining Textile sock Synthetic sole Imported Steve Madden SAMARAH BEIGE | 9 | Steve Madden Women's Samarah Slip-On Sneakers - Beige - Size 9 - Synthetic,MODERN + FRIENDLY + REFINED The SAMARA slip-on sneaker design is defined by subtly contrasting textures. The waffle weave fabric upper gives you the right balance of stretch and support and the ridged platform sole cushions your step. Whipstitching around the welt adds a final touch of textured detail to the look Waffle weave slip-on platform sneakers Slip-on style Stretch fabric construction Platform sole with wide vertical ribbing Whipstitch detail over welt 1.25 inch heel height Textile upper material Textile lining Textile sock Synthetic sole Imported Steve Madden SAMARAH BEIGE | 9 | Steve Madden Women's Samarah Slip-On Sneakers - Beige - Size 9 - Synthetic,34.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_SAMARAH_BEIGE_01_6e5c688c-acbf-44cc-9c61-b69d7d95c67e.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40214982131845,,IN STOCK,,9,Beige,,,7,TRUE,TRUE,TRUE
Steve Madden,6833669996677,6833669996677,6833669996677,Steve Madden Women's Emilee Lace-Up Sneakers - White - Size 5 - Leather,https://www.stevemadden.com/products/emilee-white-leather?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"SPORTY + QUIRKY + FUN The EMILEE sneakers feature a padded collar and flatform sole for a substantial, structured silhouette. A selection of cheerfully mismatched charms and chains accent the laces for a pop of color. High top flatform sneaker with charms Laced closure with stay-put ankle straps Contrast accent panels at back Perforated details at front and sides Crepe texture low flatform sole Colorful charms Padded ankle collar 1 inch heel height Leather upper material with charms Textile and synthetic lining Synthetic sock Synthetic sole Imported Steve Madden EMILEE WHITE LEATHER | 5 | Steve Madden Women's Emilee Lace-Up Sneakers - White - Size 5 - Leather","SPORTY + QUIRKY + FUN The EMILEE sneakers feature a padded collar and flatform sole for a substantial, structured silhouette. A selection of cheerfully mismatched charms and chains accent the laces for a pop of color. High top flatform sneaker with charms Laced closure with stay-put ankle straps Contrast accent panels at back Perforated details at front and sides Crepe texture low flatform sole Colorful charms Padded ankle collar 1 inch heel height Leather upper material with charms Textile and synthetic lining Synthetic sock Synthetic sole Imported Steve Madden EMILEE WHITE LEATHER | 5 | Steve Madden Women's Emilee Lace-Up Sneakers - White - Size 5 - Leather",29.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_EMILEE_WHITE-LEATHER.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40239070544005,,IN STOCK,,"10, 11, 5, 6, 7, 8, 9",White,,,8,TRUE,TRUE,TRUE
Steve Madden,6934858956933,6934858956933,6934858956933,Steve Madden Women's Campo Lace-Up Sneakers - Silver - Size 5 - Leather,https://www.stevemadden.com/products/campo-silver?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The CAMPO sneakers feature a dynamic panel design on a platform sole with treads that extend up the heel and the toe for an extra touch of texture. Platform sneaker Laced closure Wide treaded platform sole with rocker toe 1.25 inch heel height Leather and suede upper material Textile lining Textile sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden CAMPO SILVER | 5 | Steve Madden Women's Campo Lace-Up Sneakers - Silver - Size 5 - Leather","The CAMPO sneakers feature a dynamic panel design on a platform sole with treads that extend up the heel and the toe for an extra touch of texture. Platform sneaker Laced closure Wide treaded platform sole with rocker toe 1.25 inch heel height Leather and suede upper material Textile lining Textile sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden CAMPO SILVER | 5 | Steve Madden Women's Campo Lace-Up Sneakers - Silver - Size 5 - Leather",48.99,89.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_CAMPO_SILVER_13d727be-415f-450d-9e44-e3b2e03d750f.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40565403254917,,IN STOCK,,"11, 5, 5.5",Silver,,,10,TRUE,TRUE,TRUE
Steve Madden,7022650327173,7022650327173,7022650327173,Steve Madden Women's Mirage Lace-Up Sneakers - Black Suede - Size 10 - Leather,https://www.stevemadden.com/products/mirage-black-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Experience ultimate comfort and style with the MIRAGE low-top, lace-up sneaker. With the secondary laces and multiple color variations, this sneaker offers a secure fit and a versatile look. Perfect for any casual or athletic activity, these sneakers will elevate your wardrobe to the next level. .75 inch heel height Suede upper material Leather and synthetic lining Synthetic sock Synthetic sole This style will come with both solid white laces and colored stripe laces Imported Steve Madden MIRAGE BLACK SUEDE | 10 | Steve Madden Women's Mirage Lace-Up Sneakers - Black Suede - Size 10 - Leather","Experience ultimate comfort and style with the MIRAGE low-top, lace-up sneaker. With the secondary laces and multiple color variations, this sneaker offers a secure fit and a versatile look. Perfect for any casual or athletic activity, these sneakers will elevate your wardrobe to the next level. .75 inch heel height Suede upper material Leather and synthetic lining Synthetic sock Synthetic sole This style will come with both solid white laces and colored stripe laces Imported Steve Madden MIRAGE BLACK SUEDE | 10 | Steve Madden Women's Mirage Lace-Up Sneakers - Black Suede - Size 10 - Leather",27.99,75.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MIRAGE_BLACK-SUEDE_01_6d031e63-3b3c-4067-b753-f1a3c8de9428.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40767540822149,,IN STOCK,,10,Black Suede,,,11,TRUE,TRUE,TRUE
Steve Madden,7041157202053,7041157202053,7041157202053,Steve Madden Women's Soar Platform Sneakers - White Multi - Size 6 - Leather,https://www.stevemadden.com/products/soar-white-multi?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"As a Mary Jane platform sneaker, the SOAR provides added height and comfort for those who love a stylish and practical shoe. This shoe is perfect for any fashion-forward individual with its classic silhouette and trendy multi-color design. 2 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden SOAR WHITE MULTI | 6 | Steve Madden Women's Soar Platform Sneakers - White Multi - Size 6 - Leather","As a Mary Jane platform sneaker, the SOAR provides added height and comfort for those who love a stylish and practical shoe. This shoe is perfect for any fashion-forward individual with its classic silhouette and trendy multi-color design. 2 inch heel height Leather upper material Synthetic lining Synthetic sock Synthetic sole Fit tip: If you are in between sizes, size up a half-size Imported Steve Madden SOAR WHITE MULTI | 6 | Steve Madden Women's Soar Platform Sneakers - White Multi - Size 6 - Leather",59.99,119.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_SOAR_WHITE-MULTI.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40818585829509,,IN STOCK,,"10, 11, 6, 7, 8, 9",White Multi,,,14,TRUE,TRUE,TRUE
Steve Madden,7062238691461,7062238691461,7062238691461,Steve Madden Women's Campo Lace-Up Sneakers - Black/Beige - Size 5 - Synthetic,https://www.stevemadden.com/products/campo-black-beige?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The CAMPO sneakers feature a dynamic panel design on a platform sole with treads that extend up the heel and the toe for an extra touch of texture. Platform sneaker Laced closure Wide treaded platform sole with rocker toe 1.25 inch heel height Suede, raffia, and synthetic upper material Textile lining Textile sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden CAMPO BLACK/BEIGE | 5 | Steve Madden Women's Campo Lace-Up Sneakers - Black/Beige - Size 5 - Synthetic","The CAMPO sneakers feature a dynamic panel design on a platform sole with treads that extend up the heel and the toe for an extra touch of texture. Platform sneaker Laced closure Wide treaded platform sole with rocker toe 1.25 inch heel height Suede, raffia, and synthetic upper material Textile lining Textile sock Synthetic sole Fit tip: If you are in between sizes, size down a half-size Imported Steve Madden CAMPO BLACK/BEIGE | 5 | Steve Madden Women's Campo Lace-Up Sneakers - Black/Beige - Size 5 - Synthetic",89.95,89.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_CAMPO_BLACK-BEIGE_01.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40905109274757,,IN STOCK,,"5, 5.5, 6, 6.5, 7, 7.5, 8",Black/Beige,,,15,TRUE,TRUE,FALSE
Steve Madden,7076782538885,7076782538885,7076782538885,Steve Madden Women's Dodge Espresso Lace-Up Sneakers - Taupe Multi - Size 5 - Synthetic,https://www.stevemadden.com/products/dodge-taupe-multi?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"Introducing the DODGE sneaker, designed for both style and function. This low-top sneaker features a lace-up design for a secure fit and effortless style. With a sleek and versatile design, these sneakers are perfect for any casual or athletic occasion. 1.5 inch heel height Textile, suede, and synthetic upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden DODGE ESPRESSO | Taupe Multi | 5 | Steve Madden Women's Dodge Espresso Lace-Up Sneakers - Taupe Multi - Size 5 - Synthetic","Introducing the DODGE sneaker, designed for both style and function. This low-top sneaker features a lace-up design for a secure fit and effortless style. With a sleek and versatile design, these sneakers are perfect for any casual or athletic occasion. 1.5 inch heel height Textile, suede, and synthetic upper material Synthetic lining Synthetic sock Synthetic sole Imported Steve Madden DODGE ESPRESSO | Taupe Multi | 5 | Steve Madden Women's Dodge Espresso Lace-Up Sneakers - Taupe Multi - Size 5 - Synthetic",55.97,79.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_DODGE_TAUPE-MULTI_e8cf4234-1445-43e6-898a-f3fb0fc9fcb2.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40988618784901,,IN STOCK,,"10, 11, 12, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Taupe Multi,,,17,TRUE,TRUE,TRUE
Steve Madden,7078892339333,7078892339333,7078892339333,Steve Madden Women's Madrid Lace-Up Sneakers - Floral Multi - Size 5 - Synthetic,https://www.stevemadden.com/products/madrid-floral-multi?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The MADRID is a versatile, stylish low-top sneaker. This shoe offers both durability and comfort. Its lace-up feature allows for a customizable fit, ensuring maximum support for your feet. Upgrade your sneaker game with these versatile shoes. 1 inch heel height Textile upper material Textile lining Textile sock Synthetic sole Imported Steve Madden MADRID FLORAL MULTI | 5 | Steve Madden Women's Madrid Lace-Up Sneakers - Floral Multi - Size 5 - Synthetic","The MADRID is a versatile, stylish low-top sneaker. This shoe offers both durability and comfort. Its lace-up feature allows for a customizable fit, ensuring maximum support for your feet. Upgrade your sneaker game with these versatile shoes. 1 inch heel height Textile upper material Textile lining Textile sock Synthetic sole Imported Steve Madden MADRID FLORAL MULTI | 5 | Steve Madden Women's Madrid Lace-Up Sneakers - Floral Multi - Size 5 - Synthetic",34.99,60.00,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MADRID_FLORAL-MULTI.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40996943069317,,IN STOCK,,"5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5",Floral Multi,,,18,TRUE,TRUE,TRUE
Steve Madden,7079304429701,7079304429701,7079304429701,Steve Madden Women's Murphy Low-Top Sneakers - White Suede - Size 6,https://www.stevemadden.com/products/murphy-white-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The MURPHY is a low-top sneaker with a rounded toe design. This classic and versatile style offers comfort and durability, making it perfect for everyday wear. With its sleek suede material, it is a timeless addition to any wardrobe. 1 inch heel height Suede upper material Unlined Synthetic sock Synthetic sole Imported Steve Madden MURPHY WHITE SUEDE | 6 | Steve Madden Women's Murphy Low-Top Sneakers - White Suede - Size 6","The MURPHY is a low-top sneaker with a rounded toe design. This classic and versatile style offers comfort and durability, making it perfect for everyday wear. With its sleek suede material, it is a timeless addition to any wardrobe. 1 inch heel height Suede upper material Unlined Synthetic sock Synthetic sole Imported Steve Madden MURPHY WHITE SUEDE | 6 | Steve Madden Women's Murphy Low-Top Sneakers - White Suede - Size 6",29.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MURPHY_WHITE-SUEDE.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40997791563909,,IN STOCK,,"10, 11, 6, 7, 7.5, 8, 8.5, 9, 9.5",White Suede,,,19,TRUE,TRUE,TRUE
Steve Madden,7079304462469,7079304462469,7079304462469,Steve Madden Women's Murphy Low-Top Sneakers - Denim Suede - Size 7.5,https://www.stevemadden.com/products/murphy-denim-suede?utm_source=display&utm_medium=programmatic&utm_campaign=performance&utm_content=rtg,"The MURPHY is a low-top sneaker with a rounded toe design. This classic and versatile style offers comfort and durability, making it perfect for everyday wear. With its sleek suede material, it is a timeless addition to any wardrobe. 1 inch heel height Suede upper material Unlined Synthetic sock Synthetic sole Imported Steve Madden MURPHY DENIM SUEDE | 7.5 | Steve Madden Women's Murphy Low-Top Sneakers - Denim Suede - Size 7.5","The MURPHY is a low-top sneaker with a rounded toe design. This classic and versatile style offers comfort and durability, making it perfect for everyday wear. With its sleek suede material, it is a timeless addition to any wardrobe. 1 inch heel height Suede upper material Unlined Synthetic sock Synthetic sole Imported Steve Madden MURPHY DENIM SUEDE | 7.5 | Steve Madden Women's Murphy Low-Top Sneakers - Denim Suede - Size 7.5",49.99,99.95,https://cdn.shopify.com/s/files/1/2170/8465/files/STEVEMADDEN_SHOES_MURPHY_DENIM-SUEDE.jpg,Women's Shoes > Sneakers,Women's Shoes > Sneakers,04/09/2026,,FALSE,40997796020357,,IN STOCK,,"7.5, 8, 8.5",Denim Suede,,,21,TRUE,TRUE,TRUE
